,contextId,context,question
0,7f360462-ade4-4464-b812-dcf05ff5d2f0," George Brown College is committed to creating inclusive learning, working, and living environments for members of the 2SLGBTQIA+ community. The college prohibits discrimination and harassment based on various grounds including sexual orientation and gender identity under the Ontario Human Rights Code. Individuals who have experienced Homophobia, Transphobia or Biphobia can contact the Office of Anti-Racism, Equity and Human Rights Services at diversity@georgebrown.ca for support.

The college has an ongoing Ignite research project, Hall of Justice Poster project, which showcases the stories of essential 2SLGBTQ+ activists and some posters can be found at 200 King Street East.

All George Brown students and employees can update their preferred first name on their student record through their Stu-View account. This process will change the displayed first name across various platforms like Stu-View, Brightspace, Email, and in Microsoft Office applications. However, this process won't alter a student's legal name for business practices and legal requirements.

To update the preferred first name, students need to log into their Stu-view account, select the 'Personal Information' tab, and select 'Preferred First Name'. Once processed, an email will be sent to confirm the change.

Office of Anti-Racism, Equity and Human Rights Services: diversity@georgebrown.ca
Ignite research project: Hall of Justice Poster project
Location of some posters: 200 King Street East
Contact for support and reporting human rights violations or sexual violence: diversity@georgebrown.ca",* What is the role of George Brown College in creating inclusive environments for the 2SLGBTQIA+ community?
1,7f360462-ade4-4464-b812-dcf05ff5d2f0," George Brown College is committed to creating inclusive learning, working, and living environments for members of the 2SLGBTQIA+ community. The college prohibits discrimination and harassment based on various grounds including sexual orientation and gender identity under the Ontario Human Rights Code. Individuals who have experienced Homophobia, Transphobia or Biphobia can contact the Office of Anti-Racism, Equity and Human Rights Services at diversity@georgebrown.ca for support.

The college has an ongoing Ignite research project, Hall of Justice Poster project, which showcases the stories of essential 2SLGBTQ+ activists and some posters can be found at 200 King Street East.

All George Brown students and employees can update their preferred first name on their student record through their Stu-View account. This process will change the displayed first name across various platforms like Stu-View, Brightspace, Email, and in Microsoft Office applications. However, this process won't alter a student's legal name for business practices and legal requirements.

To update the preferred first name, students need to log into their Stu-view account, select the 'Personal Information' tab, and select 'Preferred First Name'. Once processed, an email will be sent to confirm the change.

Office of Anti-Racism, Equity and Human Rights Services: diversity@georgebrown.ca
Ignite research project: Hall of Justice Poster project
Location of some posters: 200 King Street East
Contact for support and reporting human rights violations or sexual violence: diversity@georgebrown.ca",",
* Where can individuals go to contact the Office of Anti-Racism, Equity and Human Rights Services at George Brown College for support?"
2,7f360462-ade4-4464-b812-dcf05ff5d2f0," George Brown College is committed to creating inclusive learning, working, and living environments for members of the 2SLGBTQIA+ community. The college prohibits discrimination and harassment based on various grounds including sexual orientation and gender identity under the Ontario Human Rights Code. Individuals who have experienced Homophobia, Transphobia or Biphobia can contact the Office of Anti-Racism, Equity and Human Rights Services at diversity@georgebrown.ca for support.

The college has an ongoing Ignite research project, Hall of Justice Poster project, which showcases the stories of essential 2SLGBTQ+ activists and some posters can be found at 200 King Street East.

All George Brown students and employees can update their preferred first name on their student record through their Stu-View account. This process will change the displayed first name across various platforms like Stu-View, Brightspace, Email, and in Microsoft Office applications. However, this process won't alter a student's legal name for business practices and legal requirements.

To update the preferred first name, students need to log into their Stu-view account, select the 'Personal Information' tab, and select 'Preferred First Name'. Once processed, an email will be sent to confirm the change.

Office of Anti-Racism, Equity and Human Rights Services: diversity@georgebrown.ca
Ignite research project: Hall of Justice Poster project
Location of some posters: 200 King Street East
Contact for support and reporting human rights violations or sexual violence: diversity@georgebrown.ca",",
* What projects does George Brown College have ongoing that showcase stories of essential 2SLGBTQ+ activists?"
3,7f360462-ade4-4464-b812-dcf05ff5d2f0," George Brown College is committed to creating inclusive learning, working, and living environments for members of the 2SLGBTQIA+ community. The college prohibits discrimination and harassment based on various grounds including sexual orientation and gender identity under the Ontario Human Rights Code. Individuals who have experienced Homophobia, Transphobia or Biphobia can contact the Office of Anti-Racism, Equity and Human Rights Services at diversity@georgebrown.ca for support.

The college has an ongoing Ignite research project, Hall of Justice Poster project, which showcases the stories of essential 2SLGBTQ+ activists and some posters can be found at 200 King Street East.

All George Brown students and employees can update their preferred first name on their student record through their Stu-View account. This process will change the displayed first name across various platforms like Stu-View, Brightspace, Email, and in Microsoft Office applications. However, this process won't alter a student's legal name for business practices and legal requirements.

To update the preferred first name, students need to log into their Stu-view account, select the 'Personal Information' tab, and select 'Preferred First Name'. Once processed, an email will be sent to confirm the change.

Office of Anti-Racism, Equity and Human Rights Services: diversity@georgebrown.ca
Ignite research project: Hall of Justice Poster project
Location of some posters: 200 King Street East
Contact for support and reporting human rights violations or sexual violence: diversity@georgebrown.ca",",
* Where can some of the posters from the Hall of Justice Poster project be found?"
4,7f360462-ade4-4464-b812-dcf05ff5d2f0," George Brown College is committed to creating inclusive learning, working, and living environments for members of the 2SLGBTQIA+ community. The college prohibits discrimination and harassment based on various grounds including sexual orientation and gender identity under the Ontario Human Rights Code. Individuals who have experienced Homophobia, Transphobia or Biphobia can contact the Office of Anti-Racism, Equity and Human Rights Services at diversity@georgebrown.ca for support.

The college has an ongoing Ignite research project, Hall of Justice Poster project, which showcases the stories of essential 2SLGBTQ+ activists and some posters can be found at 200 King Street East.

All George Brown students and employees can update their preferred first name on their student record through their Stu-View account. This process will change the displayed first name across various platforms like Stu-View, Brightspace, Email, and in Microsoft Office applications. However, this process won't alter a student's legal name for business practices and legal requirements.

To update the preferred first name, students need to log into their Stu-view account, select the 'Personal Information' tab, and select 'Preferred First Name'. Once processed, an email will be sent to confirm the change.

Office of Anti-Racism, Equity and Human Rights Services: diversity@georgebrown.ca
Ignite research project: Hall of Justice Poster project
Location of some posters: 200 King Street East
Contact for support and reporting human rights violations or sexual violence: diversity@georgebrown.ca",",
* How can students update their preferred first name on their student record at George Brown College?"
5,7f360462-ade4-4464-b812-dcf05ff5d2f0," George Brown College is committed to creating inclusive learning, working, and living environments for members of the 2SLGBTQIA+ community. The college prohibits discrimination and harassment based on various grounds including sexual orientation and gender identity under the Ontario Human Rights Code. Individuals who have experienced Homophobia, Transphobia or Biphobia can contact the Office of Anti-Racism, Equity and Human Rights Services at diversity@georgebrown.ca for support.

The college has an ongoing Ignite research project, Hall of Justice Poster project, which showcases the stories of essential 2SLGBTQ+ activists and some posters can be found at 200 King Street East.

All George Brown students and employees can update their preferred first name on their student record through their Stu-View account. This process will change the displayed first name across various platforms like Stu-View, Brightspace, Email, and in Microsoft Office applications. However, this process won't alter a student's legal name for business practices and legal requirements.

To update the preferred first name, students need to log into their Stu-view account, select the 'Personal Information' tab, and select 'Preferred First Name'. Once processed, an email will be sent to confirm the change.

Office of Anti-Racism, Equity and Human Rights Services: diversity@georgebrown.ca
Ignite research project: Hall of Justice Poster project
Location of some posters: 200 King Street East
Contact for support and reporting human rights violations or sexual violence: diversity@georgebrown.ca",",
* In what platforms will a student's preferred first name be changed after updating it in their Stu-View account?"
6,7f360462-ade4-4464-b812-dcf05ff5d2f0," George Brown College is committed to creating inclusive learning, working, and living environments for members of the 2SLGBTQIA+ community. The college prohibits discrimination and harassment based on various grounds including sexual orientation and gender identity under the Ontario Human Rights Code. Individuals who have experienced Homophobia, Transphobia or Biphobia can contact the Office of Anti-Racism, Equity and Human Rights Services at diversity@georgebrown.ca for support.

The college has an ongoing Ignite research project, Hall of Justice Poster project, which showcases the stories of essential 2SLGBTQ+ activists and some posters can be found at 200 King Street East.

All George Brown students and employees can update their preferred first name on their student record through their Stu-View account. This process will change the displayed first name across various platforms like Stu-View, Brightspace, Email, and in Microsoft Office applications. However, this process won't alter a student's legal name for business practices and legal requirements.

To update the preferred first name, students need to log into their Stu-view account, select the 'Personal Information' tab, and select 'Preferred First Name'. Once processed, an email will be sent to confirm the change.

Office of Anti-Racism, Equity and Human Rights Services: diversity@georgebrown.ca
Ignite research project: Hall of Justice Poster project
Location of some posters: 200 King Street East
Contact for support and reporting human rights violations or sexual violence: diversity@georgebrown.ca",",
* What email will be sent to confirm the change of preferred first name for students at George Brown College?"
7,7f360462-ade4-4464-b812-dcf05ff5d2f0," George Brown College is committed to creating inclusive learning, working, and living environments for members of the 2SLGBTQIA+ community. The college prohibits discrimination and harassment based on various grounds including sexual orientation and gender identity under the Ontario Human Rights Code. Individuals who have experienced Homophobia, Transphobia or Biphobia can contact the Office of Anti-Racism, Equity and Human Rights Services at diversity@georgebrown.ca for support.

The college has an ongoing Ignite research project, Hall of Justice Poster project, which showcases the stories of essential 2SLGBTQ+ activists and some posters can be found at 200 King Street East.

All George Brown students and employees can update their preferred first name on their student record through their Stu-View account. This process will change the displayed first name across various platforms like Stu-View, Brightspace, Email, and in Microsoft Office applications. However, this process won't alter a student's legal name for business practices and legal requirements.

To update the preferred first name, students need to log into their Stu-view account, select the 'Personal Information' tab, and select 'Preferred First Name'. Once processed, an email will be sent to confirm the change.

Office of Anti-Racism, Equity and Human Rights Services: diversity@georgebrown.ca
Ignite research project: Hall of Justice Poster project
Location of some posters: 200 King Street East
Contact for support and reporting human rights violations or sexual violence: diversity@georgebrown.ca",",
* Which office should individuals contact for reporting human rights violations or sexual violence at George Brown College?"
8,7f360462-ade4-4464-b812-dcf05ff5d2f0," George Brown College is committed to creating inclusive learning, working, and living environments for members of the 2SLGBTQIA+ community. The college prohibits discrimination and harassment based on various grounds including sexual orientation and gender identity under the Ontario Human Rights Code. Individuals who have experienced Homophobia, Transphobia or Biphobia can contact the Office of Anti-Racism, Equity and Human Rights Services at diversity@georgebrown.ca for support.

The college has an ongoing Ignite research project, Hall of Justice Poster project, which showcases the stories of essential 2SLGBTQ+ activists and some posters can be found at 200 King Street East.

All George Brown students and employees can update their preferred first name on their student record through their Stu-View account. This process will change the displayed first name across various platforms like Stu-View, Brightspace, Email, and in Microsoft Office applications. However, this process won't alter a student's legal name for business practices and legal requirements.

To update the preferred first name, students need to log into their Stu-view account, select the 'Personal Information' tab, and select 'Preferred First Name'. Once processed, an email will be sent to confirm the change.

Office of Anti-Racism, Equity and Human Rights Services: diversity@georgebrown.ca
Ignite research project: Hall of Justice Poster project
Location of some posters: 200 King Street East
Contact for support and reporting human rights violations or sexual violence: diversity@georgebrown.ca",?
9,4900e34e-c469-4fa0-9ce4-f7f7276f9527," George Brown College offers 2SLGBTQIA+ Awareness training to employees and students at regular intervals and upon request. The training provides education on the gender and sexuality spectrum, including terminology, concepts, and anti-oppression principles. It offers opportunities to learn practical approaches and tools for integrating/utilizing gender/sexuality diverse language and etiquette, and identifying and challenging homophobia/transphobia in classroom and public spaces in the GBC community.

The City of Toronto agency The 519 has created a glossary of terms related to their communities as a resource for facilitating ""shared understanding around equity, diversity, inclusion and awareness."" This resource outlines important information about Gender-Specific and Gender-Neutral pronouns and creating authentic spaces.

George Brown College marks Pride Month by raising the Pride flag. The Pride flag was changed in 2018 to represent Black and Indigenous people, specifically to include their voices and experiences which were not always included or reflected in Pride celebrations. The College Vice President, Student Success, Chris McGrath explained that this discussion became more prevalent in 2020 due to protests against anti-Black racism and because June marks Indigenous History Month in Canada.",1. What is the training called at George Brown College for 2SLGBTQIA+ Awareness?
