,contextId,context,question
0,44831c28-c366-402d-9f7c-0ac63283bc9e," The LLC Laptop Loan Policy of George Brown College has undergone changes as of December 18, 2023. The policy-related information can be found on Library News & Services. The contact details for the LLC are:

Address: Building H, 3rd Floor, Room 367, 341 King Street East, Toronto ON M5A 1L1, Canada
Phone number: 416-415-5000 ext. 4950 (local) or 1-877-515-5559 (TTY)
Email: ask.george@georgebrown.ca
Website: Visit Our Social Media Hub

The nearest subway station is King. The phone numbers and email are for inquiries related to the LLC specifically. It's important to note that the information contained on the website may change without notice, and students should verify George Brown College fee requirements.",1. Where can I find the latest changes in George Brown College LLC Laptop Loan Policy?
1,44831c28-c366-402d-9f7c-0ac63283bc9e," The LLC Laptop Loan Policy of George Brown College has undergone changes as of December 18, 2023. The policy-related information can be found on Library News & Services. The contact details for the LLC are:

Address: Building H, 3rd Floor, Room 367, 341 King Street East, Toronto ON M5A 1L1, Canada
Phone number: 416-415-5000 ext. 4950 (local) or 1-877-515-5559 (TTY)
Email: ask.george@georgebrown.ca
Website: Visit Our Social Media Hub

The nearest subway station is King. The phone numbers and email are for inquiries related to the LLC specifically. It's important to note that the information contained on the website may change without notice, and students should verify George Brown College fee requirements.",2. What is the address of George Brown College LLC?
2,44831c28-c366-402d-9f7c-0ac63283bc9e," The LLC Laptop Loan Policy of George Brown College has undergone changes as of December 18, 2023. The policy-related information can be found on Library News & Services. The contact details for the LLC are:

Address: Building H, 3rd Floor, Room 367, 341 King Street East, Toronto ON M5A 1L1, Canada
Phone number: 416-415-5000 ext. 4950 (local) or 1-877-515-5559 (TTY)
Email: ask.george@georgebrown.ca
Website: Visit Our Social Media Hub

The nearest subway station is King. The phone numbers and email are for inquiries related to the LLC specifically. It's important to note that the information contained on the website may change without notice, and students should verify George Brown College fee requirements.",3. In which building and floor is Room 367 located at George Brown College?
3,44831c28-c366-402d-9f7c-0ac63283bc9e," The LLC Laptop Loan Policy of George Brown College has undergone changes as of December 18, 2023. The policy-related information can be found on Library News & Services. The contact details for the LLC are:

Address: Building H, 3rd Floor, Room 367, 341 King Street East, Toronto ON M5A 1L1, Canada
Phone number: 416-415-5000 ext. 4950 (local) or 1-877-515-5559 (TTY)
Email: ask.george@georgebrown.ca
Website: Visit Our Social Media Hub

The nearest subway station is King. The phone numbers and email are for inquiries related to the LLC specifically. It's important to note that the information contained on the website may change without notice, and students should verify George Brown College fee requirements.",4. How can I contact George Brown College LLC by phone?
4,44831c28-c366-402d-9f7c-0ac63283bc9e," The LLC Laptop Loan Policy of George Brown College has undergone changes as of December 18, 2023. The policy-related information can be found on Library News & Services. The contact details for the LLC are:

Address: Building H, 3rd Floor, Room 367, 341 King Street East, Toronto ON M5A 1L1, Canada
Phone number: 416-415-5000 ext. 4950 (local) or 1-877-515-5559 (TTY)
Email: ask.george@georgebrown.ca
Website: Visit Our Social Media Hub

The nearest subway station is King. The phone numbers and email are for inquiries related to the LLC specifically. It's important to note that the information contained on the website may change without notice, and students should verify George Brown College fee requirements.",5. What number should I call if I need TTY assistance when contacting George Brown College LLC?
5,44831c28-c366-402d-9f7c-0ac63283bc9e," The LLC Laptop Loan Policy of George Brown College has undergone changes as of December 18, 2023. The policy-related information can be found on Library News & Services. The contact details for the LLC are:

Address: Building H, 3rd Floor, Room 367, 341 King Street East, Toronto ON M5A 1L1, Canada
Phone number: 416-415-5000 ext. 4950 (local) or 1-877-515-5559 (TTY)
Email: ask.george@georgebrown.ca
Website: Visit Our Social Media Hub

The nearest subway station is King. The phone numbers and email are for inquiries related to the LLC specifically. It's important to note that the information contained on the website may change without notice, and students should verify George Brown College fee requirements.",6. What is the email address for inquiries related to George Brown College LLC?
6,44831c28-c366-402d-9f7c-0ac63283bc9e," The LLC Laptop Loan Policy of George Brown College has undergone changes as of December 18, 2023. The policy-related information can be found on Library News & Services. The contact details for the LLC are:

Address: Building H, 3rd Floor, Room 367, 341 King Street East, Toronto ON M5A 1L1, Canada
Phone number: 416-415-5000 ext. 4950 (local) or 1-877-515-5559 (TTY)
Email: ask.george@georgebrown.ca
Website: Visit Our Social Media Hub

The nearest subway station is King. The phone numbers and email are for inquiries related to the LLC specifically. It's important to note that the information contained on the website may change without notice, and students should verify George Brown College fee requirements.",7. Where is the nearest subway station to George Brown College LLC?
7,44831c28-c366-402d-9f7c-0ac63283bc9e," The LLC Laptop Loan Policy of George Brown College has undergone changes as of December 18, 2023. The policy-related information can be found on Library News & Services. The contact details for the LLC are:

Address: Building H, 3rd Floor, Room 367, 341 King Street East, Toronto ON M5A 1L1, Canada
Phone number: 416-415-5000 ext. 4950 (local) or 1-877-515-5559 (TTY)
Email: ask.george@georgebrown.ca
Website: Visit Our Social Media Hub

The nearest subway station is King. The phone numbers and email are for inquiries related to the LLC specifically. It's important to note that the information contained on the website may change without notice, and students should verify George Brown College fee requirements.",8. For what types of inquiries should I use the provided phone numbers and email at George Brown College?
8,44831c28-c366-402d-9f7c-0ac63283bc9e," The LLC Laptop Loan Policy of George Brown College has undergone changes as of December 18, 2023. The policy-related information can be found on Library News & Services. The contact details for the LLC are:

Address: Building H, 3rd Floor, Room 367, 341 King Street East, Toronto ON M5A 1L1, Canada
Phone number: 416-415-5000 ext. 4950 (local) or 1-877-515-5559 (TTY)
Email: ask.george@georgebrown.ca
Website: Visit Our Social Media Hub

The nearest subway station is King. The phone numbers and email are for inquiries related to the LLC specifically. It's important to note that the information contained on the website may change without notice, and students should verify George Brown College fee requirements.",9. How often does the information on the George Brown College website change?
9,44831c28-c366-402d-9f7c-0ac63283bc9e," The LLC Laptop Loan Policy of George Brown College has undergone changes as of December 18, 2023. The policy-related information can be found on Library News & Services. The contact details for the LLC are:

Address: Building H, 3rd Floor, Room 367, 341 King Street East, Toronto ON M5A 1L1, Canada
Phone number: 416-415-5000 ext. 4950 (local) or 1-877-515-5559 (TTY)
Email: ask.george@georgebrown.ca
Website: Visit Our Social Media Hub

The nearest subway station is King. The phone numbers and email are for inquiries related to the LLC specifically. It's important to note that the information contained on the website may change without notice, and students should verify George Brown College fee requirements.",10. What steps should students take to verify George Brown College fee requirements?
