,contextId,context,question
0,bbd50261-ff9c-4b0e-82b5-f9c332fa416b," The Daphne Cockwell Centre for Health Sciences at George Brown College is located in downtown Toronto, overlooking the Toronto harbour. It was built to emphasize interprofessional team-based education and is equipped with state-of-the-art labs and classrooms, informal learning spaces, rooftop terraces, and supports emerging themes in health care delivery in Ontario.

George Brown College offers programs for students throughout their health careers, from entry to practice to postgraduate studies and professional development. The college operates health and wellness clinics called WAVE (Wellness, Applied Research and Visionary Education), which provides access to real clients for students to practice their skills in a controlled environment. Appointments can be made by visiting the WAVE client services reception on the third floor of the Daphne Cockwell Centre for Health Sciences at 51 Dockside Dr., calling (416) 415-4547, or emailing for scheduling.

The WAVE clinics include a Dental Clinic, Hearing Clinic, Fitness Studios, Active Living Clinic, and Health Promotion. The Simulation Centre in the Daphne Cockwell Centre for Health Sciences provides students with opportunities to learn in environments that mirror real-world settings, including hospital and long-term care environments and a replicated bachelor apartment (Health eHome). The Simulation Centre partners with other educational institutions, health-care facilities, and related associations such as Baycrest Hospital, CAMH, Emily’s House, and Philip Aziz Centre.

Programs offered: Throughout their health careers, from entry to practice to postgraduate studies and professional development. Specific programs are not mentioned in the text.",What programs does George Brown College offer for students in the health field?
1,bbd50261-ff9c-4b0e-82b5-f9c332fa416b," The Daphne Cockwell Centre for Health Sciences at George Brown College is located in downtown Toronto, overlooking the Toronto harbour. It was built to emphasize interprofessional team-based education and is equipped with state-of-the-art labs and classrooms, informal learning spaces, rooftop terraces, and supports emerging themes in health care delivery in Ontario.

George Brown College offers programs for students throughout their health careers, from entry to practice to postgraduate studies and professional development. The college operates health and wellness clinics called WAVE (Wellness, Applied Research and Visionary Education), which provides access to real clients for students to practice their skills in a controlled environment. Appointments can be made by visiting the WAVE client services reception on the third floor of the Daphne Cockwell Centre for Health Sciences at 51 Dockside Dr., calling (416) 415-4547, or emailing for scheduling.

The WAVE clinics include a Dental Clinic, Hearing Clinic, Fitness Studios, Active Living Clinic, and Health Promotion. The Simulation Centre in the Daphne Cockwell Centre for Health Sciences provides students with opportunities to learn in environments that mirror real-world settings, including hospital and long-term care environments and a replicated bachelor apartment (Health eHome). The Simulation Centre partners with other educational institutions, health-care facilities, and related associations such as Baycrest Hospital, CAMH, Emily’s House, and Philip Aziz Centre.

Programs offered: Throughout their health careers, from entry to practice to postgraduate studies and professional development. Specific programs are not mentioned in the text.",", Where is the Daphne Cockwell Centre for Health Sciences located?"
2,bbd50261-ff9c-4b0e-82b5-f9c332fa416b," The Daphne Cockwell Centre for Health Sciences at George Brown College is located in downtown Toronto, overlooking the Toronto harbour. It was built to emphasize interprofessional team-based education and is equipped with state-of-the-art labs and classrooms, informal learning spaces, rooftop terraces, and supports emerging themes in health care delivery in Ontario.

George Brown College offers programs for students throughout their health careers, from entry to practice to postgraduate studies and professional development. The college operates health and wellness clinics called WAVE (Wellness, Applied Research and Visionary Education), which provides access to real clients for students to practice their skills in a controlled environment. Appointments can be made by visiting the WAVE client services reception on the third floor of the Daphne Cockwell Centre for Health Sciences at 51 Dockside Dr., calling (416) 415-4547, or emailing for scheduling.

The WAVE clinics include a Dental Clinic, Hearing Clinic, Fitness Studios, Active Living Clinic, and Health Promotion. The Simulation Centre in the Daphne Cockwell Centre for Health Sciences provides students with opportunities to learn in environments that mirror real-world settings, including hospital and long-term care environments and a replicated bachelor apartment (Health eHome). The Simulation Centre partners with other educational institutions, health-care facilities, and related associations such as Baycrest Hospital, CAMH, Emily’s House, and Philip Aziz Centre.

Programs offered: Throughout their health careers, from entry to practice to postgraduate studies and professional development. Specific programs are not mentioned in the text.",", What facilities does the centre have for interprofessional team-based education?"
3,bbd50261-ff9c-4b0e-82b5-f9c332fa416b," The Daphne Cockwell Centre for Health Sciences at George Brown College is located in downtown Toronto, overlooking the Toronto harbour. It was built to emphasize interprofessional team-based education and is equipped with state-of-the-art labs and classrooms, informal learning spaces, rooftop terraces, and supports emerging themes in health care delivery in Ontario.

George Brown College offers programs for students throughout their health careers, from entry to practice to postgraduate studies and professional development. The college operates health and wellness clinics called WAVE (Wellness, Applied Research and Visionary Education), which provides access to real clients for students to practice their skills in a controlled environment. Appointments can be made by visiting the WAVE client services reception on the third floor of the Daphne Cockwell Centre for Health Sciences at 51 Dockside Dr., calling (416) 415-4547, or emailing for scheduling.

The WAVE clinics include a Dental Clinic, Hearing Clinic, Fitness Studios, Active Living Clinic, and Health Promotion. The Simulation Centre in the Daphne Cockwell Centre for Health Sciences provides students with opportunities to learn in environments that mirror real-world settings, including hospital and long-term care environments and a replicated bachelor apartment (Health eHome). The Simulation Centre partners with other educational institutions, health-care facilities, and related associations such as Baycrest Hospital, CAMH, Emily’s House, and Philip Aziz Centre.

Programs offered: Throughout their health careers, from entry to practice to postgraduate studies and professional development. Specific programs are not mentioned in the text.",", What services does the WAVE clinics provide for students?"
4,bbd50261-ff9c-4b0e-82b5-f9c332fa416b," The Daphne Cockwell Centre for Health Sciences at George Brown College is located in downtown Toronto, overlooking the Toronto harbour. It was built to emphasize interprofessional team-based education and is equipped with state-of-the-art labs and classrooms, informal learning spaces, rooftop terraces, and supports emerging themes in health care delivery in Ontario.

George Brown College offers programs for students throughout their health careers, from entry to practice to postgraduate studies and professional development. The college operates health and wellness clinics called WAVE (Wellness, Applied Research and Visionary Education), which provides access to real clients for students to practice their skills in a controlled environment. Appointments can be made by visiting the WAVE client services reception on the third floor of the Daphne Cockwell Centre for Health Sciences at 51 Dockside Dr., calling (416) 415-4547, or emailing for scheduling.

The WAVE clinics include a Dental Clinic, Hearing Clinic, Fitness Studios, Active Living Clinic, and Health Promotion. The Simulation Centre in the Daphne Cockwell Centre for Health Sciences provides students with opportunities to learn in environments that mirror real-world settings, including hospital and long-term care environments and a replicated bachelor apartment (Health eHome). The Simulation Centre partners with other educational institutions, health-care facilities, and related associations such as Baycrest Hospital, CAMH, Emily’s House, and Philip Aziz Centre.

Programs offered: Throughout their health careers, from entry to practice to postgraduate studies and professional development. Specific programs are not mentioned in the text.",", Which clinics are included in the WAVE program?"
5,bbd50261-ff9c-4b0e-82b5-f9c332fa416b," The Daphne Cockwell Centre for Health Sciences at George Brown College is located in downtown Toronto, overlooking the Toronto harbour. It was built to emphasize interprofessional team-based education and is equipped with state-of-the-art labs and classrooms, informal learning spaces, rooftop terraces, and supports emerging themes in health care delivery in Ontario.

George Brown College offers programs for students throughout their health careers, from entry to practice to postgraduate studies and professional development. The college operates health and wellness clinics called WAVE (Wellness, Applied Research and Visionary Education), which provides access to real clients for students to practice their skills in a controlled environment. Appointments can be made by visiting the WAVE client services reception on the third floor of the Daphne Cockwell Centre for Health Sciences at 51 Dockside Dr., calling (416) 415-4547, or emailing for scheduling.

The WAVE clinics include a Dental Clinic, Hearing Clinic, Fitness Studios, Active Living Clinic, and Health Promotion. The Simulation Centre in the Daphne Cockwell Centre for Health Sciences provides students with opportunities to learn in environments that mirror real-world settings, including hospital and long-term care environments and a replicated bachelor apartment (Health eHome). The Simulation Centre partners with other educational institutions, health-care facilities, and related associations such as Baycrest Hospital, CAMH, Emily’s House, and Philip Aziz Centre.

Programs offered: Throughout their health careers, from entry to practice to postgraduate studies and professional development. Specific programs are not mentioned in the text.",", How can appointments be made at the WAVE clinics?"
6,bbd50261-ff9c-4b0e-82b5-f9c332fa416b," The Daphne Cockwell Centre for Health Sciences at George Brown College is located in downtown Toronto, overlooking the Toronto harbour. It was built to emphasize interprofessional team-based education and is equipped with state-of-the-art labs and classrooms, informal learning spaces, rooftop terraces, and supports emerging themes in health care delivery in Ontario.

George Brown College offers programs for students throughout their health careers, from entry to practice to postgraduate studies and professional development. The college operates health and wellness clinics called WAVE (Wellness, Applied Research and Visionary Education), which provides access to real clients for students to practice their skills in a controlled environment. Appointments can be made by visiting the WAVE client services reception on the third floor of the Daphne Cockwell Centre for Health Sciences at 51 Dockside Dr., calling (416) 415-4547, or emailing for scheduling.

The WAVE clinics include a Dental Clinic, Hearing Clinic, Fitness Studios, Active Living Clinic, and Health Promotion. The Simulation Centre in the Daphne Cockwell Centre for Health Sciences provides students with opportunities to learn in environments that mirror real-world settings, including hospital and long-term care environments and a replicated bachelor apartment (Health eHome). The Simulation Centre partners with other educational institutions, health-care facilities, and related associations such as Baycrest Hospital, CAMH, Emily’s House, and Philip Aziz Centre.

Programs offered: Throughout their health careers, from entry to practice to postgraduate studies and professional development. Specific programs are not mentioned in the text.",", What institutions and health-care facilities does the Simulation Centre partner with?"
7,bbd50261-ff9c-4b0e-82b5-f9c332fa416b," The Daphne Cockwell Centre for Health Sciences at George Brown College is located in downtown Toronto, overlooking the Toronto harbour. It was built to emphasize interprofessional team-based education and is equipped with state-of-the-art labs and classrooms, informal learning spaces, rooftop terraces, and supports emerging themes in health care delivery in Ontario.

George Brown College offers programs for students throughout their health careers, from entry to practice to postgraduate studies and professional development. The college operates health and wellness clinics called WAVE (Wellness, Applied Research and Visionary Education), which provides access to real clients for students to practice their skills in a controlled environment. Appointments can be made by visiting the WAVE client services reception on the third floor of the Daphne Cockwell Centre for Health Sciences at 51 Dockside Dr., calling (416) 415-4547, or emailing for scheduling.

The WAVE clinics include a Dental Clinic, Hearing Clinic, Fitness Studios, Active Living Clinic, and Health Promotion. The Simulation Centre in the Daphne Cockwell Centre for Health Sciences provides students with opportunities to learn in environments that mirror real-world settings, including hospital and long-term care environments and a replicated bachelor apartment (Health eHome). The Simulation Centre partners with other educational institutions, health-care facilities, and related associations such as Baycrest Hospital, CAMH, Emily’s House, and Philip Aziz Centre.

Programs offered: Throughout their health careers, from entry to practice to postgraduate studies and professional development. Specific programs are not mentioned in the text.",?
8,f036d902-c53a-4ab1-9d19-6ce5844aa4f7," The text does not provide specific information about the programs offered by George Brown College. However, here are some factual information and entities mentioned in the text:

- CAMH (Centre for Addiction and Mental Health)
- Emily’s House
- Philip Aziz Centre
- St. Michael’s Hospital
- Trent University
- University of Toronto
- VHA Home HealthCare
- Sign Up Now
- 416-415-2000
- TTY: 1-877-515-5559
- ask.george@georgebrown.ca
- Social Media Hub

Please note that the text also mentions ""Learn more about the Simulation Centre"" and ""Learn more about our land acknowledgment,"" but no further information is provided about what these topics entail.",1. What is CAMH (Centre for Addiction and Mental Health)?
9,f036d902-c53a-4ab1-9d19-6ce5844aa4f7," The text does not provide specific information about the programs offered by George Brown College. However, here are some factual information and entities mentioned in the text:

- CAMH (Centre for Addiction and Mental Health)
- Emily’s House
- Philip Aziz Centre
- St. Michael’s Hospital
- Trent University
- University of Toronto
- VHA Home HealthCare
- Sign Up Now
- 416-415-2000
- TTY: 1-877-515-5559
- ask.george@georgebrown.ca
- Social Media Hub

Please note that the text also mentions ""Learn more about the Simulation Centre"" and ""Learn more about our land acknowledgment,"" but no further information is provided about what these topics entail.",", 2. Where is Emily’s House located?"
