,contextId,context,question
0,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.",What is the effective date of the LLC Laptop Loan Policy changes?
1,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.",", Who does the new policy apply to?"
2,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.",", What actions may be taken for policy violations?"
3,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.",", Where can I find guidelines for different resources in the library catalog?"
4,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.",", How do I contact George Brown Libraries?"
5,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.",", What is the toll-free number for TTY communication?"
6,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.",", What email address should I use to reach out to the libraries' support team?"
7,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.",", Who is currently serving as the Director of Academic Services & Learning Resources at George Brown College?"
8,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.","Where can I find college news, deadlines, events, and tour information?"
9,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.",What is the land acknowledgment information available for?
10,29085943-b6ed-4893-8385-10330db983e2," Changes to LLC Laptop Loan Policy made on December 18, 2023. The policy applies to current students, faculty, and staff for educational purposes. Usage of electronic products is monitored, and violations may result in disciplinary action. Guidelines for most resources can be found in their respective catalog records. Access George Brown Libraries' contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The website information is subject to change without notice and should not be considered a representation or warranty. Colin Fitzsimmons is the Director of Academic Services & Learning Resources as of March 1, 2023. For college news, deadlines, events, tours, sign up at ""Sign Up Now"". Land acknowledgment information is also available.",?
