,contextId,context,question
0,804f2dbb-55b4-4f02-8630-fda74e28cd15," The School of Design at George Brown College is a leading design learning space that aims to educate the next generation of industry professionals. The programs offered are based on real-world practice, state-of-the-art technology and facilities, and collaborative training. George Brown College has helped several businesses and individuals, including Umbra and alumni Paul Rowan and Savanna Jackson.

Paul Rowan, a George Brown Alumnus and Co-Founder of Umbra, stated that George Brown's involvement in their project has been invaluable, as they have an office there and have received help with computers. Savanna Jackson, a former Biology student at a university, felt the need to explore her passion for art and began attending George Brown College's School of Design. Vicky, who initially studied Geographic Analysis at another university but found data management unfulfilling, later joined the School of Design at George Brown College and now works as a Marketing Design and Project Coordinator for David C.

Kristina Camara, a recent graduate of the Graphic Design program at George Brown's School of Design, had multiple job offers and chose the one with the most responsibility. She credits her education and experience from the program at George Brown with giving her the confidence to take the job.",1. Who is the Co-Founder of Umbra and a George Brown Alumnus?
1,804f2dbb-55b4-4f02-8630-fda74e28cd15," The School of Design at George Brown College is a leading design learning space that aims to educate the next generation of industry professionals. The programs offered are based on real-world practice, state-of-the-art technology and facilities, and collaborative training. George Brown College has helped several businesses and individuals, including Umbra and alumni Paul Rowan and Savanna Jackson.

Paul Rowan, a George Brown Alumnus and Co-Founder of Umbra, stated that George Brown's involvement in their project has been invaluable, as they have an office there and have received help with computers. Savanna Jackson, a former Biology student at a university, felt the need to explore her passion for art and began attending George Brown College's School of Design. Vicky, who initially studied Geographic Analysis at another university but found data management unfulfilling, later joined the School of Design at George Brown College and now works as a Marketing Design and Project Coordinator for David C.

Kristina Camara, a recent graduate of the Graphic Design program at George Brown's School of Design, had multiple job offers and chose the one with the most responsibility. She credits her education and experience from the program at George Brown with giving her the confidence to take the job.",",
2. What kind of help did Umbra receive from George Brown College?"
2,804f2dbb-55b4-4f02-8630-fda74e28cd15," The School of Design at George Brown College is a leading design learning space that aims to educate the next generation of industry professionals. The programs offered are based on real-world practice, state-of-the-art technology and facilities, and collaborative training. George Brown College has helped several businesses and individuals, including Umbra and alumni Paul Rowan and Savanna Jackson.

Paul Rowan, a George Brown Alumnus and Co-Founder of Umbra, stated that George Brown's involvement in their project has been invaluable, as they have an office there and have received help with computers. Savanna Jackson, a former Biology student at a university, felt the need to explore her passion for art and began attending George Brown College's School of Design. Vicky, who initially studied Geographic Analysis at another university but found data management unfulfilling, later joined the School of Design at George Brown College and now works as a Marketing Design and Project Coordinator for David C.

Kristina Camara, a recent graduate of the Graphic Design program at George Brown's School of Design, had multiple job offers and chose the one with the most responsibility. She credits her education and experience from the program at George Brown with giving her the confidence to take the job.","，
3. Why did Savanna Jackson decide to attend George Brown College's School of Design?"
3,804f2dbb-55b4-4f02-8630-fda74e28cd15," The School of Design at George Brown College is a leading design learning space that aims to educate the next generation of industry professionals. The programs offered are based on real-world practice, state-of-the-art technology and facilities, and collaborative training. George Brown College has helped several businesses and individuals, including Umbra and alumni Paul Rowan and Savanna Jackson.

Paul Rowan, a George Brown Alumnus and Co-Founder of Umbra, stated that George Brown's involvement in their project has been invaluable, as they have an office there and have received help with computers. Savanna Jackson, a former Biology student at a university, felt the need to explore her passion for art and began attending George Brown College's School of Design. Vicky, who initially studied Geographic Analysis at another university but found data management unfulfilling, later joined the School of Design at George Brown College and now works as a Marketing Design and Project Coordinator for David C.

Kristina Camara, a recent graduate of the Graphic Design program at George Brown's School of Design, had multiple job offers and chose the one with the most responsibility. She credits her education and experience from the program at George Brown with giving her the confidence to take the job.","，
4. What was Vicky's major in her previous university?"
4,804f2dbb-55b4-4f02-8630-fda74e28cd15," The School of Design at George Brown College is a leading design learning space that aims to educate the next generation of industry professionals. The programs offered are based on real-world practice, state-of-the-art technology and facilities, and collaborative training. George Brown College has helped several businesses and individuals, including Umbra and alumni Paul Rowan and Savanna Jackson.

Paul Rowan, a George Brown Alumnus and Co-Founder of Umbra, stated that George Brown's involvement in their project has been invaluable, as they have an office there and have received help with computers. Savanna Jackson, a former Biology student at a university, felt the need to explore her passion for art and began attending George Brown College's School of Design. Vicky, who initially studied Geographic Analysis at another university but found data management unfulfilling, later joined the School of Design at George Brown College and now works as a Marketing Design and Project Coordinator for David C.

Kristina Camara, a recent graduate of the Graphic Design program at George Brown's School of Design, had multiple job offers and chose the one with the most responsibility. She credits her education and experience from the program at George Brown with giving her the confidence to take the job.","，
5. How does Vicky describe her experience at the School of Design at George Brown College now?"
5,804f2dbb-55b4-4f02-8630-fda74e28cd15," The School of Design at George Brown College is a leading design learning space that aims to educate the next generation of industry professionals. The programs offered are based on real-world practice, state-of-the-art technology and facilities, and collaborative training. George Brown College has helped several businesses and individuals, including Umbra and alumni Paul Rowan and Savanna Jackson.

Paul Rowan, a George Brown Alumnus and Co-Founder of Umbra, stated that George Brown's involvement in their project has been invaluable, as they have an office there and have received help with computers. Savanna Jackson, a former Biology student at a university, felt the need to explore her passion for art and began attending George Brown College's School of Design. Vicky, who initially studied Geographic Analysis at another university but found data management unfulfilling, later joined the School of Design at George Brown College and now works as a Marketing Design and Project Coordinator for David C.

Kristina Camara, a recent graduate of the Graphic Design program at George Brown's School of Design, had multiple job offers and chose the one with the most responsibility. She credits her education and experience from the program at George Brown with giving her the confidence to take the job.","，
6. Which program did Kristina Camara graduate from at George Brown's School of Design?"
6,804f2dbb-55b4-4f02-8630-fda74e28cd15," The School of Design at George Brown College is a leading design learning space that aims to educate the next generation of industry professionals. The programs offered are based on real-world practice, state-of-the-art technology and facilities, and collaborative training. George Brown College has helped several businesses and individuals, including Umbra and alumni Paul Rowan and Savanna Jackson.

Paul Rowan, a George Brown Alumnus and Co-Founder of Umbra, stated that George Brown's involvement in their project has been invaluable, as they have an office there and have received help with computers. Savanna Jackson, a former Biology student at a university, felt the need to explore her passion for art and began attending George Brown College's School of Design. Vicky, who initially studied Geographic Analysis at another university but found data management unfulfilling, later joined the School of Design at George Brown College and now works as a Marketing Design and Project Coordinator for David C.

Kristina Camara, a recent graduate of the Graphic Design program at George Brown's School of Design, had multiple job offers and chose the one with the most responsibility. She credits her education and experience from the program at George Brown with giving her the confidence to take the job.","，
7. Why did Kristina choose the job with the most responsibility among multiple offers?"
7,804f2dbb-55b4-4f02-8630-fda74e28cd15," The School of Design at George Brown College is a leading design learning space that aims to educate the next generation of industry professionals. The programs offered are based on real-world practice, state-of-the-art technology and facilities, and collaborative training. George Brown College has helped several businesses and individuals, including Umbra and alumni Paul Rowan and Savanna Jackson.

Paul Rowan, a George Brown Alumnus and Co-Founder of Umbra, stated that George Brown's involvement in their project has been invaluable, as they have an office there and have received help with computers. Savanna Jackson, a former Biology student at a university, felt the need to explore her passion for art and began attending George Brown College's School of Design. Vicky, who initially studied Geographic Analysis at another university but found data management unfulfilling, later joined the School of Design at George Brown College and now works as a Marketing Design and Project Coordinator for David C.

Kristina Camara, a recent graduate of the Graphic Design program at George Brown's School of Design, had multiple job offers and chose the one with the most responsibility. She credits her education and experience from the program at George Brown with giving her the confidence to take the job.","，
8. What confidence did Kristina gain from her education and experience at George Brown College?"
8,804f2dbb-55b4-4f02-8630-fda74e28cd15," The School of Design at George Brown College is a leading design learning space that aims to educate the next generation of industry professionals. The programs offered are based on real-world practice, state-of-the-art technology and facilities, and collaborative training. George Brown College has helped several businesses and individuals, including Umbra and alumni Paul Rowan and Savanna Jackson.

Paul Rowan, a George Brown Alumnus and Co-Founder of Umbra, stated that George Brown's involvement in their project has been invaluable, as they have an office there and have received help with computers. Savanna Jackson, a former Biology student at a university, felt the need to explore her passion for art and began attending George Brown College's School of Design. Vicky, who initially studied Geographic Analysis at another university but found data management unfulfilling, later joined the School of Design at George Brown College and now works as a Marketing Design and Project Coordinator for David C.

Kristina Camara, a recent graduate of the Graphic Design program at George Brown's School of Design, had multiple job offers and chose the one with the most responsibility. She credits her education and experience from the program at George Brown with giving her the confidence to take the job.",?
9,50d8da82-b2f6-40b8-b910-486117d2b558," Camara is a Marketing Design and Project Coordinator for David C. Cook Distribution Canada, working in graphic design for sales and marketing presentations for new books or an entire line of books. She graduated from George Brown College with a focus on graphic design, which allows students to discover their specialization throughout the program. The program's strong industry connections and professional certification from the Registered Graphic Designers of Ontario (RGD) were important considerations for Camara. She won an award in the RGD Student Awards competition during her final year. In her current role, she communicates with printers and suppliers to print thousands of publications, having gone from printing one project for grading to much larger responsibilities. Camara took co-op in grade 11 but decided against teaching visual arts and considered graphic design due to instructor recommendations. She found George Brown's program unique because it allows students to specialize in an area of design rather than a generic focus.",What is Camara's current role at David C. Cook Distribution Canada?
