,contextId,context,question
0,344f94dd-0060-4b5d-982a-e1aece02410c," Program Co-ordinator: Erika Stebbings, email: Erika.Stebbings@georgebrown.ca
Contact Information for School of Deaf and Deafblind Studies: phone number 416-415-5000, ext. 2185, email: deafstudies@georgebrown.ca

Links to recorded information sessions about American Sign Language and Deaf Studies (C114) program:
- Part One: 4:12 minutes introductory segment
- Part Two: 1:55 minutes segment on career options and educational pathways
- Part Three: 3:07 minutes segment on courses, admission requirements, and student services

Additional contact information for George Brown College: phone number 416-415-2000, TTY: 1-877-515-5559, email ask.george@georgebrown.ca
Website note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",* Who is the program coordinator for the American Sign Language and Deaf Studies (C114) program?
1,344f94dd-0060-4b5d-982a-e1aece02410c," Program Co-ordinator: Erika Stebbings, email: Erika.Stebbings@georgebrown.ca
Contact Information for School of Deaf and Deafblind Studies: phone number 416-415-5000, ext. 2185, email: deafstudies@georgebrown.ca

Links to recorded information sessions about American Sign Language and Deaf Studies (C114) program:
- Part One: 4:12 minutes introductory segment
- Part Two: 1:55 minutes segment on career options and educational pathways
- Part Three: 3:07 minutes segment on courses, admission requirements, and student services

Additional contact information for George Brown College: phone number 416-415-2000, TTY: 1-877-515-5559, email ask.george@georgebrown.ca
Website note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Email:?"
2,344f94dd-0060-4b5d-982a-e1aece02410c," Program Co-ordinator: Erika Stebbings, email: Erika.Stebbings@georgebrown.ca
Contact Information for School of Deaf and Deafblind Studies: phone number 416-415-5000, ext. 2185, email: deafstudies@georgebrown.ca

Links to recorded information sessions about American Sign Language and Deaf Studies (C114) program:
- Part One: 4:12 minutes introductory segment
- Part Two: 1:55 minutes segment on career options and educational pathways
- Part Three: 3:07 minutes segment on courses, admission requirements, and student services

Additional contact information for George Brown College: phone number 416-415-2000, TTY: 1-877-515-5559, email ask.george@georgebrown.ca
Website note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",* What is the phone number for the School of Deaf and Deafblind Studies at George Brown College?
3,344f94dd-0060-4b5d-982a-e1aece02410c," Program Co-ordinator: Erika Stebbings, email: Erika.Stebbings@georgebrown.ca
Contact Information for School of Deaf and Deafblind Studies: phone number 416-415-5000, ext. 2185, email: deafstudies@georgebrown.ca

Links to recorded information sessions about American Sign Language and Deaf Studies (C114) program:
- Part One: 4:12 minutes introductory segment
- Part Two: 1:55 minutes segment on career options and educational pathways
- Part Three: 3:07 minutes segment on courses, admission requirements, and student services

Additional contact information for George Brown College: phone number 416-415-2000, TTY: 1-877-515-5559, email ask.george@georgebrown.ca
Website note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Ext.?"
4,344f94dd-0060-4b5d-982a-e1aece02410c," Program Co-ordinator: Erika Stebbings, email: Erika.Stebbings@georgebrown.ca
Contact Information for School of Deaf and Deafblind Studies: phone number 416-415-5000, ext. 2185, email: deafstudies@georgebrown.ca

Links to recorded information sessions about American Sign Language and Deaf Studies (C114) program:
- Part One: 4:12 minutes introductory segment
- Part Two: 1:55 minutes segment on career options and educational pathways
- Part Three: 3:07 minutes segment on courses, admission requirements, and student services

Additional contact information for George Brown College: phone number 416-415-2000, TTY: 1-877-515-5559, email ask.george@georgebrown.ca
Website note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",* Where can one find recorded information sessions about the American Sign Language and Deaf Studies (C114) program?
5,344f94dd-0060-4b5d-982a-e1aece02410c," Program Co-ordinator: Erika Stebbings, email: Erika.Stebbings@georgebrown.ca
Contact Information for School of Deaf and Deafblind Studies: phone number 416-415-5000, ext. 2185, email: deafstudies@georgebrown.ca

Links to recorded information sessions about American Sign Language and Deaf Studies (C114) program:
- Part One: 4:12 minutes introductory segment
- Part Two: 1:55 minutes segment on career options and educational pathways
- Part Three: 3:07 minutes segment on courses, admission requirements, and student services

Additional contact information for George Brown College: phone number 416-415-2000, TTY: 1-877-515-5559, email ask.george@georgebrown.ca
Website note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Part One lasts how long?"
6,344f94dd-0060-4b5d-982a-e1aece02410c," Program Co-ordinator: Erika Stebbings, email: Erika.Stebbings@georgebrown.ca
Contact Information for School of Deaf and Deafblind Studies: phone number 416-415-5000, ext. 2185, email: deafstudies@georgebrown.ca

Links to recorded information sessions about American Sign Language and Deaf Studies (C114) program:
- Part One: 4:12 minutes introductory segment
- Part Two: 1:55 minutes segment on career options and educational pathways
- Part Three: 3:07 minutes segment on courses, admission requirements, and student services

Additional contact information for George Brown College: phone number 416-415-2000, TTY: 1-877-515-5559, email ask.george@georgebrown.ca
Website note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",* What career options and educational pathways are discussed in the second part of the recorded information session about the American Sign Language and Deaf Studies (C114) program?
7,344f94dd-0060-4b5d-982a-e1aece02410c," Program Co-ordinator: Erika Stebbings, email: Erika.Stebbings@georgebrown.ca
Contact Information for School of Deaf and Deafblind Studies: phone number 416-415-5000, ext. 2185, email: deafstudies@georgebrown.ca

Links to recorded information sessions about American Sign Language and Deaf Studies (C114) program:
- Part One: 4:12 minutes introductory segment
- Part Two: 1:55 minutes segment on career options and educational pathways
- Part Three: 3:07 minutes segment on courses, admission requirements, and student services

Additional contact information for George Brown College: phone number 416-415-2000, TTY: 1-877-515-5559, email ask.george@georgebrown.ca
Website note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.","* In the third part of the recorded information sessions about the American Sign Language and Deaf Studies (C114) program, what topics are covered regarding courses, admission requirements, and student services?"
8,344f94dd-0060-4b5d-982a-e1aece02410c," Program Co-ordinator: Erika Stebbings, email: Erika.Stebbings@georgebrown.ca
Contact Information for School of Deaf and Deafblind Studies: phone number 416-415-5000, ext. 2185, email: deafstudies@georgebrown.ca

Links to recorded information sessions about American Sign Language and Deaf Studies (C114) program:
- Part One: 4:12 minutes introductory segment
- Part Two: 1:55 minutes segment on career options and educational pathways
- Part Three: 3:07 minutes segment on courses, admission requirements, and student services

Additional contact information for George Brown College: phone number 416-415-2000, TTY: 1-877-515-5559, email ask.george@georgebrown.ca
Website note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",* What is the alternative contact email for George Brown College?
9,344f94dd-0060-4b5d-982a-e1aece02410c," Program Co-ordinator: Erika Stebbings, email: Erika.Stebbings@georgebrown.ca
Contact Information for School of Deaf and Deafblind Studies: phone number 416-415-5000, ext. 2185, email: deafstudies@georgebrown.ca

Links to recorded information sessions about American Sign Language and Deaf Studies (C114) program:
- Part One: 4:12 minutes introductory segment
- Part Two: 1:55 minutes segment on career options and educational pathways
- Part Three: 3:07 minutes segment on courses, admission requirements, and student services

Additional contact information for George Brown College: phone number 416-415-2000, TTY: 1-877-515-5559, email ask.george@georgebrown.ca
Website note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",* What is the TTY number to contact George Brown College?
