,contextId,context,question
0,965ac384-402c-4af7-9182-5a57fd3afc8b," The George Brown College Foundation is led by directors with a strong commitment to the college's goals and objectives. Erin Griffiths, Chair of the Board of Directors, is the Senior Vice President, Client Solutions at Scotiabank, responsible for various business units including Scotia Wealth Management and Scotiatrust. She has over 20 years of industry experience and sits on several boards and speaks frequently at industry events. Erin holds a BA in Sociology from Queen's University and an MBA from York University.

Leen Yong Li, Chair of the Finance and Investment Committees, is the CEO of the Wealthsimple Foundation, dedicated to enabling access to post-secondary education in Canada. She has over 20 years of experience in finance and technology and holds an MBA in Finance from St. Mary's University. Born in China, she came to Canada as an international student in her mid-twenties and held various C-level positions including CFO at Wealthsimple and VP at Influitive, Medchart, #movethedial, and Pressly.

Cindy, a director, is an accomplished leader with over [amount redacted] years of experience. Dr. Cindy Gouveia's tenure and accomplishments are not detailed in the provided text.",* Who is the Chair of the Board of Directors at George Brown College Foundation?
1,965ac384-402c-4af7-9182-5a57fd3afc8b," The George Brown College Foundation is led by directors with a strong commitment to the college's goals and objectives. Erin Griffiths, Chair of the Board of Directors, is the Senior Vice President, Client Solutions at Scotiabank, responsible for various business units including Scotia Wealth Management and Scotiatrust. She has over 20 years of industry experience and sits on several boards and speaks frequently at industry events. Erin holds a BA in Sociology from Queen's University and an MBA from York University.

Leen Yong Li, Chair of the Finance and Investment Committees, is the CEO of the Wealthsimple Foundation, dedicated to enabling access to post-secondary education in Canada. She has over 20 years of experience in finance and technology and holds an MBA in Finance from St. Mary's University. Born in China, she came to Canada as an international student in her mid-twenties and held various C-level positions including CFO at Wealthsimple and VP at Influitive, Medchart, #movethedial, and Pressly.

Cindy, a director, is an accomplished leader with over [amount redacted] years of experience. Dr. Cindy Gouveia's tenure and accomplishments are not detailed in the provided text.",", What is Erin Griffiths' current role at Scotiabank?"
2,965ac384-402c-4af7-9182-5a57fd3afc8b," The George Brown College Foundation is led by directors with a strong commitment to the college's goals and objectives. Erin Griffiths, Chair of the Board of Directors, is the Senior Vice President, Client Solutions at Scotiabank, responsible for various business units including Scotia Wealth Management and Scotiatrust. She has over 20 years of industry experience and sits on several boards and speaks frequently at industry events. Erin holds a BA in Sociology from Queen's University and an MBA from York University.

Leen Yong Li, Chair of the Finance and Investment Committees, is the CEO of the Wealthsimple Foundation, dedicated to enabling access to post-secondary education in Canada. She has over 20 years of experience in finance and technology and holds an MBA in Finance from St. Mary's University. Born in China, she came to Canada as an international student in her mid-twenties and held various C-level positions including CFO at Wealthsimple and VP at Influitive, Medchart, #movethedial, and Pressly.

Cindy, a director, is an accomplished leader with over [amount redacted] years of experience. Dr. Cindy Gouveia's tenure and accomplishments are not detailed in the provided text.",", How long has Erin Griffiths worked in the industry?"
3,965ac384-402c-4af7-9182-5a57fd3afc8b," The George Brown College Foundation is led by directors with a strong commitment to the college's goals and objectives. Erin Griffiths, Chair of the Board of Directors, is the Senior Vice President, Client Solutions at Scotiabank, responsible for various business units including Scotia Wealth Management and Scotiatrust. She has over 20 years of industry experience and sits on several boards and speaks frequently at industry events. Erin holds a BA in Sociology from Queen's University and an MBA from York University.

Leen Yong Li, Chair of the Finance and Investment Committees, is the CEO of the Wealthsimple Foundation, dedicated to enabling access to post-secondary education in Canada. She has over 20 years of experience in finance and technology and holds an MBA in Finance from St. Mary's University. Born in China, she came to Canada as an international student in her mid-twenties and held various C-level positions including CFO at Wealthsimple and VP at Influitive, Medchart, #movethedial, and Pressly.

Cindy, a director, is an accomplished leader with over [amount redacted] years of experience. Dr. Cindy Gouveia's tenure and accomplishments are not detailed in the provided text.",", What boards does Erin Griffiths sit on?"
4,965ac384-402c-4af7-9182-5a57fd3afc8b," The George Brown College Foundation is led by directors with a strong commitment to the college's goals and objectives. Erin Griffiths, Chair of the Board of Directors, is the Senior Vice President, Client Solutions at Scotiabank, responsible for various business units including Scotia Wealth Management and Scotiatrust. She has over 20 years of industry experience and sits on several boards and speaks frequently at industry events. Erin holds a BA in Sociology from Queen's University and an MBA from York University.

Leen Yong Li, Chair of the Finance and Investment Committees, is the CEO of the Wealthsimple Foundation, dedicated to enabling access to post-secondary education in Canada. She has over 20 years of experience in finance and technology and holds an MBA in Finance from St. Mary's University. Born in China, she came to Canada as an international student in her mid-twenties and held various C-level positions including CFO at Wealthsimple and VP at Influitive, Medchart, #movethedial, and Pressly.

Cindy, a director, is an accomplished leader with over [amount redacted] years of experience. Dr. Cindy Gouveia's tenure and accomplishments are not detailed in the provided text.",", Where did Erin Griffiths earn her BA degree?"
5,965ac384-402c-4af7-9182-5a57fd3afc8b," The George Brown College Foundation is led by directors with a strong commitment to the college's goals and objectives. Erin Griffiths, Chair of the Board of Directors, is the Senior Vice President, Client Solutions at Scotiabank, responsible for various business units including Scotia Wealth Management and Scotiatrust. She has over 20 years of industry experience and sits on several boards and speaks frequently at industry events. Erin holds a BA in Sociology from Queen's University and an MBA from York University.

Leen Yong Li, Chair of the Finance and Investment Committees, is the CEO of the Wealthsimple Foundation, dedicated to enabling access to post-secondary education in Canada. She has over 20 years of experience in finance and technology and holds an MBA in Finance from St. Mary's University. Born in China, she came to Canada as an international student in her mid-twenties and held various C-level positions including CFO at Wealthsimple and VP at Influitive, Medchart, #movethedial, and Pressly.

Cindy, a director, is an accomplished leader with over [amount redacted] years of experience. Dr. Cindy Gouveia's tenure and accomplishments are not detailed in the provided text.",", In what university did Erin Griffiths get her MBA degree?"
6,965ac384-402c-4af7-9182-5a57fd3afc8b," The George Brown College Foundation is led by directors with a strong commitment to the college's goals and objectives. Erin Griffiths, Chair of the Board of Directors, is the Senior Vice President, Client Solutions at Scotiabank, responsible for various business units including Scotia Wealth Management and Scotiatrust. She has over 20 years of industry experience and sits on several boards and speaks frequently at industry events. Erin holds a BA in Sociology from Queen's University and an MBA from York University.

Leen Yong Li, Chair of the Finance and Investment Committees, is the CEO of the Wealthsimple Foundation, dedicated to enabling access to post-secondary education in Canada. She has over 20 years of experience in finance and technology and holds an MBA in Finance from St. Mary's University. Born in China, she came to Canada as an international student in her mid-twenties and held various C-level positions including CFO at Wealthsimple and VP at Influitive, Medchart, #movethedial, and Pressly.

Cindy, a director, is an accomplished leader with over [amount redacted] years of experience. Dr. Cindy Gouveia's tenure and accomplishments are not detailed in the provided text.",",
* Who is the Chair of the Finance and Investment Committees at George Brown College Foundation?"
7,965ac384-402c-4af7-9182-5a57fd3afc8b," The George Brown College Foundation is led by directors with a strong commitment to the college's goals and objectives. Erin Griffiths, Chair of the Board of Directors, is the Senior Vice President, Client Solutions at Scotiabank, responsible for various business units including Scotia Wealth Management and Scotiatrust. She has over 20 years of industry experience and sits on several boards and speaks frequently at industry events. Erin holds a BA in Sociology from Queen's University and an MBA from York University.

Leen Yong Li, Chair of the Finance and Investment Committees, is the CEO of the Wealthsimple Foundation, dedicated to enabling access to post-secondary education in Canada. She has over 20 years of experience in finance and technology and holds an MBA in Finance from St. Mary's University. Born in China, she came to Canada as an international student in her mid-twenties and held various C-level positions including CFO at Wealthsimple and VP at Influitive, Medchart, #movethedial, and Pressly.

Cindy, a director, is an accomplished leader with over [amount redacted] years of experience. Dr. Cindy Gouveia's tenure and accomplishments are not detailed in the provided text.",", What is Leen Yong Li's current role at Wealthsimple Foundation?"
8,965ac384-402c-4af7-9182-5a57fd3afc8b," The George Brown College Foundation is led by directors with a strong commitment to the college's goals and objectives. Erin Griffiths, Chair of the Board of Directors, is the Senior Vice President, Client Solutions at Scotiabank, responsible for various business units including Scotia Wealth Management and Scotiatrust. She has over 20 years of industry experience and sits on several boards and speaks frequently at industry events. Erin holds a BA in Sociology from Queen's University and an MBA from York University.

Leen Yong Li, Chair of the Finance and Investment Committees, is the CEO of the Wealthsimple Foundation, dedicated to enabling access to post-secondary education in Canada. She has over 20 years of experience in finance and technology and holds an MBA in Finance from St. Mary's University. Born in China, she came to Canada as an international student in her mid-twenties and held various C-level positions including CFO at Wealthsimple and VP at Influitive, Medchart, #movethedial, and Pressly.

Cindy, a director, is an accomplished leader with over [amount redacted] years of experience. Dr. Cindy Gouveia's tenure and accomplishments are not detailed in the provided text.",", How long has Leen Yong Li worked in finance and technology?"
9,965ac384-402c-4af7-9182-5a57fd3afc8b," The George Brown College Foundation is led by directors with a strong commitment to the college's goals and objectives. Erin Griffiths, Chair of the Board of Directors, is the Senior Vice President, Client Solutions at Scotiabank, responsible for various business units including Scotia Wealth Management and Scotiatrust. She has over 20 years of industry experience and sits on several boards and speaks frequently at industry events. Erin holds a BA in Sociology from Queen's University and an MBA from York University.

Leen Yong Li, Chair of the Finance and Investment Committees, is the CEO of the Wealthsimple Foundation, dedicated to enabling access to post-secondary education in Canada. She has over 20 years of experience in finance and technology and holds an MBA in Finance from St. Mary's University. Born in China, she came to Canada as an international student in her mid-twenties and held various C-level positions including CFO at Wealthsimple and VP at Influitive, Medchart, #movethedial, and Pressly.

Cindy, a director, is an accomplished leader with over [amount redacted] years of experience. Dr. Cindy Gouveia's tenure and accomplishments are not detailed in the provided text.",", What other companies has Leen Yong Li held C-level positions in?"
