,contextId,context,question
0,9453ac3b-8e9b-4848-9a22-be5cf5817f03," The Centre for Community Services and Early Childhood at George Brown College offers certificates, diplomas, degrees, and postgraduate studies in community services, early childhood education, Deaf and Deafblind Studies, and Social & Community Services. Their programs include specialized skills training in American Sign Language, two-hand manual, and braille. The School of Early Childhood provides programming at various stages of careers. Students can practice job skills through field education opportunities in at least one program. There are 12 GTA lab school child care centres run by the college, making it Ontario's largest network of college-run child care facilities. George Brown College has partnerships across the Greater Toronto Area (GTA). For more information, contact ask.george@georgebrown.ca or visit their Social Media Hub. Phone: 416-415-2000; TTY: 1-877-515-5559. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",What certificates does the Centre for Community Services and Early Childhood at George Brown College offer?
1,9453ac3b-8e9b-4848-9a22-be5cf5817f03," The Centre for Community Services and Early Childhood at George Brown College offers certificates, diplomas, degrees, and postgraduate studies in community services, early childhood education, Deaf and Deafblind Studies, and Social & Community Services. Their programs include specialized skills training in American Sign Language, two-hand manual, and braille. The School of Early Childhood provides programming at various stages of careers. Students can practice job skills through field education opportunities in at least one program. There are 12 GTA lab school child care centres run by the college, making it Ontario's largest network of college-run child care facilities. George Brown College has partnerships across the Greater Toronto Area (GTA). For more information, contact ask.george@georgebrown.ca or visit their Social Media Hub. Phone: 416-415-2000; TTY: 1-877-515-5559. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Which programs does the Centre for Community Services and Early Childhood at George Brown College provide in Deaf and Deafblind Studies?"
2,9453ac3b-8e9b-4848-9a22-be5cf5817f03," The Centre for Community Services and Early Childhood at George Brown College offers certificates, diplomas, degrees, and postgraduate studies in community services, early childhood education, Deaf and Deafblind Studies, and Social & Community Services. Their programs include specialized skills training in American Sign Language, two-hand manual, and braille. The School of Early Childhood provides programming at various stages of careers. Students can practice job skills through field education opportunities in at least one program. There are 12 GTA lab school child care centres run by the college, making it Ontario's largest network of college-run child care facilities. George Brown College has partnerships across the Greater Toronto Area (GTA). For more information, contact ask.george@georgebrown.ca or visit their Social Media Hub. Phone: 416-415-2000; TTY: 1-877-515-5559. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Can you explain more about field education opportunities in their programs?"
3,9453ac3b-8e9b-4848-9a22-be5cf5817f03," The Centre for Community Services and Early Childhood at George Brown College offers certificates, diplomas, degrees, and postgraduate studies in community services, early childhood education, Deaf and Deafblind Studies, and Social & Community Services. Their programs include specialized skills training in American Sign Language, two-hand manual, and braille. The School of Early Childhood provides programming at various stages of careers. Students can practice job skills through field education opportunities in at least one program. There are 12 GTA lab school child care centres run by the college, making it Ontario's largest network of college-run child care facilities. George Brown College has partnerships across the Greater Toronto Area (GTA). For more information, contact ask.george@georgebrown.ca or visit their Social Media Hub. Phone: 416-415-2000; TTY: 1-877-515-5559. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", How many child care centres are run by George Brown College in the GTA?"
4,9453ac3b-8e9b-4848-9a22-be5cf5817f03," The Centre for Community Services and Early Childhood at George Brown College offers certificates, diplomas, degrees, and postgraduate studies in community services, early childhood education, Deaf and Deafblind Studies, and Social & Community Services. Their programs include specialized skills training in American Sign Language, two-hand manual, and braille. The School of Early Childhood provides programming at various stages of careers. Students can practice job skills through field education opportunities in at least one program. There are 12 GTA lab school child care centres run by the college, making it Ontario's largest network of college-run child care facilities. George Brown College has partnerships across the Greater Toronto Area (GTA). For more information, contact ask.george@georgebrown.ca or visit their Social Media Hub. Phone: 416-415-2000; TTY: 1-877-515-5559. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What partnerships does George Brown College have across the Greater Toronto Area (GTA)?"
5,9453ac3b-8e9b-4848-9a22-be5cf5817f03," The Centre for Community Services and Early Childhood at George Brown College offers certificates, diplomas, degrees, and postgraduate studies in community services, early childhood education, Deaf and Deafblind Studies, and Social & Community Services. Their programs include specialized skills training in American Sign Language, two-hand manual, and braille. The School of Early Childhood provides programming at various stages of careers. Students can practice job skills through field education opportunities in at least one program. There are 12 GTA lab school child care centres run by the college, making it Ontario's largest network of college-run child care facilities. George Brown College has partnerships across the Greater Toronto Area (GTA). For more information, contact ask.george@georgebrown.ca or visit their Social Media Hub. Phone: 416-415-2000; TTY: 1-877-515-5559. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Where can I find information about fee requirements for George Brown College programs?"
6,9453ac3b-8e9b-4848-9a22-be5cf5817f03," The Centre for Community Services and Early Childhood at George Brown College offers certificates, diplomas, degrees, and postgraduate studies in community services, early childhood education, Deaf and Deafblind Studies, and Social & Community Services. Their programs include specialized skills training in American Sign Language, two-hand manual, and braille. The School of Early Childhood provides programming at various stages of careers. Students can practice job skills through field education opportunities in at least one program. There are 12 GTA lab school child care centres run by the college, making it Ontario's largest network of college-run child care facilities. George Brown College has partnerships across the Greater Toronto Area (GTA). For more information, contact ask.george@georgebrown.ca or visit their Social Media Hub. Phone: 416-415-2000; TTY: 1-877-515-5559. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Who should students contact for more information about George Brown College programs and services?"
7,9453ac3b-8e9b-4848-9a22-be5cf5817f03," The Centre for Community Services and Early Childhood at George Brown College offers certificates, diplomas, degrees, and postgraduate studies in community services, early childhood education, Deaf and Deafblind Studies, and Social & Community Services. Their programs include specialized skills training in American Sign Language, two-hand manual, and braille. The School of Early Childhood provides programming at various stages of careers. Students can practice job skills through field education opportunities in at least one program. There are 12 GTA lab school child care centres run by the college, making it Ontario's largest network of college-run child care facilities. George Brown College has partnerships across the Greater Toronto Area (GTA). For more information, contact ask.george@georgebrown.ca or visit their Social Media Hub. Phone: 416-415-2000; TTY: 1-877-515-5559. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What communication methods does George Brown College provide for individuals with hearing impairments to contact them?"
8,9453ac3b-8e9b-4848-9a22-be5cf5817f03," The Centre for Community Services and Early Childhood at George Brown College offers certificates, diplomas, degrees, and postgraduate studies in community services, early childhood education, Deaf and Deafblind Studies, and Social & Community Services. Their programs include specialized skills training in American Sign Language, two-hand manual, and braille. The School of Early Childhood provides programming at various stages of careers. Students can practice job skills through field education opportunities in at least one program. There are 12 GTA lab school child care centres run by the college, making it Ontario's largest network of college-run child care facilities. George Brown College has partnerships across the Greater Toronto Area (GTA). For more information, contact ask.george@georgebrown.ca or visit their Social Media Hub. Phone: 416-415-2000; TTY: 1-877-515-5559. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Is the information on George Brown College website guaranteed to be up-to-date?"
9,9453ac3b-8e9b-4848-9a22-be5cf5817f03," The Centre for Community Services and Early Childhood at George Brown College offers certificates, diplomas, degrees, and postgraduate studies in community services, early childhood education, Deaf and Deafblind Studies, and Social & Community Services. Their programs include specialized skills training in American Sign Language, two-hand manual, and braille. The School of Early Childhood provides programming at various stages of careers. Students can practice job skills through field education opportunities in at least one program. There are 12 GTA lab school child care centres run by the college, making it Ontario's largest network of college-run child care facilities. George Brown College has partnerships across the Greater Toronto Area (GTA). For more information, contact ask.george@georgebrown.ca or visit their Social Media Hub. Phone: 416-415-2000; TTY: 1-877-515-5559. The college's website information is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",?
