,contextId,context,question
0,c7d393e6-ded1-4edd-bd8f-1b6785128f17," The text mentions several programs offered by George Brown College including Construction Management, Apprenticeship or Skilled Trade, Architecture, Engineering, and an unspecified program for which the Program Coordinator can be contacted for specific questions. The text also provides contact information for the Industry Liaison Office, including a phone number (416-415-5000 ext. 4919) and email address (ilotech@georgebrown.ca). Additionally, it mentions a general campus tour registration page, and contact information for George Brown College inquiries at ask.george@georgebrown.ca and a phone number (416-415-2000) with a TTY number (1-877-515-5559). The text also includes information about signing up for college news, application deadlines, events, tours, and more. Finally, it mentions a land acknowledgment page that can be learned more about.",1. Which programs is George Brown College known for offering?
1,c7d393e6-ded1-4edd-bd8f-1b6785128f17," The text mentions several programs offered by George Brown College including Construction Management, Apprenticeship or Skilled Trade, Architecture, Engineering, and an unspecified program for which the Program Coordinator can be contacted for specific questions. The text also provides contact information for the Industry Liaison Office, including a phone number (416-415-5000 ext. 4919) and email address (ilotech@georgebrown.ca). Additionally, it mentions a general campus tour registration page, and contact information for George Brown College inquiries at ask.george@georgebrown.ca and a phone number (416-415-2000) with a TTY number (1-877-515-5559). The text also includes information about signing up for college news, application deadlines, events, tours, and more. Finally, it mentions a land acknowledgment page that can be learned more about.",",
2. Can you provide more details about the Apprenticeship or Skilled Trade program?"
2,c7d393e6-ded1-4edd-bd8f-1b6785128f17," The text mentions several programs offered by George Brown College including Construction Management, Apprenticeship or Skilled Trade, Architecture, Engineering, and an unspecified program for which the Program Coordinator can be contacted for specific questions. The text also provides contact information for the Industry Liaison Office, including a phone number (416-415-5000 ext. 4919) and email address (ilotech@georgebrown.ca). Additionally, it mentions a general campus tour registration page, and contact information for George Brown College inquiries at ask.george@georgebrown.ca and a phone number (416-415-2000) with a TTY number (1-877-515-5559). The text also includes information about signing up for college news, application deadlines, events, tours, and more. Finally, it mentions a land acknowledgment page that can be learned more about.",",
3. What can I learn in the Construction Management program?"
3,c7d393e6-ded1-4edd-bd8f-1b6785128f17," The text mentions several programs offered by George Brown College including Construction Management, Apprenticeship or Skilled Trade, Architecture, Engineering, and an unspecified program for which the Program Coordinator can be contacted for specific questions. The text also provides contact information for the Industry Liaison Office, including a phone number (416-415-5000 ext. 4919) and email address (ilotech@georgebrown.ca). Additionally, it mentions a general campus tour registration page, and contact information for George Brown College inquiries at ask.george@georgebrown.ca and a phone number (416-415-2000) with a TTY number (1-877-515-5559). The text also includes information about signing up for college news, application deadlines, events, tours, and more. Finally, it mentions a land acknowledgment page that can be learned more about.",".,
4. How do I get in touch with the Program Coordinator for the unspecified program?"
4,c7d393e6-ded1-4edd-bd8f-1b6785128f17," The text mentions several programs offered by George Brown College including Construction Management, Apprenticeship or Skilled Trade, Architecture, Engineering, and an unspecified program for which the Program Coordinator can be contacted for specific questions. The text also provides contact information for the Industry Liaison Office, including a phone number (416-415-5000 ext. 4919) and email address (ilotech@georgebrown.ca). Additionally, it mentions a general campus tour registration page, and contact information for George Brown College inquiries at ask.george@georgebrown.ca and a phone number (416-415-2000) with a TTY number (1-877-515-5559). The text also includes information about signing up for college news, application deadlines, events, tours, and more. Finally, it mentions a land acknowledgment page that can be learned more about.",".,
5. What is the phone number for the Industry Liaison Office?"
5,c7d393e6-ded1-4edd-bd8f-1b6785128f17," The text mentions several programs offered by George Brown College including Construction Management, Apprenticeship or Skilled Trade, Architecture, Engineering, and an unspecified program for which the Program Coordinator can be contacted for specific questions. The text also provides contact information for the Industry Liaison Office, including a phone number (416-415-5000 ext. 4919) and email address (ilotech@georgebrown.ca). Additionally, it mentions a general campus tour registration page, and contact information for George Brown College inquiries at ask.george@georgebrown.ca and a phone number (416-415-2000) with a TTY number (1-877-515-5559). The text also includes information about signing up for college news, application deadlines, events, tours, and more. Finally, it mentions a land acknowledgment page that can be learned more about.",".,
6. How can I contact George Brown College for general inquiries?"
6,c7d393e6-ded1-4edd-bd8f-1b6785128f17," The text mentions several programs offered by George Brown College including Construction Management, Apprenticeship or Skilled Trade, Architecture, Engineering, and an unspecified program for which the Program Coordinator can be contacted for specific questions. The text also provides contact information for the Industry Liaison Office, including a phone number (416-415-5000 ext. 4919) and email address (ilotech@georgebrown.ca). Additionally, it mentions a general campus tour registration page, and contact information for George Brown College inquiries at ask.george@georgebrown.ca and a phone number (416-415-2000) with a TTY number (1-877-515-5559). The text also includes information about signing up for college news, application deadlines, events, tours, and more. Finally, it mentions a land acknowledgment page that can be learned more about.",".,
7. What is the TTY number for making phone calls to George Brown College?"
7,c7d393e6-ded1-4edd-bd8f-1b6785128f17," The text mentions several programs offered by George Brown College including Construction Management, Apprenticeship or Skilled Trade, Architecture, Engineering, and an unspecified program for which the Program Coordinator can be contacted for specific questions. The text also provides contact information for the Industry Liaison Office, including a phone number (416-415-5000 ext. 4919) and email address (ilotech@georgebrown.ca). Additionally, it mentions a general campus tour registration page, and contact information for George Brown College inquiries at ask.george@georgebrown.ca and a phone number (416-415-2000) with a TTY number (1-877-515-5559). The text also includes information about signing up for college news, application deadlines, events, tours, and more. Finally, it mentions a land acknowledgment page that can be learned more about.",".,
8. Where can I register for a campus tour?"
8,c7d393e6-ded1-4edd-bd8f-1b6785128f17," The text mentions several programs offered by George Brown College including Construction Management, Apprenticeship or Skilled Trade, Architecture, Engineering, and an unspecified program for which the Program Coordinator can be contacted for specific questions. The text also provides contact information for the Industry Liaison Office, including a phone number (416-415-5000 ext. 4919) and email address (ilotech@georgebrown.ca). Additionally, it mentions a general campus tour registration page, and contact information for George Brown College inquiries at ask.george@georgebrown.ca and a phone number (416-415-2000) with a TTY number (1-877-515-5559). The text also includes information about signing up for college news, application deadlines, events, tours, and more. Finally, it mentions a land acknowledgment page that can be learned more about.",".,
9. When are the application deadlines for the programs at George Brown College?"
9,c7d393e6-ded1-4edd-bd8f-1b6785128f17," The text mentions several programs offered by George Brown College including Construction Management, Apprenticeship or Skilled Trade, Architecture, Engineering, and an unspecified program for which the Program Coordinator can be contacted for specific questions. The text also provides contact information for the Industry Liaison Office, including a phone number (416-415-5000 ext. 4919) and email address (ilotech@georgebrown.ca). Additionally, it mentions a general campus tour registration page, and contact information for George Brown College inquiries at ask.george@georgebrown.ca and a phone number (416-415-2000) with a TTY number (1-877-515-5559). The text also includes information about signing up for college news, application deadlines, events, tours, and more. Finally, it mentions a land acknowledgment page that can be learned more about.",",
10. What events does George Brown College organize?"
