,contextId,context,question
0,db97a6f0-f1e3-4978-b4cd-1d87943c0664," The Office of Institutional Research & Planning at George Brown College can be contacted via email at iresearch@georgebrown.ca or by phone at 416-415-5000. Suzanne Dwyer, Ph.D., is the Director and her contact information is ext. 6949 and sdwyer@georgebrown.ca. Alicia Tomaszczyk is a Research Analyst with an extension number of 3771 and email address Alicia.Tomaszczyk@georgebrown.ca. Ling Ge Chen is a Research Statistician, reachable at ext. 3805 and LingGe.Chen@georgebrown.ca. The office requests that anyone seeking Institutional Research assistance complete and submit a Service Request Form to iresearch@georgebrown.ca. The college has a land acknowledgment and offers various ways to stay informed such as signing up for updates, calling the information line at 416-415-2000 or TTY: 1-877-515-5559, or visiting the social media hub. The contact email for general inquiries is ask.george@georgebrown.ca. The office's website contains information that may be subject to change without notice and should not be considered a representation, offer or warranty. The college can also be reached via social media.",What is the email address for the Office of Institutional Research & Planning at George Brown College?
1,db97a6f0-f1e3-4978-b4cd-1d87943c0664," The Office of Institutional Research & Planning at George Brown College can be contacted via email at iresearch@georgebrown.ca or by phone at 416-415-5000. Suzanne Dwyer, Ph.D., is the Director and her contact information is ext. 6949 and sdwyer@georgebrown.ca. Alicia Tomaszczyk is a Research Analyst with an extension number of 3771 and email address Alicia.Tomaszczyk@georgebrown.ca. Ling Ge Chen is a Research Statistician, reachable at ext. 3805 and LingGe.Chen@georgebrown.ca. The office requests that anyone seeking Institutional Research assistance complete and submit a Service Request Form to iresearch@georgebrown.ca. The college has a land acknowledgment and offers various ways to stay informed such as signing up for updates, calling the information line at 416-415-2000 or TTY: 1-877-515-5559, or visiting the social media hub. The contact email for general inquiries is ask.george@georgebrown.ca. The office's website contains information that may be subject to change without notice and should not be considered a representation, offer or warranty. The college can also be reached via social media.",", Who is the Director of the Office of Institutional Research & Planning at George Brown College and what are her contact details?"
2,db97a6f0-f1e3-4978-b4cd-1d87943c0664," The Office of Institutional Research & Planning at George Brown College can be contacted via email at iresearch@georgebrown.ca or by phone at 416-415-5000. Suzanne Dwyer, Ph.D., is the Director and her contact information is ext. 6949 and sdwyer@georgebrown.ca. Alicia Tomaszczyk is a Research Analyst with an extension number of 3771 and email address Alicia.Tomaszczyk@georgebrown.ca. Ling Ge Chen is a Research Statistician, reachable at ext. 3805 and LingGe.Chen@georgebrown.ca. The office requests that anyone seeking Institutional Research assistance complete and submit a Service Request Form to iresearch@georgebrown.ca. The college has a land acknowledgment and offers various ways to stay informed such as signing up for updates, calling the information line at 416-415-2000 or TTY: 1-877-515-5559, or visiting the social media hub. The contact email for general inquiries is ask.george@georgebrown.ca. The office's website contains information that may be subject to change without notice and should not be considered a representation, offer or warranty. The college can also be reached via social media.",", What is the extension number for Alicia Tomaszczyk in the Office of Institutional Research & Planning at George Brown College?"
3,db97a6f0-f1e3-4978-b4cd-1d87943c0664," The Office of Institutional Research & Planning at George Brown College can be contacted via email at iresearch@georgebrown.ca or by phone at 416-415-5000. Suzanne Dwyer, Ph.D., is the Director and her contact information is ext. 6949 and sdwyer@georgebrown.ca. Alicia Tomaszczyk is a Research Analyst with an extension number of 3771 and email address Alicia.Tomaszczyk@georgebrown.ca. Ling Ge Chen is a Research Statistician, reachable at ext. 3805 and LingGe.Chen@georgebrown.ca. The office requests that anyone seeking Institutional Research assistance complete and submit a Service Request Form to iresearch@georgebrown.ca. The college has a land acknowledgment and offers various ways to stay informed such as signing up for updates, calling the information line at 416-415-2000 or TTY: 1-877-515-5559, or visiting the social media hub. The contact email for general inquiries is ask.george@georgebrown.ca. The office's website contains information that may be subject to change without notice and should not be considered a representation, offer or warranty. The college can also be reached via social media.",", What is the email address for Ling Ge Chen in the Office of Institutional Research & Planning at George Brown College?"
4,db97a6f0-f1e3-4978-b4cd-1d87943c0664," The Office of Institutional Research & Planning at George Brown College can be contacted via email at iresearch@georgebrown.ca or by phone at 416-415-5000. Suzanne Dwyer, Ph.D., is the Director and her contact information is ext. 6949 and sdwyer@georgebrown.ca. Alicia Tomaszczyk is a Research Analyst with an extension number of 3771 and email address Alicia.Tomaszczyk@georgebrown.ca. Ling Ge Chen is a Research Statistician, reachable at ext. 3805 and LingGe.Chen@georgebrown.ca. The office requests that anyone seeking Institutional Research assistance complete and submit a Service Request Form to iresearch@georgebrown.ca. The college has a land acknowledgment and offers various ways to stay informed such as signing up for updates, calling the information line at 416-415-2000 or TTY: 1-877-515-5559, or visiting the social media hub. The contact email for general inquiries is ask.george@georgebrown.ca. The office's website contains information that may be subject to change without notice and should not be considered a representation, offer or warranty. The college can also be reached via social media.",", How should one submit a Service Request Form to the Office of Institutional Research & Planning at George Brown College?"
5,db97a6f0-f1e3-4978-b4cd-1d87943c0664," The Office of Institutional Research & Planning at George Brown College can be contacted via email at iresearch@georgebrown.ca or by phone at 416-415-5000. Suzanne Dwyer, Ph.D., is the Director and her contact information is ext. 6949 and sdwyer@georgebrown.ca. Alicia Tomaszczyk is a Research Analyst with an extension number of 3771 and email address Alicia.Tomaszczyk@georgebrown.ca. Ling Ge Chen is a Research Statistician, reachable at ext. 3805 and LingGe.Chen@georgebrown.ca. The office requests that anyone seeking Institutional Research assistance complete and submit a Service Request Form to iresearch@georgebrown.ca. The college has a land acknowledgment and offers various ways to stay informed such as signing up for updates, calling the information line at 416-415-2000 or TTY: 1-877-515-5559, or visiting the social media hub. The contact email for general inquiries is ask.george@georgebrown.ca. The office's website contains information that may be subject to change without notice and should not be considered a representation, offer or warranty. The college can also be reached via social media.",", What are some ways to stay informed about George Brown College besides contacting the office directly?"
6,db97a6f0-f1e3-4978-b4cd-1d87943c0664," The Office of Institutional Research & Planning at George Brown College can be contacted via email at iresearch@georgebrown.ca or by phone at 416-415-5000. Suzanne Dwyer, Ph.D., is the Director and her contact information is ext. 6949 and sdwyer@georgebrown.ca. Alicia Tomaszczyk is a Research Analyst with an extension number of 3771 and email address Alicia.Tomaszczyk@georgebrown.ca. Ling Ge Chen is a Research Statistician, reachable at ext. 3805 and LingGe.Chen@georgebrown.ca. The office requests that anyone seeking Institutional Research assistance complete and submit a Service Request Form to iresearch@georgebrown.ca. The college has a land acknowledgment and offers various ways to stay informed such as signing up for updates, calling the information line at 416-415-2000 or TTY: 1-877-515-5559, or visiting the social media hub. The contact email for general inquiries is ask.george@georgebrown.ca. The office's website contains information that may be subject to change without notice and should not be considered a representation, offer or warranty. The college can also be reached via social media.",", What is the contact email address for general inquiries at George Brown College?"
7,db97a6f0-f1e3-4978-b4cd-1d87943c0664," The Office of Institutional Research & Planning at George Brown College can be contacted via email at iresearch@georgebrown.ca or by phone at 416-415-5000. Suzanne Dwyer, Ph.D., is the Director and her contact information is ext. 6949 and sdwyer@georgebrown.ca. Alicia Tomaszczyk is a Research Analyst with an extension number of 3771 and email address Alicia.Tomaszczyk@georgebrown.ca. Ling Ge Chen is a Research Statistician, reachable at ext. 3805 and LingGe.Chen@georgebrown.ca. The office requests that anyone seeking Institutional Research assistance complete and submit a Service Request Form to iresearch@georgebrown.ca. The college has a land acknowledgment and offers various ways to stay informed such as signing up for updates, calling the information line at 416-415-2000 or TTY: 1-877-515-5559, or visiting the social media hub. The contact email for general inquiries is ask.george@georgebrown.ca. The office's website contains information that may be subject to change without notice and should not be considered a representation, offer or warranty. The college can also be reached via social media.",", Where can one find the office's website and what should be noted about the information on it?"
8,db97a6f0-f1e3-4978-b4cd-1d87943c0664," The Office of Institutional Research & Planning at George Brown College can be contacted via email at iresearch@georgebrown.ca or by phone at 416-415-5000. Suzanne Dwyer, Ph.D., is the Director and her contact information is ext. 6949 and sdwyer@georgebrown.ca. Alicia Tomaszczyk is a Research Analyst with an extension number of 3771 and email address Alicia.Tomaszczyk@georgebrown.ca. Ling Ge Chen is a Research Statistician, reachable at ext. 3805 and LingGe.Chen@georgebrown.ca. The office requests that anyone seeking Institutional Research assistance complete and submit a Service Request Form to iresearch@georgebrown.ca. The college has a land acknowledgment and offers various ways to stay informed such as signing up for updates, calling the information line at 416-415-2000 or TTY: 1-877-515-5559, or visiting the social media hub. The contact email for general inquiries is ask.george@georgebrown.ca. The office's website contains information that may be subject to change without notice and should not be considered a representation, offer or warranty. The college can also be reached via social media.",", How can one reach out to George Brown College via social media?"
9,db97a6f0-f1e3-4978-b4cd-1d87943c0664," The Office of Institutional Research & Planning at George Brown College can be contacted via email at iresearch@georgebrown.ca or by phone at 416-415-5000. Suzanne Dwyer, Ph.D., is the Director and her contact information is ext. 6949 and sdwyer@georgebrown.ca. Alicia Tomaszczyk is a Research Analyst with an extension number of 3771 and email address Alicia.Tomaszczyk@georgebrown.ca. Ling Ge Chen is a Research Statistician, reachable at ext. 3805 and LingGe.Chen@georgebrown.ca. The office requests that anyone seeking Institutional Research assistance complete and submit a Service Request Form to iresearch@georgebrown.ca. The college has a land acknowledgment and offers various ways to stay informed such as signing up for updates, calling the information line at 416-415-2000 or TTY: 1-877-515-5559, or visiting the social media hub. The contact email for general inquiries is ask.george@georgebrown.ca. The office's website contains information that may be subject to change without notice and should not be considered a representation, offer or warranty. The college can also be reached via social media.",?
