,contextId,context,question
0,87839fbc-9373-4aea-9683-289f0574cf80," The college provides virtual services for current students regarding enrolment/graduation letters, withdrawal/refund inquiries, and registration through the Waitwhile app from Tuesday to Thursday, 10:00 a.m. to 2:00 p.m., and Friday, 10:00 a.m. to 4:00 p.m. Students can also book virtual one-on-one meetings with specific liaison officers for various countries and languages. Liaison officer contact details include:

- Amy Jang (Business Development Officer), English, 한국어: amy.jang@georgebrown.ca
- Seunghyun (Sonya) Park (Korea Liaison Officer): gbc.korea@georgebrown.ca, English, 한국어
- Mai Nguyen (Vietnam Liaison Officer): Mai.Nguyen@georgebrown.ca, English, Tiếng Việt
- Stephanie Yau (Business Development Officer): stephanie.yau@georgebrown.ca, English, 粵語, 國語
- Xin (Kevin) Tong (China Liaison Officer): xTong@georgebrown.ca, English, 普通話
- Ernest John Del Rosario (Philippines Liaison Officer): Ernest.DelRosario@georgebrown.ca, English, Filipino
- Kira Egorova (Business Development Officer): kegorova@georgebrown.ca, English, Русский, Українська
- Iuliia Medvedeva (Europe Liaison Officer): Iuliia.Medvedeva@georgebrown.ca, English, Русский

The college does not provide immigration advising services through the Virtual Service Desk and instead advises students to contact their International Student Advisor for such inquiries.","1. Which days a week is the virtual service desk available for enrolment/graduation letters, withdrawal/refund inquiries, and registration?"
1,87839fbc-9373-4aea-9683-289f0574cf80," The college provides virtual services for current students regarding enrolment/graduation letters, withdrawal/refund inquiries, and registration through the Waitwhile app from Tuesday to Thursday, 10:00 a.m. to 2:00 p.m., and Friday, 10:00 a.m. to 4:00 p.m. Students can also book virtual one-on-one meetings with specific liaison officers for various countries and languages. Liaison officer contact details include:

- Amy Jang (Business Development Officer), English, 한국어: amy.jang@georgebrown.ca
- Seunghyun (Sonya) Park (Korea Liaison Officer): gbc.korea@georgebrown.ca, English, 한국어
- Mai Nguyen (Vietnam Liaison Officer): Mai.Nguyen@georgebrown.ca, English, Tiếng Việt
- Stephanie Yau (Business Development Officer): stephanie.yau@georgebrown.ca, English, 粵語, 國語
- Xin (Kevin) Tong (China Liaison Officer): xTong@georgebrown.ca, English, 普通話
- Ernest John Del Rosario (Philippines Liaison Officer): Ernest.DelRosario@georgebrown.ca, English, Filipino
- Kira Egorova (Business Development Officer): kegorova@georgebrown.ca, English, Русский, Українська
- Iuliia Medvedeva (Europe Liaison Officer): Iuliia.Medvedeva@georgebrown.ca, English, Русский

The college does not provide immigration advising services through the Virtual Service Desk and instead advises students to contact their International Student Advisor for such inquiries.",2. What are the hours of operation for the virtual service desk on Tuesday to Thursday?
2,87839fbc-9373-4aea-9683-289f0574cf80," The college provides virtual services for current students regarding enrolment/graduation letters, withdrawal/refund inquiries, and registration through the Waitwhile app from Tuesday to Thursday, 10:00 a.m. to 2:00 p.m., and Friday, 10:00 a.m. to 4:00 p.m. Students can also book virtual one-on-one meetings with specific liaison officers for various countries and languages. Liaison officer contact details include:

- Amy Jang (Business Development Officer), English, 한국어: amy.jang@georgebrown.ca
- Seunghyun (Sonya) Park (Korea Liaison Officer): gbc.korea@georgebrown.ca, English, 한국어
- Mai Nguyen (Vietnam Liaison Officer): Mai.Nguyen@georgebrown.ca, English, Tiếng Việt
- Stephanie Yau (Business Development Officer): stephanie.yau@georgebrown.ca, English, 粵語, 國語
- Xin (Kevin) Tong (China Liaison Officer): xTong@georgebrown.ca, English, 普通話
- Ernest John Del Rosario (Philippines Liaison Officer): Ernest.DelRosario@georgebrown.ca, English, Filipino
- Kira Egorova (Business Development Officer): kegorova@georgebrown.ca, English, Русский, Українська
- Iuliia Medvedeva (Europe Liaison Officer): Iuliia.Medvedeva@georgebrown.ca, English, Русский

The college does not provide immigration advising services through the Virtual Service Desk and instead advises students to contact their International Student Advisor for such inquiries.",3. What are the hours of operation for the virtual service desk on Friday?
3,87839fbc-9373-4aea-9683-289f0574cf80," The college provides virtual services for current students regarding enrolment/graduation letters, withdrawal/refund inquiries, and registration through the Waitwhile app from Tuesday to Thursday, 10:00 a.m. to 2:00 p.m., and Friday, 10:00 a.m. to 4:00 p.m. Students can also book virtual one-on-one meetings with specific liaison officers for various countries and languages. Liaison officer contact details include:

- Amy Jang (Business Development Officer), English, 한국어: amy.jang@georgebrown.ca
- Seunghyun (Sonya) Park (Korea Liaison Officer): gbc.korea@georgebrown.ca, English, 한국어
- Mai Nguyen (Vietnam Liaison Officer): Mai.Nguyen@georgebrown.ca, English, Tiếng Việt
- Stephanie Yau (Business Development Officer): stephanie.yau@georgebrown.ca, English, 粵語, 國語
- Xin (Kevin) Tong (China Liaison Officer): xTong@georgebrown.ca, English, 普通話
- Ernest John Del Rosario (Philippines Liaison Officer): Ernest.DelRosario@georgebrown.ca, English, Filipino
- Kira Egorova (Business Development Officer): kegorova@georgebrown.ca, English, Русский, Українська
- Iuliia Medvedeva (Europe Liaison Officer): Iuliia.Medvedeva@georgebrown.ca, English, Русский

The college does not provide immigration advising services through the Virtual Service Desk and instead advises students to contact their International Student Advisor for such inquiries.",4. How can students book a virtual one-on-one meeting with Amy Jang?
4,87839fbc-9373-4aea-9683-289f0574cf80," The college provides virtual services for current students regarding enrolment/graduation letters, withdrawal/refund inquiries, and registration through the Waitwhile app from Tuesday to Thursday, 10:00 a.m. to 2:00 p.m., and Friday, 10:00 a.m. to 4:00 p.m. Students can also book virtual one-on-one meetings with specific liaison officers for various countries and languages. Liaison officer contact details include:

- Amy Jang (Business Development Officer), English, 한국어: amy.jang@georgebrown.ca
- Seunghyun (Sonya) Park (Korea Liaison Officer): gbc.korea@georgebrown.ca, English, 한국어
- Mai Nguyen (Vietnam Liaison Officer): Mai.Nguyen@georgebrown.ca, English, Tiếng Việt
- Stephanie Yau (Business Development Officer): stephanie.yau@georgebrown.ca, English, 粵語, 國語
- Xin (Kevin) Tong (China Liaison Officer): xTong@georgebrown.ca, English, 普通話
- Ernest John Del Rosario (Philippines Liaison Officer): Ernest.DelRosario@georgebrown.ca, English, Filipino
- Kira Egorova (Business Development Officer): kegorova@georgebrown.ca, English, Русский, Українська
- Iuliia Medvedeva (Europe Liaison Officer): Iuliia.Medvedeva@georgebrown.ca, English, Русский

The college does not provide immigration advising services through the Virtual Service Desk and instead advises students to contact their International Student Advisor for such inquiries.",5. In what languages does Amy Jang speak?
5,87839fbc-9373-4aea-9683-289f0574cf80," The college provides virtual services for current students regarding enrolment/graduation letters, withdrawal/refund inquiries, and registration through the Waitwhile app from Tuesday to Thursday, 10:00 a.m. to 2:00 p.m., and Friday, 10:00 a.m. to 4:00 p.m. Students can also book virtual one-on-one meetings with specific liaison officers for various countries and languages. Liaison officer contact details include:

- Amy Jang (Business Development Officer), English, 한국어: amy.jang@georgebrown.ca
- Seunghyun (Sonya) Park (Korea Liaison Officer): gbc.korea@georgebrown.ca, English, 한국어
- Mai Nguyen (Vietnam Liaison Officer): Mai.Nguyen@georgebrown.ca, English, Tiếng Việt
- Stephanie Yau (Business Development Officer): stephanie.yau@georgebrown.ca, English, 粵語, 國語
- Xin (Kevin) Tong (China Liaison Officer): xTong@georgebrown.ca, English, 普通話
- Ernest John Del Rosario (Philippines Liaison Officer): Ernest.DelRosario@georgebrown.ca, English, Filipino
- Kira Egorova (Business Development Officer): kegorova@georgebrown.ca, English, Русский, Українська
- Iuliia Medvedeva (Europe Liaison Officer): Iuliia.Medvedeva@georgebrown.ca, English, Русский

The college does not provide immigration advising services through the Virtual Service Desk and instead advises students to contact their International Student Advisor for such inquiries.",6. How can students contact Seunghyun Park for Korea-related inquiries?
6,87839fbc-9373-4aea-9683-289f0574cf80," The college provides virtual services for current students regarding enrolment/graduation letters, withdrawal/refund inquiries, and registration through the Waitwhile app from Tuesday to Thursday, 10:00 a.m. to 2:00 p.m., and Friday, 10:00 a.m. to 4:00 p.m. Students can also book virtual one-on-one meetings with specific liaison officers for various countries and languages. Liaison officer contact details include:

- Amy Jang (Business Development Officer), English, 한국어: amy.jang@georgebrown.ca
- Seunghyun (Sonya) Park (Korea Liaison Officer): gbc.korea@georgebrown.ca, English, 한국어
- Mai Nguyen (Vietnam Liaison Officer): Mai.Nguyen@georgebrown.ca, English, Tiếng Việt
- Stephanie Yau (Business Development Officer): stephanie.yau@georgebrown.ca, English, 粵語, 國語
- Xin (Kevin) Tong (China Liaison Officer): xTong@georgebrown.ca, English, 普通話
- Ernest John Del Rosario (Philippines Liaison Officer): Ernest.DelRosario@georgebrown.ca, English, Filipino
- Kira Egorova (Business Development Officer): kegorova@georgebrown.ca, English, Русский, Українська
- Iuliia Medvedeva (Europe Liaison Officer): Iuliia.Medvedeva@georgebrown.ca, English, Русский

The college does not provide immigration advising services through the Virtual Service Desk and instead advises students to contact their International Student Advisor for such inquiries.",7. What languages does Seunghyun Park speak?
7,87839fbc-9373-4aea-9683-289f0574cf80," The college provides virtual services for current students regarding enrolment/graduation letters, withdrawal/refund inquiries, and registration through the Waitwhile app from Tuesday to Thursday, 10:00 a.m. to 2:00 p.m., and Friday, 10:00 a.m. to 4:00 p.m. Students can also book virtual one-on-one meetings with specific liaison officers for various countries and languages. Liaison officer contact details include:

- Amy Jang (Business Development Officer), English, 한국어: amy.jang@georgebrown.ca
- Seunghyun (Sonya) Park (Korea Liaison Officer): gbc.korea@georgebrown.ca, English, 한국어
- Mai Nguyen (Vietnam Liaison Officer): Mai.Nguyen@georgebrown.ca, English, Tiếng Việt
- Stephanie Yau (Business Development Officer): stephanie.yau@georgebrown.ca, English, 粵語, 國語
- Xin (Kevin) Tong (China Liaison Officer): xTong@georgebrown.ca, English, 普通話
- Ernest John Del Rosario (Philippines Liaison Officer): Ernest.DelRosario@georgebrown.ca, English, Filipino
- Kira Egorova (Business Development Officer): kegorova@georgebrown.ca, English, Русский, Українська
- Iuliia Medvedeva (Europe Liaison Officer): Iuliia.Medvedeva@georgebrown.ca, English, Русский

The college does not provide immigration advising services through the Virtual Service Desk and instead advises students to contact their International Student Advisor for such inquiries.",8. How can students contact Mai Nguyen for Vietnam-related inquiries?
8,87839fbc-9373-4aea-9683-289f0574cf80," The college provides virtual services for current students regarding enrolment/graduation letters, withdrawal/refund inquiries, and registration through the Waitwhile app from Tuesday to Thursday, 10:00 a.m. to 2:00 p.m., and Friday, 10:00 a.m. to 4:00 p.m. Students can also book virtual one-on-one meetings with specific liaison officers for various countries and languages. Liaison officer contact details include:

- Amy Jang (Business Development Officer), English, 한국어: amy.jang@georgebrown.ca
- Seunghyun (Sonya) Park (Korea Liaison Officer): gbc.korea@georgebrown.ca, English, 한국어
- Mai Nguyen (Vietnam Liaison Officer): Mai.Nguyen@georgebrown.ca, English, Tiếng Việt
- Stephanie Yau (Business Development Officer): stephanie.yau@georgebrown.ca, English, 粵語, 國語
- Xin (Kevin) Tong (China Liaison Officer): xTong@georgebrown.ca, English, 普通話
- Ernest John Del Rosario (Philippines Liaison Officer): Ernest.DelRosario@georgebrown.ca, English, Filipino
- Kira Egorova (Business Development Officer): kegorova@georgebrown.ca, English, Русский, Українська
- Iuliia Medvedeva (Europe Liaison Officer): Iuliia.Medvedeva@georgebrown.ca, English, Русский

The college does not provide immigration advising services through the Virtual Service Desk and instead advises students to contact their International Student Advisor for such inquiries.",9. In what languages does Mai Nguyen speak?
9,87839fbc-9373-4aea-9683-289f0574cf80," The college provides virtual services for current students regarding enrolment/graduation letters, withdrawal/refund inquiries, and registration through the Waitwhile app from Tuesday to Thursday, 10:00 a.m. to 2:00 p.m., and Friday, 10:00 a.m. to 4:00 p.m. Students can also book virtual one-on-one meetings with specific liaison officers for various countries and languages. Liaison officer contact details include:

- Amy Jang (Business Development Officer), English, 한국어: amy.jang@georgebrown.ca
- Seunghyun (Sonya) Park (Korea Liaison Officer): gbc.korea@georgebrown.ca, English, 한국어
- Mai Nguyen (Vietnam Liaison Officer): Mai.Nguyen@georgebrown.ca, English, Tiếng Việt
- Stephanie Yau (Business Development Officer): stephanie.yau@georgebrown.ca, English, 粵語, 國語
- Xin (Kevin) Tong (China Liaison Officer): xTong@georgebrown.ca, English, 普通話
- Ernest John Del Rosario (Philippines Liaison Officer): Ernest.DelRosario@georgebrown.ca, English, Filipino
- Kira Egorova (Business Development Officer): kegorova@georgebrown.ca, English, Русский, Українська
- Iuliia Medvedeva (Europe Liaison Officer): Iuliia.Medvedeva@georgebrown.ca, English, Русский

The college does not provide immigration advising services through the Virtual Service Desk and instead advises students to contact their International Student Advisor for such inquiries.",10. How can students contact Stephanie Yau for Business Development inquiries and which languages does she speak?
