,contextId,context,question
0,7ccce682-345a-4724-98cb-237858d13189," Dr. Colin Simpson is the Dean of the Centre for Continuous Learning at George Brown College. He has played a significant role in establishing George Brown as one of the largest providers of distance education in North America. Colin holds a Doctorate in Electrical Engineering from the University of Hawaii and has been awarded an Honoris Causa Doctor of Letters from Nipssing University. He has lectured at universities including MIT and Texas A&M University, and is an award-winning author with over 300,000 textbooks in print. His best-selling book, Principles of Electronics, is used by over 1,000 colleges and universities worldwide.

Contact Information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub (two instances)

Note: The text does not provide information on specific programs offered by the college.",* Who is the Dean of the Centre for Continuous Learning at George Brown College?
1,7ccce682-345a-4724-98cb-237858d13189," Dr. Colin Simpson is the Dean of the Centre for Continuous Learning at George Brown College. He has played a significant role in establishing George Brown as one of the largest providers of distance education in North America. Colin holds a Doctorate in Electrical Engineering from the University of Hawaii and has been awarded an Honoris Causa Doctor of Letters from Nipssing University. He has lectured at universities including MIT and Texas A&M University, and is an award-winning author with over 300,000 textbooks in print. His best-selling book, Principles of Electronics, is used by over 1,000 colleges and universities worldwide.

Contact Information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub (two instances)

Note: The text does not provide information on specific programs offered by the college.",",
* What is Dr. Colin Simpson's educational background?"
2,7ccce682-345a-4724-98cb-237858d13189," Dr. Colin Simpson is the Dean of the Centre for Continuous Learning at George Brown College. He has played a significant role in establishing George Brown as one of the largest providers of distance education in North America. Colin holds a Doctorate in Electrical Engineering from the University of Hawaii and has been awarded an Honoris Causa Doctor of Letters from Nipssing University. He has lectured at universities including MIT and Texas A&M University, and is an award-winning author with over 300,000 textbooks in print. His best-selling book, Principles of Electronics, is used by over 1,000 colleges and universities worldwide.

Contact Information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub (two instances)

Note: The text does not provide information on specific programs offered by the college.",",
* Which universities has Dr. Colin Simpson lectured at?"
3,7ccce682-345a-4724-98cb-237858d13189," Dr. Colin Simpson is the Dean of the Centre for Continuous Learning at George Brown College. He has played a significant role in establishing George Brown as one of the largest providers of distance education in North America. Colin holds a Doctorate in Electrical Engineering from the University of Hawaii and has been awarded an Honoris Causa Doctor of Letters from Nipssing University. He has lectured at universities including MIT and Texas A&M University, and is an award-winning author with over 300,000 textbooks in print. His best-selling book, Principles of Electronics, is used by over 1,000 colleges and universities worldwide.

Contact Information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub (two instances)

Note: The text does not provide information on specific programs offered by the college.",",
* How many textbooks has Dr. Colin Simpson authored with over 300,000 copies in print?"
4,7ccce682-345a-4724-98cb-237858d13189," Dr. Colin Simpson is the Dean of the Centre for Continuous Learning at George Brown College. He has played a significant role in establishing George Brown as one of the largest providers of distance education in North America. Colin holds a Doctorate in Electrical Engineering from the University of Hawaii and has been awarded an Honoris Causa Doctor of Letters from Nipssing University. He has lectured at universities including MIT and Texas A&M University, and is an award-winning author with over 300,000 textbooks in print. His best-selling book, Principles of Electronics, is used by over 1,000 colleges and universities worldwide.

Contact Information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub (two instances)

Note: The text does not provide information on specific programs offered by the college.",",
* Which book by Dr. Colin Simpson is a best-seller and used by over 1,000 colleges and universities worldwide?"
5,7ccce682-345a-4724-98cb-237858d13189," Dr. Colin Simpson is the Dean of the Centre for Continuous Learning at George Brown College. He has played a significant role in establishing George Brown as one of the largest providers of distance education in North America. Colin holds a Doctorate in Electrical Engineering from the University of Hawaii and has been awarded an Honoris Causa Doctor of Letters from Nipssing University. He has lectured at universities including MIT and Texas A&M University, and is an award-winning author with over 300,000 textbooks in print. His best-selling book, Principles of Electronics, is used by over 1,000 colleges and universities worldwide.

Contact Information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub (two instances)

Note: The text does not provide information on specific programs offered by the college.",",
* What is the contact phone number for George Brown College?"
6,7ccce682-345a-4724-98cb-237858d13189," Dr. Colin Simpson is the Dean of the Centre for Continuous Learning at George Brown College. He has played a significant role in establishing George Brown as one of the largest providers of distance education in North America. Colin holds a Doctorate in Electrical Engineering from the University of Hawaii and has been awarded an Honoris Causa Doctor of Letters from Nipssing University. He has lectured at universities including MIT and Texas A&M University, and is an award-winning author with over 300,000 textbooks in print. His best-selling book, Principles of Electronics, is used by over 1,000 colleges and universities worldwide.

Contact Information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub (two instances)

Note: The text does not provide information on specific programs offered by the college.",",
* What is the TTY number for George Brown College?"
7,7ccce682-345a-4724-98cb-237858d13189," Dr. Colin Simpson is the Dean of the Centre for Continuous Learning at George Brown College. He has played a significant role in establishing George Brown as one of the largest providers of distance education in North America. Colin holds a Doctorate in Electrical Engineering from the University of Hawaii and has been awarded an Honoris Causa Doctor of Letters from Nipssing University. He has lectured at universities including MIT and Texas A&M University, and is an award-winning author with over 300,000 textbooks in print. His best-selling book, Principles of Electronics, is used by over 1,000 colleges and universities worldwide.

Contact Information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub (two instances)

Note: The text does not provide information on specific programs offered by the college.",",
* How can one contact George Brown College via email?"
8,7ccce682-345a-4724-98cb-237858d13189," Dr. Colin Simpson is the Dean of the Centre for Continuous Learning at George Brown College. He has played a significant role in establishing George Brown as one of the largest providers of distance education in North America. Colin holds a Doctorate in Electrical Engineering from the University of Hawaii and has been awarded an Honoris Causa Doctor of Letters from Nipssing University. He has lectured at universities including MIT and Texas A&M University, and is an award-winning author with over 300,000 textbooks in print. His best-selling book, Principles of Electronics, is used by over 1,000 colleges and universities worldwide.

Contact Information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub (two instances)

Note: The text does not provide information on specific programs offered by the college.",",
* Where can one find George Brown College's Social Media Hub?"
9,7ccce682-345a-4724-98cb-237858d13189," Dr. Colin Simpson is the Dean of the Centre for Continuous Learning at George Brown College. He has played a significant role in establishing George Brown as one of the largest providers of distance education in North America. Colin holds a Doctorate in Electrical Engineering from the University of Hawaii and has been awarded an Honoris Causa Doctor of Letters from Nipssing University. He has lectured at universities including MIT and Texas A&M University, and is an award-winning author with over 300,000 textbooks in print. His best-selling book, Principles of Electronics, is used by over 1,000 colleges and universities worldwide.

Contact Information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub (two instances)

Note: The text does not provide information on specific programs offered by the college.",?
