,contextId,context,question
0,1d196b9c-f682-41d3-9a88-da00fa7b6b25," Chef John Higgins has inspired and educated thousands of students at George Brown College for 21 years. He is moving on to new challenges but leaving behind a legacy through the new Garland Canada Chef John Higgins Award of Excellence. The scholarship is available to full-time Chef School students with a GPA of 3.0 and higher, who demonstrate qualities Higgins radiates such as passion for their field of study, positive attitude, enthusiasm, and respect. Higgins has been instrumental to CHCA's achievements and demonstrated the values of George Brown College in action. He is proud to have his name associated with Garland Canada, a food service equipment manufacturer that has shown constant support for up-and-coming culinarians. For more information on the Student Awards and Scholarships page. Higgins's motto ""Quality and integrity are not expensive; they're priceless"" guides his work. He has raised nearly $6 million for a significant expansion project in 2007, totalling 35,000 square feet of lab space.

Notable alumni include Michelin-starred Chef Vicky Cheng and Asia's Top Female Chef, 2021, De Aille Tam. Higgins has been an invaluable faculty member, administrator, and incredible ambassador for CHCA and the entire college.

Garland Canada Chef John Higgins Award of Excellence
George Brown College
Centre for Hospitality and Culinary Arts (CHCA)
The Chefs House
Student-focused restaurant
GPA: 3.0 and higher
Qualities: Passion, Positive attitude, Enthusiasm, Respect
Garland Canada: Food service equipment manufacturer
Expansion project: $6 million, 35,000 square feet of lab space
Michelin-starred Chef Vicky Cheng
Asia's Top Female Chef, 2021, De Aille Tam.",* What is the name of the scholarship established by Chef John Higgins at George Brown College?
1,1d196b9c-f682-41d3-9a88-da00fa7b6b25," Chef John Higgins has inspired and educated thousands of students at George Brown College for 21 years. He is moving on to new challenges but leaving behind a legacy through the new Garland Canada Chef John Higgins Award of Excellence. The scholarship is available to full-time Chef School students with a GPA of 3.0 and higher, who demonstrate qualities Higgins radiates such as passion for their field of study, positive attitude, enthusiasm, and respect. Higgins has been instrumental to CHCA's achievements and demonstrated the values of George Brown College in action. He is proud to have his name associated with Garland Canada, a food service equipment manufacturer that has shown constant support for up-and-coming culinarians. For more information on the Student Awards and Scholarships page. Higgins's motto ""Quality and integrity are not expensive; they're priceless"" guides his work. He has raised nearly $6 million for a significant expansion project in 2007, totalling 35,000 square feet of lab space.

Notable alumni include Michelin-starred Chef Vicky Cheng and Asia's Top Female Chef, 2021, De Aille Tam. Higgins has been an invaluable faculty member, administrator, and incredible ambassador for CHCA and the entire college.

Garland Canada Chef John Higgins Award of Excellence
George Brown College
Centre for Hospitality and Culinary Arts (CHCA)
The Chefs House
Student-focused restaurant
GPA: 3.0 and higher
Qualities: Passion, Positive attitude, Enthusiasm, Respect
Garland Canada: Food service equipment manufacturer
Expansion project: $6 million, 35,000 square feet of lab space
Michelin-starred Chef Vicky Cheng
Asia's Top Female Chef, 2021, De Aille Tam.",* What is the minimum GPA requirement for students to be eligible for the Garland Canada Chef John Higgins Award of Excellence?
2,1d196b9c-f682-41d3-9a88-da00fa7b6b25," Chef John Higgins has inspired and educated thousands of students at George Brown College for 21 years. He is moving on to new challenges but leaving behind a legacy through the new Garland Canada Chef John Higgins Award of Excellence. The scholarship is available to full-time Chef School students with a GPA of 3.0 and higher, who demonstrate qualities Higgins radiates such as passion for their field of study, positive attitude, enthusiasm, and respect. Higgins has been instrumental to CHCA's achievements and demonstrated the values of George Brown College in action. He is proud to have his name associated with Garland Canada, a food service equipment manufacturer that has shown constant support for up-and-coming culinarians. For more information on the Student Awards and Scholarships page. Higgins's motto ""Quality and integrity are not expensive; they're priceless"" guides his work. He has raised nearly $6 million for a significant expansion project in 2007, totalling 35,000 square feet of lab space.

Notable alumni include Michelin-starred Chef Vicky Cheng and Asia's Top Female Chef, 2021, De Aille Tam. Higgins has been an invaluable faculty member, administrator, and incredible ambassador for CHCA and the entire college.

Garland Canada Chef John Higgins Award of Excellence
George Brown College
Centre for Hospitality and Culinary Arts (CHCA)
The Chefs House
Student-focused restaurant
GPA: 3.0 and higher
Qualities: Passion, Positive attitude, Enthusiasm, Respect
Garland Canada: Food service equipment manufacturer
Expansion project: $6 million, 35,000 square feet of lab space
Michelin-starred Chef Vicky Cheng
Asia's Top Female Chef, 2021, De Aille Tam.",* What qualities should students demonstrate to be considered for this award?
3,1d196b9c-f682-41d3-9a88-da00fa7b6b25," Chef John Higgins has inspired and educated thousands of students at George Brown College for 21 years. He is moving on to new challenges but leaving behind a legacy through the new Garland Canada Chef John Higgins Award of Excellence. The scholarship is available to full-time Chef School students with a GPA of 3.0 and higher, who demonstrate qualities Higgins radiates such as passion for their field of study, positive attitude, enthusiasm, and respect. Higgins has been instrumental to CHCA's achievements and demonstrated the values of George Brown College in action. He is proud to have his name associated with Garland Canada, a food service equipment manufacturer that has shown constant support for up-and-coming culinarians. For more information on the Student Awards and Scholarships page. Higgins's motto ""Quality and integrity are not expensive; they're priceless"" guides his work. He has raised nearly $6 million for a significant expansion project in 2007, totalling 35,000 square feet of lab space.

Notable alumni include Michelin-starred Chef Vicky Cheng and Asia's Top Female Chef, 2021, De Aille Tam. Higgins has been an invaluable faculty member, administrator, and incredible ambassador for CHCA and the entire college.

Garland Canada Chef John Higgins Award of Excellence
George Brown College
Centre for Hospitality and Culinary Arts (CHCA)
The Chefs House
Student-focused restaurant
GPA: 3.0 and higher
Qualities: Passion, Positive attitude, Enthusiasm, Respect
Garland Canada: Food service equipment manufacturer
Expansion project: $6 million, 35,000 square feet of lab space
Michelin-starred Chef Vicky Cheng
Asia's Top Female Chef, 2021, De Aille Tam.",* Who is Garland Canada and how have they supported up-and-coming culinarians?
4,1d196b9c-f682-41d3-9a88-da00fa7b6b25," Chef John Higgins has inspired and educated thousands of students at George Brown College for 21 years. He is moving on to new challenges but leaving behind a legacy through the new Garland Canada Chef John Higgins Award of Excellence. The scholarship is available to full-time Chef School students with a GPA of 3.0 and higher, who demonstrate qualities Higgins radiates such as passion for their field of study, positive attitude, enthusiasm, and respect. Higgins has been instrumental to CHCA's achievements and demonstrated the values of George Brown College in action. He is proud to have his name associated with Garland Canada, a food service equipment manufacturer that has shown constant support for up-and-coming culinarians. For more information on the Student Awards and Scholarships page. Higgins's motto ""Quality and integrity are not expensive; they're priceless"" guides his work. He has raised nearly $6 million for a significant expansion project in 2007, totalling 35,000 square feet of lab space.

Notable alumni include Michelin-starred Chef Vicky Cheng and Asia's Top Female Chef, 2021, De Aille Tam. Higgins has been an invaluable faculty member, administrator, and incredible ambassador for CHCA and the entire college.

Garland Canada Chef John Higgins Award of Excellence
George Brown College
Centre for Hospitality and Culinary Arts (CHCA)
The Chefs House
Student-focused restaurant
GPA: 3.0 and higher
Qualities: Passion, Positive attitude, Enthusiasm, Respect
Garland Canada: Food service equipment manufacturer
Expansion project: $6 million, 35,000 square feet of lab space
Michelin-starred Chef Vicky Cheng
Asia's Top Female Chef, 2021, De Aille Tam.",* How much was raised in total for the expansion project at George Brown College's Centre for Hospitality and Culinary Arts in 2007?
5,1d196b9c-f682-41d3-9a88-da00fa7b6b25," Chef John Higgins has inspired and educated thousands of students at George Brown College for 21 years. He is moving on to new challenges but leaving behind a legacy through the new Garland Canada Chef John Higgins Award of Excellence. The scholarship is available to full-time Chef School students with a GPA of 3.0 and higher, who demonstrate qualities Higgins radiates such as passion for their field of study, positive attitude, enthusiasm, and respect. Higgins has been instrumental to CHCA's achievements and demonstrated the values of George Brown College in action. He is proud to have his name associated with Garland Canada, a food service equipment manufacturer that has shown constant support for up-and-coming culinarians. For more information on the Student Awards and Scholarships page. Higgins's motto ""Quality and integrity are not expensive; they're priceless"" guides his work. He has raised nearly $6 million for a significant expansion project in 2007, totalling 35,000 square feet of lab space.

Notable alumni include Michelin-starred Chef Vicky Cheng and Asia's Top Female Chef, 2021, De Aille Tam. Higgins has been an invaluable faculty member, administrator, and incredible ambassador for CHCA and the entire college.

Garland Canada Chef John Higgins Award of Excellence
George Brown College
Centre for Hospitality and Culinary Arts (CHCA)
The Chefs House
Student-focused restaurant
GPA: 3.0 and higher
Qualities: Passion, Positive attitude, Enthusiasm, Respect
Garland Canada: Food service equipment manufacturer
Expansion project: $6 million, 35,000 square feet of lab space
Michelin-starred Chef Vicky Cheng
Asia's Top Female Chef, 2021, De Aille Tam.",* What square footage of lab space was added through this significant expansion project?
6,1d196b9c-f682-41d3-9a88-da00fa7b6b25," Chef John Higgins has inspired and educated thousands of students at George Brown College for 21 years. He is moving on to new challenges but leaving behind a legacy through the new Garland Canada Chef John Higgins Award of Excellence. The scholarship is available to full-time Chef School students with a GPA of 3.0 and higher, who demonstrate qualities Higgins radiates such as passion for their field of study, positive attitude, enthusiasm, and respect. Higgins has been instrumental to CHCA's achievements and demonstrated the values of George Brown College in action. He is proud to have his name associated with Garland Canada, a food service equipment manufacturer that has shown constant support for up-and-coming culinarians. For more information on the Student Awards and Scholarships page. Higgins's motto ""Quality and integrity are not expensive; they're priceless"" guides his work. He has raised nearly $6 million for a significant expansion project in 2007, totalling 35,000 square feet of lab space.

Notable alumni include Michelin-starred Chef Vicky Cheng and Asia's Top Female Chef, 2021, De Aille Tam. Higgins has been an invaluable faculty member, administrator, and incredible ambassador for CHCA and the entire college.

Garland Canada Chef John Higgins Award of Excellence
George Brown College
Centre for Hospitality and Culinary Arts (CHCA)
The Chefs House
Student-focused restaurant
GPA: 3.0 and higher
Qualities: Passion, Positive attitude, Enthusiasm, Respect
Garland Canada: Food service equipment manufacturer
Expansion project: $6 million, 35,000 square feet of lab space
Michelin-starred Chef Vicky Cheng
Asia's Top Female Chef, 2021, De Aille Tam.","* Who are some notable alumni of the Centre for Hospitality and Culinary Arts at George Brown College, achieving recognition as Michelin-starred chefs or Asia's Top Female Chefs?"
7,1d196b9c-f682-41d3-9a88-da00fa7b6b25," Chef John Higgins has inspired and educated thousands of students at George Brown College for 21 years. He is moving on to new challenges but leaving behind a legacy through the new Garland Canada Chef John Higgins Award of Excellence. The scholarship is available to full-time Chef School students with a GPA of 3.0 and higher, who demonstrate qualities Higgins radiates such as passion for their field of study, positive attitude, enthusiasm, and respect. Higgins has been instrumental to CHCA's achievements and demonstrated the values of George Brown College in action. He is proud to have his name associated with Garland Canada, a food service equipment manufacturer that has shown constant support for up-and-coming culinarians. For more information on the Student Awards and Scholarships page. Higgins's motto ""Quality and integrity are not expensive; they're priceless"" guides his work. He has raised nearly $6 million for a significant expansion project in 2007, totalling 35,000 square feet of lab space.

Notable alumni include Michelin-starred Chef Vicky Cheng and Asia's Top Female Chef, 2021, De Aille Tam. Higgins has been an invaluable faculty member, administrator, and incredible ambassador for CHCA and the entire college.

Garland Canada Chef John Higgins Award of Excellence
George Brown College
Centre for Hospitality and Culinary Arts (CHCA)
The Chefs House
Student-focused restaurant
GPA: 3.0 and higher
Qualities: Passion, Positive attitude, Enthusiasm, Respect
Garland Canada: Food service equipment manufacturer
Expansion project: $6 million, 35,000 square feet of lab space
Michelin-starred Chef Vicky Cheng
Asia's Top Female Chef, 2021, De Aille Tam.",?
8,6e9f3cd1-14a9-46c1-a92d-dcfc8bbda2e2," Chef Higgins is a renowned culinary expert who has worked in top hotels in Toronto, including the Four Seasons and King Edward, and has appeared on various food network shows such as Top Chef Canada, Chopped Canada, and At the Table. He has also cooked for the Queen of England and captained Canada's international culinary team. Higgins announced his departure from George Brown College in August 2023 but will continue to work with the college's Augmented Education Culinary Skills program in an advisory capacity. He plans to focus more on charitable work and possibly start delivering culinary tours outside of the college.

Contact Information:
- Email: ask.george@georgebrown.ca
- Phone: 416-415-2000, TTY: 1-877-515-5559

George Brown College Chancellor: Noella Milne

Note: The text contains a call to action for signing up for college news and updates. However, no specific program information was mentioned in the text.",* Who is Chef Higgins and what is his expertise?
9,6e9f3cd1-14a9-46c1-a92d-dcfc8bbda2e2," Chef Higgins is a renowned culinary expert who has worked in top hotels in Toronto, including the Four Seasons and King Edward, and has appeared on various food network shows such as Top Chef Canada, Chopped Canada, and At the Table. He has also cooked for the Queen of England and captained Canada's international culinary team. Higgins announced his departure from George Brown College in August 2023 but will continue to work with the college's Augmented Education Culinary Skills program in an advisory capacity. He plans to focus more on charitable work and possibly start delivering culinary tours outside of the college.

Contact Information:
- Email: ask.george@georgebrown.ca
- Phone: 416-415-2000, TTY: 1-877-515-5559

George Brown College Chancellor: Noella Milne

Note: The text contains a call to action for signing up for college news and updates. However, no specific program information was mentioned in the text.",", 
* Where has Chef Higgins worked previously in Toronto?"
