,contextId,context,question
0,70d41b55-d73e-4a03-93d3-23e44ea8230e," The text provides information on reporting incidents, injuries, emergencies, security issues, and suspicious or criminal activity to Public Safety & Security at the college. Contact methods include dialing 0 on a college phone or calling 416-415-4000, texting 416-723-4761, or visiting the Public Safety page.

The text also mentions that all student, staff, and visitor accidents and injuries must be reported and completed within 24 hours using the Supervisor’s Accident Investigation Report Form. The responsibilities for completing and returning the report differ based on the type of accident: in-class student accidents are the Professor/Instructor's responsibility, out-of-class student accidents are the Campus Manager's responsibility, staff accidents are the direct supervisor/manager's responsibility, and visitor accidents (including external contractors) are the Campus Manager's responsibility.

The text also mentions that WHMIS training is mandatory for all employees who work with chemicals and must be completed annually. Employees who do not work with chemicals must complete WHMIS training every three years. The training is offered through Cornerstone, and in-person classes are no longer available. To check course availability and enroll or get more details and schedule annual safety training, employees should visit the Employee Learning & Development website.

Lastly, the text mentions learning more about land acknowledgment by being kept informed. No specific information is provided regarding program offerings at the college.

Extracted Information:
- Contact methods for reporting incidents to Public Safety & Security: dial 0 on a college phone, call 416-415-4000 or text 416-723-4761
- Public Safety page visit: Dial 2 on a college phone
- Campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses
- Reporting responsibilities for in-class student accidents, out-of-class student accidents, staff accidents, and visitor accidents (includes external contractors)
- Annual WHMIS training requirement for employees who work with chemicals
- Three-year WHMIS training requirement for employees who do not work with chemicals
- Cornerstone as the provider of WHMIS training
- Employee Learning & Development website for course availability and enrollment information
- Land acknowledgment learning opportunity.",1. What are the contact methods to report incidents to Public Safety & Security at the college?
1,70d41b55-d73e-4a03-93d3-23e44ea8230e," The text provides information on reporting incidents, injuries, emergencies, security issues, and suspicious or criminal activity to Public Safety & Security at the college. Contact methods include dialing 0 on a college phone or calling 416-415-4000, texting 416-723-4761, or visiting the Public Safety page.

The text also mentions that all student, staff, and visitor accidents and injuries must be reported and completed within 24 hours using the Supervisor’s Accident Investigation Report Form. The responsibilities for completing and returning the report differ based on the type of accident: in-class student accidents are the Professor/Instructor's responsibility, out-of-class student accidents are the Campus Manager's responsibility, staff accidents are the direct supervisor/manager's responsibility, and visitor accidents (including external contractors) are the Campus Manager's responsibility.

The text also mentions that WHMIS training is mandatory for all employees who work with chemicals and must be completed annually. Employees who do not work with chemicals must complete WHMIS training every three years. The training is offered through Cornerstone, and in-person classes are no longer available. To check course availability and enroll or get more details and schedule annual safety training, employees should visit the Employee Learning & Development website.

Lastly, the text mentions learning more about land acknowledgment by being kept informed. No specific information is provided regarding program offerings at the college.

Extracted Information:
- Contact methods for reporting incidents to Public Safety & Security: dial 0 on a college phone, call 416-415-4000 or text 416-723-4761
- Public Safety page visit: Dial 2 on a college phone
- Campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses
- Reporting responsibilities for in-class student accidents, out-of-class student accidents, staff accidents, and visitor accidents (includes external contractors)
- Annual WHMIS training requirement for employees who work with chemicals
- Three-year WHMIS training requirement for employees who do not work with chemicals
- Cornerstone as the provider of WHMIS training
- Employee Learning & Development website for course availability and enrollment information
- Land acknowledgment learning opportunity.","(dial 0 on a college phone, call 416-415-4000 or text 416-723-4761)
2. Where can one visit the Public Safety page?"
2,70d41b55-d73e-4a03-93d3-23e44ea8230e," The text provides information on reporting incidents, injuries, emergencies, security issues, and suspicious or criminal activity to Public Safety & Security at the college. Contact methods include dialing 0 on a college phone or calling 416-415-4000, texting 416-723-4761, or visiting the Public Safety page.

The text also mentions that all student, staff, and visitor accidents and injuries must be reported and completed within 24 hours using the Supervisor’s Accident Investigation Report Form. The responsibilities for completing and returning the report differ based on the type of accident: in-class student accidents are the Professor/Instructor's responsibility, out-of-class student accidents are the Campus Manager's responsibility, staff accidents are the direct supervisor/manager's responsibility, and visitor accidents (including external contractors) are the Campus Manager's responsibility.

The text also mentions that WHMIS training is mandatory for all employees who work with chemicals and must be completed annually. Employees who do not work with chemicals must complete WHMIS training every three years. The training is offered through Cornerstone, and in-person classes are no longer available. To check course availability and enroll or get more details and schedule annual safety training, employees should visit the Employee Learning & Development website.

Lastly, the text mentions learning more about land acknowledgment by being kept informed. No specific information is provided regarding program offerings at the college.

Extracted Information:
- Contact methods for reporting incidents to Public Safety & Security: dial 0 on a college phone, call 416-415-4000 or text 416-723-4761
- Public Safety page visit: Dial 2 on a college phone
- Campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses
- Reporting responsibilities for in-class student accidents, out-of-class student accidents, staff accidents, and visitor accidents (includes external contractors)
- Annual WHMIS training requirement for employees who work with chemicals
- Three-year WHMIS training requirement for employees who do not work with chemicals
- Cornerstone as the provider of WHMIS training
- Employee Learning & Development website for course availability and enrollment information
- Land acknowledgment learning opportunity.","(Dial 2 on a college phone)
3. What are the campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses?"
3,70d41b55-d73e-4a03-93d3-23e44ea8230e," The text provides information on reporting incidents, injuries, emergencies, security issues, and suspicious or criminal activity to Public Safety & Security at the college. Contact methods include dialing 0 on a college phone or calling 416-415-4000, texting 416-723-4761, or visiting the Public Safety page.

The text also mentions that all student, staff, and visitor accidents and injuries must be reported and completed within 24 hours using the Supervisor’s Accident Investigation Report Form. The responsibilities for completing and returning the report differ based on the type of accident: in-class student accidents are the Professor/Instructor's responsibility, out-of-class student accidents are the Campus Manager's responsibility, staff accidents are the direct supervisor/manager's responsibility, and visitor accidents (including external contractors) are the Campus Manager's responsibility.

The text also mentions that WHMIS training is mandatory for all employees who work with chemicals and must be completed annually. Employees who do not work with chemicals must complete WHMIS training every three years. The training is offered through Cornerstone, and in-person classes are no longer available. To check course availability and enroll or get more details and schedule annual safety training, employees should visit the Employee Learning & Development website.

Lastly, the text mentions learning more about land acknowledgment by being kept informed. No specific information is provided regarding program offerings at the college.

Extracted Information:
- Contact methods for reporting incidents to Public Safety & Security: dial 0 on a college phone, call 416-415-4000 or text 416-723-4761
- Public Safety page visit: Dial 2 on a college phone
- Campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses
- Reporting responsibilities for in-class student accidents, out-of-class student accidents, staff accidents, and visitor accidents (includes external contractors)
- Annual WHMIS training requirement for employees who work with chemicals
- Three-year WHMIS training requirement for employees who do not work with chemicals
- Cornerstone as the provider of WHMIS training
- Employee Learning & Development website for course availability and enrollment information
- Land acknowledgment learning opportunity.",4. Who is responsible for reporting in-class student accidents?
4,70d41b55-d73e-4a03-93d3-23e44ea8230e," The text provides information on reporting incidents, injuries, emergencies, security issues, and suspicious or criminal activity to Public Safety & Security at the college. Contact methods include dialing 0 on a college phone or calling 416-415-4000, texting 416-723-4761, or visiting the Public Safety page.

The text also mentions that all student, staff, and visitor accidents and injuries must be reported and completed within 24 hours using the Supervisor’s Accident Investigation Report Form. The responsibilities for completing and returning the report differ based on the type of accident: in-class student accidents are the Professor/Instructor's responsibility, out-of-class student accidents are the Campus Manager's responsibility, staff accidents are the direct supervisor/manager's responsibility, and visitor accidents (including external contractors) are the Campus Manager's responsibility.

The text also mentions that WHMIS training is mandatory for all employees who work with chemicals and must be completed annually. Employees who do not work with chemicals must complete WHMIS training every three years. The training is offered through Cornerstone, and in-person classes are no longer available. To check course availability and enroll or get more details and schedule annual safety training, employees should visit the Employee Learning & Development website.

Lastly, the text mentions learning more about land acknowledgment by being kept informed. No specific information is provided regarding program offerings at the college.

Extracted Information:
- Contact methods for reporting incidents to Public Safety & Security: dial 0 on a college phone, call 416-415-4000 or text 416-723-4761
- Public Safety page visit: Dial 2 on a college phone
- Campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses
- Reporting responsibilities for in-class student accidents, out-of-class student accidents, staff accidents, and visitor accidents (includes external contractors)
- Annual WHMIS training requirement for employees who work with chemicals
- Three-year WHMIS training requirement for employees who do not work with chemicals
- Cornerstone as the provider of WHMIS training
- Employee Learning & Development website for course availability and enrollment information
- Land acknowledgment learning opportunity.",5. Who is responsible for reporting out-of-class student accidents?
5,70d41b55-d73e-4a03-93d3-23e44ea8230e," The text provides information on reporting incidents, injuries, emergencies, security issues, and suspicious or criminal activity to Public Safety & Security at the college. Contact methods include dialing 0 on a college phone or calling 416-415-4000, texting 416-723-4761, or visiting the Public Safety page.

The text also mentions that all student, staff, and visitor accidents and injuries must be reported and completed within 24 hours using the Supervisor’s Accident Investigation Report Form. The responsibilities for completing and returning the report differ based on the type of accident: in-class student accidents are the Professor/Instructor's responsibility, out-of-class student accidents are the Campus Manager's responsibility, staff accidents are the direct supervisor/manager's responsibility, and visitor accidents (including external contractors) are the Campus Manager's responsibility.

The text also mentions that WHMIS training is mandatory for all employees who work with chemicals and must be completed annually. Employees who do not work with chemicals must complete WHMIS training every three years. The training is offered through Cornerstone, and in-person classes are no longer available. To check course availability and enroll or get more details and schedule annual safety training, employees should visit the Employee Learning & Development website.

Lastly, the text mentions learning more about land acknowledgment by being kept informed. No specific information is provided regarding program offerings at the college.

Extracted Information:
- Contact methods for reporting incidents to Public Safety & Security: dial 0 on a college phone, call 416-415-4000 or text 416-723-4761
- Public Safety page visit: Dial 2 on a college phone
- Campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses
- Reporting responsibilities for in-class student accidents, out-of-class student accidents, staff accidents, and visitor accidents (includes external contractors)
- Annual WHMIS training requirement for employees who work with chemicals
- Three-year WHMIS training requirement for employees who do not work with chemicals
- Cornerstone as the provider of WHMIS training
- Employee Learning & Development website for course availability and enrollment information
- Land acknowledgment learning opportunity.",6. Who is responsible for reporting staff accidents?
6,70d41b55-d73e-4a03-93d3-23e44ea8230e," The text provides information on reporting incidents, injuries, emergencies, security issues, and suspicious or criminal activity to Public Safety & Security at the college. Contact methods include dialing 0 on a college phone or calling 416-415-4000, texting 416-723-4761, or visiting the Public Safety page.

The text also mentions that all student, staff, and visitor accidents and injuries must be reported and completed within 24 hours using the Supervisor’s Accident Investigation Report Form. The responsibilities for completing and returning the report differ based on the type of accident: in-class student accidents are the Professor/Instructor's responsibility, out-of-class student accidents are the Campus Manager's responsibility, staff accidents are the direct supervisor/manager's responsibility, and visitor accidents (including external contractors) are the Campus Manager's responsibility.

The text also mentions that WHMIS training is mandatory for all employees who work with chemicals and must be completed annually. Employees who do not work with chemicals must complete WHMIS training every three years. The training is offered through Cornerstone, and in-person classes are no longer available. To check course availability and enroll or get more details and schedule annual safety training, employees should visit the Employee Learning & Development website.

Lastly, the text mentions learning more about land acknowledgment by being kept informed. No specific information is provided regarding program offerings at the college.

Extracted Information:
- Contact methods for reporting incidents to Public Safety & Security: dial 0 on a college phone, call 416-415-4000 or text 416-723-4761
- Public Safety page visit: Dial 2 on a college phone
- Campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses
- Reporting responsibilities for in-class student accidents, out-of-class student accidents, staff accidents, and visitor accidents (includes external contractors)
- Annual WHMIS training requirement for employees who work with chemicals
- Three-year WHMIS training requirement for employees who do not work with chemicals
- Cornerstone as the provider of WHMIS training
- Employee Learning & Development website for course availability and enrollment information
- Land acknowledgment learning opportunity.",7. Who is responsible for reporting visitor accidents (including external contractors)?
7,70d41b55-d73e-4a03-93d3-23e44ea8230e," The text provides information on reporting incidents, injuries, emergencies, security issues, and suspicious or criminal activity to Public Safety & Security at the college. Contact methods include dialing 0 on a college phone or calling 416-415-4000, texting 416-723-4761, or visiting the Public Safety page.

The text also mentions that all student, staff, and visitor accidents and injuries must be reported and completed within 24 hours using the Supervisor’s Accident Investigation Report Form. The responsibilities for completing and returning the report differ based on the type of accident: in-class student accidents are the Professor/Instructor's responsibility, out-of-class student accidents are the Campus Manager's responsibility, staff accidents are the direct supervisor/manager's responsibility, and visitor accidents (including external contractors) are the Campus Manager's responsibility.

The text also mentions that WHMIS training is mandatory for all employees who work with chemicals and must be completed annually. Employees who do not work with chemicals must complete WHMIS training every three years. The training is offered through Cornerstone, and in-person classes are no longer available. To check course availability and enroll or get more details and schedule annual safety training, employees should visit the Employee Learning & Development website.

Lastly, the text mentions learning more about land acknowledgment by being kept informed. No specific information is provided regarding program offerings at the college.

Extracted Information:
- Contact methods for reporting incidents to Public Safety & Security: dial 0 on a college phone, call 416-415-4000 or text 416-723-4761
- Public Safety page visit: Dial 2 on a college phone
- Campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses
- Reporting responsibilities for in-class student accidents, out-of-class student accidents, staff accidents, and visitor accidents (includes external contractors)
- Annual WHMIS training requirement for employees who work with chemicals
- Three-year WHMIS training requirement for employees who do not work with chemicals
- Cornerstone as the provider of WHMIS training
- Employee Learning & Development website for course availability and enrollment information
- Land acknowledgment learning opportunity.",8. Is annual WHMIS training mandatory for all employees who work with chemicals?
8,70d41b55-d73e-4a03-93d3-23e44ea8230e," The text provides information on reporting incidents, injuries, emergencies, security issues, and suspicious or criminal activity to Public Safety & Security at the college. Contact methods include dialing 0 on a college phone or calling 416-415-4000, texting 416-723-4761, or visiting the Public Safety page.

The text also mentions that all student, staff, and visitor accidents and injuries must be reported and completed within 24 hours using the Supervisor’s Accident Investigation Report Form. The responsibilities for completing and returning the report differ based on the type of accident: in-class student accidents are the Professor/Instructor's responsibility, out-of-class student accidents are the Campus Manager's responsibility, staff accidents are the direct supervisor/manager's responsibility, and visitor accidents (including external contractors) are the Campus Manager's responsibility.

The text also mentions that WHMIS training is mandatory for all employees who work with chemicals and must be completed annually. Employees who do not work with chemicals must complete WHMIS training every three years. The training is offered through Cornerstone, and in-person classes are no longer available. To check course availability and enroll or get more details and schedule annual safety training, employees should visit the Employee Learning & Development website.

Lastly, the text mentions learning more about land acknowledgment by being kept informed. No specific information is provided regarding program offerings at the college.

Extracted Information:
- Contact methods for reporting incidents to Public Safety & Security: dial 0 on a college phone, call 416-415-4000 or text 416-723-4761
- Public Safety page visit: Dial 2 on a college phone
- Campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses
- Reporting responsibilities for in-class student accidents, out-of-class student accidents, staff accidents, and visitor accidents (includes external contractors)
- Annual WHMIS training requirement for employees who work with chemicals
- Three-year WHMIS training requirement for employees who do not work with chemicals
- Cornerstone as the provider of WHMIS training
- Employee Learning & Development website for course availability and enrollment information
- Land acknowledgment learning opportunity.",9. What is the three-year WHMIS training requirement for employees who do not work with chemicals?
9,70d41b55-d73e-4a03-93d3-23e44ea8230e," The text provides information on reporting incidents, injuries, emergencies, security issues, and suspicious or criminal activity to Public Safety & Security at the college. Contact methods include dialing 0 on a college phone or calling 416-415-4000, texting 416-723-4761, or visiting the Public Safety page.

The text also mentions that all student, staff, and visitor accidents and injuries must be reported and completed within 24 hours using the Supervisor’s Accident Investigation Report Form. The responsibilities for completing and returning the report differ based on the type of accident: in-class student accidents are the Professor/Instructor's responsibility, out-of-class student accidents are the Campus Manager's responsibility, staff accidents are the direct supervisor/manager's responsibility, and visitor accidents (including external contractors) are the Campus Manager's responsibility.

The text also mentions that WHMIS training is mandatory for all employees who work with chemicals and must be completed annually. Employees who do not work with chemicals must complete WHMIS training every three years. The training is offered through Cornerstone, and in-person classes are no longer available. To check course availability and enroll or get more details and schedule annual safety training, employees should visit the Employee Learning & Development website.

Lastly, the text mentions learning more about land acknowledgment by being kept informed. No specific information is provided regarding program offerings at the college.

Extracted Information:
- Contact methods for reporting incidents to Public Safety & Security: dial 0 on a college phone, call 416-415-4000 or text 416-723-4761
- Public Safety page visit: Dial 2 on a college phone
- Campus locations and contact extensions for Casa Loma, St. James, and Waterfront campuses
- Reporting responsibilities for in-class student accidents, out-of-class student accidents, staff accidents, and visitor accidents (includes external contractors)
- Annual WHMIS training requirement for employees who work with chemicals
- Three-year WHMIS training requirement for employees who do not work with chemicals
- Cornerstone as the provider of WHMIS training
- Employee Learning & Development website for course availability and enrollment information
- Land acknowledgment learning opportunity.",10. Where can employees complete and enroll in WHMIS training?
