,contextId,context,question
0,ce3e95b4-612c-4fdb-89ef-e98f68f8575a," Program Name: Honours Bachelor of Behaviour Analysis (S302)
Program Coordinator: Don Togade (Don.Togade@georgebrown.ca)
Location: Online
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Available but not linked in the text
Application Deadlines and College News: Sign up to be kept informed
Website Notice: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",What is the name of the honours bachelor's degree program at George Brown College?
1,ce3e95b4-612c-4fdb-89ef-e98f68f8575a," Program Name: Honours Bachelor of Behaviour Analysis (S302)
Program Coordinator: Don Togade (Don.Togade@georgebrown.ca)
Location: Online
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Available but not linked in the text
Application Deadlines and College News: Sign up to be kept informed
Website Notice: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", Who can I contact if I have questions about the Behaviour Analysis program (S302)?"
2,ce3e95b4-612c-4fdb-89ef-e98f68f8575a," Program Name: Honours Bachelor of Behaviour Analysis (S302)
Program Coordinator: Don Togade (Don.Togade@georgebrown.ca)
Location: Online
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Available but not linked in the text
Application Deadlines and College News: Sign up to be kept informed
Website Notice: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", Where is this program offered?"
3,ce3e95b4-612c-4fdb-89ef-e98f68f8575a," Program Name: Honours Bachelor of Behaviour Analysis (S302)
Program Coordinator: Don Togade (Don.Togade@georgebrown.ca)
Location: Online
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Available but not linked in the text
Application Deadlines and College News: Sign up to be kept informed
Website Notice: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the contact information for George Brown College?"
4,ce3e95b4-612c-4fdb-89ef-e98f68f8575a," Program Name: Honours Bachelor of Behaviour Analysis (S302)
Program Coordinator: Don Togade (Don.Togade@georgebrown.ca)
Location: Online
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Available but not linked in the text
Application Deadlines and College News: Sign up to be kept informed
Website Notice: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", Is there a social media hub for this program available?"
5,ce3e95b4-612c-4fdb-89ef-e98f68f8575a," Program Name: Honours Bachelor of Behaviour Analysis (S302)
Program Coordinator: Don Togade (Don.Togade@georgebrown.ca)
Location: Online
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Available but not linked in the text
Application Deadlines and College News: Sign up to be kept informed
Website Notice: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", When are the application deadlines for the Honours Bachelor of Behaviour Analysis program?"
6,ce3e95b4-612c-4fdb-89ef-e98f68f8575a," Program Name: Honours Bachelor of Behaviour Analysis (S302)
Program Coordinator: Don Togade (Don.Togade@georgebrown.ca)
Location: Online
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Available but not linked in the text
Application Deadlines and College News: Sign up to be kept informed
Website Notice: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", How can I stay informed about college news related to this program?"
7,ce3e95b4-612c-4fdb-89ef-e98f68f8575a," Program Name: Honours Bachelor of Behaviour Analysis (S302)
Program Coordinator: Don Togade (Don.Togade@georgebrown.ca)
Location: Online
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Available but not linked in the text
Application Deadlines and College News: Sign up to be kept informed
Website Notice: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", Does the website notice affect the information contained on the rest of the site?"
8,ce3e95b4-612c-4fdb-89ef-e98f68f8575a," Program Name: Honours Bachelor of Behaviour Analysis (S302)
Program Coordinator: Don Togade (Don.Togade@georgebrown.ca)
Location: Online
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Available but not linked in the text
Application Deadlines and College News: Sign up to be kept informed
Website Notice: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What fees would students be responsible for in this program according to the provided notice?"
9,ce3e95b4-612c-4fdb-89ef-e98f68f8575a," Program Name: Honours Bachelor of Behaviour Analysis (S302)
Program Coordinator: Don Togade (Don.Togade@georgebrown.ca)
Location: Online
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Available but not linked in the text
Application Deadlines and College News: Sign up to be kept informed
Website Notice: Information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",?
