,contextId,context,question
0,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",1. What are the student fare savings with GO Transit?
1,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
2. How can I apply for the GO Transit student discount online?"
2,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
3. Where can I find information on passes and schedules for GO Transit?"
3,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
4. Who do I contact for questions about George Brown College programs and services?"
4,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
5. What is the email address to reach out to George Brown College for inquiries?"
5,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
6. How often must full-time students reapply for the GO Transit student discount?"
6,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
7. Where can I find winter 2024 program delivery information on the college website?"
7,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
8. Can I sign up for application deadlines, news, events, and tours on the college website?"
8,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
9. What are the contact numbers to reach GO Transit for information?"
9,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
10. How can students verify George Brown College fee requirements?"
10,27c55a24-d3eb-44f0-9d21-b85d6717b75a," * Full-time George Brown students are eligible for GO Transit student fares.
* Save on travel via GO Rail and GO Bus using the PRESTO card.
* Details of student discounts can be found on the GO Transit Student Savings website.
* Apply for the discount in person or online through the Go Transit Post-Secondary Student Discount website.
* Full time students must reapply for the discount every academic year.
* Contact GO Transit for information on passes or schedules: 1 (888) GET ON GO (438-6646), GO Transit website.
* Submit questions to George Brown College at ask.george@georgebrown.ca or call 416-415-2000, TTY: 1-877-515-5559.
* Winter 2024 program delivery information is available on the college website.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the college website.
* Contact numbers: 416-415-2000, TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub available on the college website.
* Information in the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",?
