,contextId,context,question
0,2de8a0c7-4932-4c7c-b041-59073f968e47," Janene Christiansen is the Registrar and Associate Vice-President, Strategic Enrolment at George Brown College. She has extensive experience leading teams in various registrarial roles, including admissions, assessment, convocation, fees and scheduling, financial aid, systems and reporting, and registration and audit. Janene started her career at George Brown in 2003 as an operations manager in the Registrar’s office. She spent more than a decade in registrarial leadership roles at other post-secondary institutions before returning to George Brown in 2022.

Janene has been recognized with several awards for her leadership, including the Sheridan Inspirational Leader Award and the President's Distinguished Administrative Staff Award from Humber College. She holds a Bachelor of Science in Computer Science and Psychology from the University of Western Ontario.

Contact information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

Note: The text does not contain any specific information about the programs offered by George Brown College.",What is Janene Christiansen's role at George Brown College?
1,2de8a0c7-4932-4c7c-b041-59073f968e47," Janene Christiansen is the Registrar and Associate Vice-President, Strategic Enrolment at George Brown College. She has extensive experience leading teams in various registrarial roles, including admissions, assessment, convocation, fees and scheduling, financial aid, systems and reporting, and registration and audit. Janene started her career at George Brown in 2003 as an operations manager in the Registrar’s office. She spent more than a decade in registrarial leadership roles at other post-secondary institutions before returning to George Brown in 2022.

Janene has been recognized with several awards for her leadership, including the Sheridan Inspirational Leader Award and the President's Distinguished Administrative Staff Award from Humber College. She holds a Bachelor of Science in Computer Science and Psychology from the University of Western Ontario.

Contact information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

Note: The text does not contain any specific information about the programs offered by George Brown College.",", Where did Janene start her career in George Brown College?"
2,2de8a0c7-4932-4c7c-b041-59073f968e47," Janene Christiansen is the Registrar and Associate Vice-President, Strategic Enrolment at George Brown College. She has extensive experience leading teams in various registrarial roles, including admissions, assessment, convocation, fees and scheduling, financial aid, systems and reporting, and registration and audit. Janene started her career at George Brown in 2003 as an operations manager in the Registrar’s office. She spent more than a decade in registrarial leadership roles at other post-secondary institutions before returning to George Brown in 2022.

Janene has been recognized with several awards for her leadership, including the Sheridan Inspirational Leader Award and the President's Distinguished Administrative Staff Award from Humber College. She holds a Bachelor of Science in Computer Science and Psychology from the University of Western Ontario.

Contact information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

Note: The text does not contain any specific information about the programs offered by George Brown College.",", Which awards has Janene received for her leadership?"
3,2de8a0c7-4932-4c7c-b041-59073f968e47," Janene Christiansen is the Registrar and Associate Vice-President, Strategic Enrolment at George Brown College. She has extensive experience leading teams in various registrarial roles, including admissions, assessment, convocation, fees and scheduling, financial aid, systems and reporting, and registration and audit. Janene started her career at George Brown in 2003 as an operations manager in the Registrar’s office. She spent more than a decade in registrarial leadership roles at other post-secondary institutions before returning to George Brown in 2022.

Janene has been recognized with several awards for her leadership, including the Sheridan Inspirational Leader Award and the President's Distinguished Administrative Staff Award from Humber College. She holds a Bachelor of Science in Computer Science and Psychology from the University of Western Ontario.

Contact information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

Note: The text does not contain any specific information about the programs offered by George Brown College.",", What is Janene's educational background?"
4,2de8a0c7-4932-4c7c-b041-59073f968e47," Janene Christiansen is the Registrar and Associate Vice-President, Strategic Enrolment at George Brown College. She has extensive experience leading teams in various registrarial roles, including admissions, assessment, convocation, fees and scheduling, financial aid, systems and reporting, and registration and audit. Janene started her career at George Brown in 2003 as an operations manager in the Registrar’s office. She spent more than a decade in registrarial leadership roles at other post-secondary institutions before returning to George Brown in 2022.

Janene has been recognized with several awards for her leadership, including the Sheridan Inspirational Leader Award and the President's Distinguished Administrative Staff Award from Humber College. She holds a Bachelor of Science in Computer Science and Psychology from the University of Western Ontario.

Contact information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

Note: The text does not contain any specific information about the programs offered by George Brown College.",", How can I contact the George Brown College Registrar's office?"
5,2de8a0c7-4932-4c7c-b041-59073f968e47," Janene Christiansen is the Registrar and Associate Vice-President, Strategic Enrolment at George Brown College. She has extensive experience leading teams in various registrarial roles, including admissions, assessment, convocation, fees and scheduling, financial aid, systems and reporting, and registration and audit. Janene started her career at George Brown in 2003 as an operations manager in the Registrar’s office. She spent more than a decade in registrarial leadership roles at other post-secondary institutions before returning to George Brown in 2022.

Janene has been recognized with several awards for her leadership, including the Sheridan Inspirational Leader Award and the President's Distinguished Administrative Staff Award from Humber College. She holds a Bachelor of Science in Computer Science and Psychology from the University of Western Ontario.

Contact information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

Note: The text does not contain any specific information about the programs offered by George Brown College.",?
6,429ec0bd-3a38-46e0-a7b8-a7d4aa2c628c, The text does not provide any factual information related to the program offered by George Brown College.,What programs is George Brown College known for?
7,429ec0bd-3a38-46e0-a7b8-a7d4aa2c628c, The text does not provide any factual information related to the program offered by George Brown College.,", Can you provide some details about the courses offered in George Brown College?"
8,429ec0bd-3a38-46e0-a7b8-a7d4aa2c628c, The text does not provide any factual information related to the program offered by George Brown College.,", What types of degrees or certificates can be earned at George Brown College?"
9,429ec0bd-3a38-46e0-a7b8-a7d4aa2c628c, The text does not provide any factual information related to the program offered by George Brown College.,", Is there any specific focus or area of expertise for the programs at George Brown College?"
10,429ec0bd-3a38-46e0-a7b8-a7d4aa2c628c, The text does not provide any factual information related to the program offered by George Brown College.,?
