,contextId,context,question
0,433ba8f5-5554-4d52-a85f-4c588d4620a6," Katie is a dance student at George Brown Dance, the official school of Canada's Ballet Jörgen. She joined the school after graduating from the Dance Performance Preparation Program in 2018 and is currently enrolled in the school's two-year diploma program. Katie discovered her love for ballet at the age of seven when she saw Canada's Ballet Jörgen's production of The Nutcracker at the Capitol Centre in North Bay. She is from Nipissing First Nation, an Ojibwe reserve just outside of North Bay, and began taking classes at Barbara Treleaven School of Dancing (now BTS Corp) a few weeks after seeing The Nutcracker. Her parents recognized her strong gift and love for ballet when she was around 12 years old.",What is Katie's current program at George Brown Dance?
1,433ba8f5-5554-4d52-a85f-4c588d4620a6," Katie is a dance student at George Brown Dance, the official school of Canada's Ballet Jörgen. She joined the school after graduating from the Dance Performance Preparation Program in 2018 and is currently enrolled in the school's two-year diploma program. Katie discovered her love for ballet at the age of seven when she saw Canada's Ballet Jörgen's production of The Nutcracker at the Capitol Centre in North Bay. She is from Nipissing First Nation, an Ojibwe reserve just outside of North Bay, and began taking classes at Barbara Treleaven School of Dancing (now BTS Corp) a few weeks after seeing The Nutcracker. Her parents recognized her strong gift and love for ballet when she was around 12 years old.",", Where did Katie first see Canada's Ballet Jörgen perform The Nutcracker?"
2,433ba8f5-5554-4d52-a85f-4c588d4620a6," Katie is a dance student at George Brown Dance, the official school of Canada's Ballet Jörgen. She joined the school after graduating from the Dance Performance Preparation Program in 2018 and is currently enrolled in the school's two-year diploma program. Katie discovered her love for ballet at the age of seven when she saw Canada's Ballet Jörgen's production of The Nutcracker at the Capitol Centre in North Bay. She is from Nipissing First Nation, an Ojibwe reserve just outside of North Bay, and began taking classes at Barbara Treleaven School of Dancing (now BTS Corp) a few weeks after seeing The Nutcracker. Her parents recognized her strong gift and love for ballet when she was around 12 years old.",", What is the name of the school where Katie took dancing classes before George Brown Dance?"
3,433ba8f5-5554-4d52-a85f-4c588d4620a6," Katie is a dance student at George Brown Dance, the official school of Canada's Ballet Jörgen. She joined the school after graduating from the Dance Performance Preparation Program in 2018 and is currently enrolled in the school's two-year diploma program. Katie discovered her love for ballet at the age of seven when she saw Canada's Ballet Jörgen's production of The Nutcracker at the Capitol Centre in North Bay. She is from Nipissing First Nation, an Ojibwe reserve just outside of North Bay, and began taking classes at Barbara Treleaven School of Dancing (now BTS Corp) a few weeks after seeing The Nutcracker. Her parents recognized her strong gift and love for ballet when she was around 12 years old.",", At what age did Katie start taking dancing classes seriously?"
4,433ba8f5-5554-4d52-a85f-4c588d4620a6," Katie is a dance student at George Brown Dance, the official school of Canada's Ballet Jörgen. She joined the school after graduating from the Dance Performance Preparation Program in 2018 and is currently enrolled in the school's two-year diploma program. Katie discovered her love for ballet at the age of seven when she saw Canada's Ballet Jörgen's production of The Nutcracker at the Capitol Centre in North Bay. She is from Nipissing First Nation, an Ojibwe reserve just outside of North Bay, and began taking classes at Barbara Treleaven School of Dancing (now BTS Corp) a few weeks after seeing The Nutcracker. Her parents recognized her strong gift and love for ballet when she was around 12 years old.",", From which reserve is Katie originated?"
5,433ba8f5-5554-4d52-a85f-4c588d4620a6," Katie is a dance student at George Brown Dance, the official school of Canada's Ballet Jörgen. She joined the school after graduating from the Dance Performance Preparation Program in 2018 and is currently enrolled in the school's two-year diploma program. Katie discovered her love for ballet at the age of seven when she saw Canada's Ballet Jörgen's production of The Nutcracker at the Capitol Centre in North Bay. She is from Nipissing First Nation, an Ojibwe reserve just outside of North Bay, and began taking classes at Barbara Treleaven School of Dancing (now BTS Corp) a few weeks after seeing The Nutcracker. Her parents recognized her strong gift and love for ballet when she was around 12 years old.",?
6,9228dc5c-cb97-453d-a5d9-38cd4ef4f298," Katie is a ballet dancer who aspired to attend a professional ballet school when she was 12 years old. She took private lessons and attended summer intensive programs at the Royal Winnipeg Ballet and Quinte Ballet School, which led to her acceptance into Quinte's full-time program in 2012. Katie moved to Belleville to study at Quinte for her grade nine year but had to take a break from dance due to personal reasons. She went through therapy with her family and returned to dance a few years later, applying to George Brown Dance because of its relationship to Canada’s Ballet Jörgen. Katie is now pursuing her diploma in the George Brown Dance Performance program (P105). Her goals for herself moving forward in her dance career include sharing her ballet knowledge and skill with Indigenous communities by going to rural communities and doing workshops. Katie grew up on a reserve but was inspired to do ballet after seeing The Nutcracker in North Bay.",1. Where did Katie aspire to attend for professional ballet training when she was 12 years old?
7,9228dc5c-cb97-453d-a5d9-38cd4ef4f298," Katie is a ballet dancer who aspired to attend a professional ballet school when she was 12 years old. She took private lessons and attended summer intensive programs at the Royal Winnipeg Ballet and Quinte Ballet School, which led to her acceptance into Quinte's full-time program in 2012. Katie moved to Belleville to study at Quinte for her grade nine year but had to take a break from dance due to personal reasons. She went through therapy with her family and returned to dance a few years later, applying to George Brown Dance because of its relationship to Canada’s Ballet Jörgen. Katie is now pursuing her diploma in the George Brown Dance Performance program (P105). Her goals for herself moving forward in her dance career include sharing her ballet knowledge and skill with Indigenous communities by going to rural communities and doing workshops. Katie grew up on a reserve but was inspired to do ballet after seeing The Nutcracker in North Bay.",2. Which ballet schools did Katie attend summer intensive programs at before getting accepted into a full-time program?
8,9228dc5c-cb97-453d-a5d9-38cd4ef4f298," Katie is a ballet dancer who aspired to attend a professional ballet school when she was 12 years old. She took private lessons and attended summer intensive programs at the Royal Winnipeg Ballet and Quinte Ballet School, which led to her acceptance into Quinte's full-time program in 2012. Katie moved to Belleville to study at Quinte for her grade nine year but had to take a break from dance due to personal reasons. She went through therapy with her family and returned to dance a few years later, applying to George Brown Dance because of its relationship to Canada’s Ballet Jörgen. Katie is now pursuing her diploma in the George Brown Dance Performance program (P105). Her goals for herself moving forward in her dance career include sharing her ballet knowledge and skill with Indigenous communities by going to rural communities and doing workshops. Katie grew up on a reserve but was inspired to do ballet after seeing The Nutcracker in North Bay.",3. In which city did Katie move to study at Quinte Ballet School?
9,9228dc5c-cb97-453d-a5d9-38cd4ef4f298," Katie is a ballet dancer who aspired to attend a professional ballet school when she was 12 years old. She took private lessons and attended summer intensive programs at the Royal Winnipeg Ballet and Quinte Ballet School, which led to her acceptance into Quinte's full-time program in 2012. Katie moved to Belleville to study at Quinte for her grade nine year but had to take a break from dance due to personal reasons. She went through therapy with her family and returned to dance a few years later, applying to George Brown Dance because of its relationship to Canada’s Ballet Jörgen. Katie is now pursuing her diploma in the George Brown Dance Performance program (P105). Her goals for herself moving forward in her dance career include sharing her ballet knowledge and skill with Indigenous communities by going to rural communities and doing workshops. Katie grew up on a reserve but was inspired to do ballet after seeing The Nutcracker in North Bay.",4. Why did Katie have to take a break from dance and what helped her return?
10,9228dc5c-cb97-453d-a5d9-38cd4ef4f298," Katie is a ballet dancer who aspired to attend a professional ballet school when she was 12 years old. She took private lessons and attended summer intensive programs at the Royal Winnipeg Ballet and Quinte Ballet School, which led to her acceptance into Quinte's full-time program in 2012. Katie moved to Belleville to study at Quinte for her grade nine year but had to take a break from dance due to personal reasons. She went through therapy with her family and returned to dance a few years later, applying to George Brown Dance because of its relationship to Canada’s Ballet Jörgen. Katie is now pursuing her diploma in the George Brown Dance Performance program (P105). Her goals for herself moving forward in her dance career include sharing her ballet knowledge and skill with Indigenous communities by going to rural communities and doing workshops. Katie grew up on a reserve but was inspired to do ballet after seeing The Nutcracker in North Bay.",5. What program is Katie currently pursuing at George Brown Dance?
11,9228dc5c-cb97-453d-a5d9-38cd4ef4f298," Katie is a ballet dancer who aspired to attend a professional ballet school when she was 12 years old. She took private lessons and attended summer intensive programs at the Royal Winnipeg Ballet and Quinte Ballet School, which led to her acceptance into Quinte's full-time program in 2012. Katie moved to Belleville to study at Quinte for her grade nine year but had to take a break from dance due to personal reasons. She went through therapy with her family and returned to dance a few years later, applying to George Brown Dance because of its relationship to Canada’s Ballet Jörgen. Katie is now pursuing her diploma in the George Brown Dance Performance program (P105). Her goals for herself moving forward in her dance career include sharing her ballet knowledge and skill with Indigenous communities by going to rural communities and doing workshops. Katie grew up on a reserve but was inspired to do ballet after seeing The Nutcracker in North Bay.",6. How does George Brown Dance relate to Canada’s Ballet Jörgen?
12,9228dc5c-cb97-453d-a5d9-38cd4ef4f298," Katie is a ballet dancer who aspired to attend a professional ballet school when she was 12 years old. She took private lessons and attended summer intensive programs at the Royal Winnipeg Ballet and Quinte Ballet School, which led to her acceptance into Quinte's full-time program in 2012. Katie moved to Belleville to study at Quinte for her grade nine year but had to take a break from dance due to personal reasons. She went through therapy with her family and returned to dance a few years later, applying to George Brown Dance because of its relationship to Canada’s Ballet Jörgen. Katie is now pursuing her diploma in the George Brown Dance Performance program (P105). Her goals for herself moving forward in her dance career include sharing her ballet knowledge and skill with Indigenous communities by going to rural communities and doing workshops. Katie grew up on a reserve but was inspired to do ballet after seeing The Nutcracker in North Bay.",7. Where did Katie grow up and what inspired her to do ballet?
13,9228dc5c-cb97-453d-a5d9-38cd4ef4f298," Katie is a ballet dancer who aspired to attend a professional ballet school when she was 12 years old. She took private lessons and attended summer intensive programs at the Royal Winnipeg Ballet and Quinte Ballet School, which led to her acceptance into Quinte's full-time program in 2012. Katie moved to Belleville to study at Quinte for her grade nine year but had to take a break from dance due to personal reasons. She went through therapy with her family and returned to dance a few years later, applying to George Brown Dance because of its relationship to Canada’s Ballet Jörgen. Katie is now pursuing her diploma in the George Brown Dance Performance program (P105). Her goals for herself moving forward in her dance career include sharing her ballet knowledge and skill with Indigenous communities by going to rural communities and doing workshops. Katie grew up on a reserve but was inspired to do ballet after seeing The Nutcracker in North Bay.",8. What are Katie's goals for herself in her dance career moving forward?
14,9228dc5c-cb97-453d-a5d9-38cd4ef4f298," Katie is a ballet dancer who aspired to attend a professional ballet school when she was 12 years old. She took private lessons and attended summer intensive programs at the Royal Winnipeg Ballet and Quinte Ballet School, which led to her acceptance into Quinte's full-time program in 2012. Katie moved to Belleville to study at Quinte for her grade nine year but had to take a break from dance due to personal reasons. She went through therapy with her family and returned to dance a few years later, applying to George Brown Dance because of its relationship to Canada’s Ballet Jörgen. Katie is now pursuing her diploma in the George Brown Dance Performance program (P105). Her goals for herself moving forward in her dance career include sharing her ballet knowledge and skill with Indigenous communities by going to rural communities and doing workshops. Katie grew up on a reserve but was inspired to do ballet after seeing The Nutcracker in North Bay.",?
15,526c7af5-44a6-45e4-a41f-dd59ddcddeac," Canada's Ballet Jörgen is expanding its Ballet 101 Program to visit communities in every region of Ontario. This one-hour program introduces audiences to dance through live performance and interactive education about ballet as a storytelling medium. Victoria Campbell Windle wrote about this community outreach initiative in her article. For more information, sign up for college updates, contact ask.george@georgebrown.ca or call 416-415-2000 (TTY: 1-877-515-5559). The website content is subject to change without notice.",What is Ballet 101 Program offered by Canada's Ballet Jörgen?
