,contextId,context,question
0,68305eaa-dc0d-4971-b7c6-59739b36eb9d," The George Brown College acknowledges systemic racism and promotes fairness, equity, accountability, and transparency through the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS). The OAREHRS manages human rights complaints, advises on diversity and inclusion, and is responsible for matters under the following policies and legislations:

1. Human Rights Discrimination and Harassment Policy
2. Sexual Assault and Sexual Violence Policy and Protocol
3. AODA Accessibility Policy
4. Freedom of Information and Protection of Privacy Act

The OAREHRS can be contacted at diversity@georgebrown.ca or 416-415-5000 Ext. 3668 for further inquiries. All services are confidential. The Diversity Calendar is available online and in print for cultural observances. TTY: 1-877-515-5559.

The OAREHRS condemns incidents of gender-based and transphobic violence, including the stabbing incident at the University of Waterloo on June 28, 2023. The Accessibility for Ontarians with Disabilities Act (AODA) became law in 2005. The college has campaigns, resources, and Human Rights Advisors to help individuals. Information about disclosing and reporting sexual violence, policies, emergency contacts, and support can be found online. The college also supports the 2SLGBTQIA+ community.

Collecting race-based data is not mentioned in the text.","* What policies and legislations does the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS) manage at George Brown College?"
1,68305eaa-dc0d-4971-b7c6-59739b36eb9d," The George Brown College acknowledges systemic racism and promotes fairness, equity, accountability, and transparency through the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS). The OAREHRS manages human rights complaints, advises on diversity and inclusion, and is responsible for matters under the following policies and legislations:

1. Human Rights Discrimination and Harassment Policy
2. Sexual Assault and Sexual Violence Policy and Protocol
3. AODA Accessibility Policy
4. Freedom of Information and Protection of Privacy Act

The OAREHRS can be contacted at diversity@georgebrown.ca or 416-415-5000 Ext. 3668 for further inquiries. All services are confidential. The Diversity Calendar is available online and in print for cultural observances. TTY: 1-877-515-5559.

The OAREHRS condemns incidents of gender-based and transphobic violence, including the stabbing incident at the University of Waterloo on June 28, 2023. The Accessibility for Ontarians with Disabilities Act (AODA) became law in 2005. The college has campaigns, resources, and Human Rights Advisors to help individuals. Information about disclosing and reporting sexual violence, policies, emergency contacts, and support can be found online. The college also supports the 2SLGBTQIA+ community.

Collecting race-based data is not mentioned in the text.",* How can individuals contact the OAREHRS for further inquiries?
2,68305eaa-dc0d-4971-b7c6-59739b36eb9d," The George Brown College acknowledges systemic racism and promotes fairness, equity, accountability, and transparency through the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS). The OAREHRS manages human rights complaints, advises on diversity and inclusion, and is responsible for matters under the following policies and legislations:

1. Human Rights Discrimination and Harassment Policy
2. Sexual Assault and Sexual Violence Policy and Protocol
3. AODA Accessibility Policy
4. Freedom of Information and Protection of Privacy Act

The OAREHRS can be contacted at diversity@georgebrown.ca or 416-415-5000 Ext. 3668 for further inquiries. All services are confidential. The Diversity Calendar is available online and in print for cultural observances. TTY: 1-877-515-5559.

The OAREHRS condemns incidents of gender-based and transphobic violence, including the stabbing incident at the University of Waterloo on June 28, 2023. The Accessibility for Ontarians with Disabilities Act (AODA) became law in 2005. The college has campaigns, resources, and Human Rights Advisors to help individuals. Information about disclosing and reporting sexual violence, policies, emergency contacts, and support can be found online. The college also supports the 2SLGBTQIA+ community.

Collecting race-based data is not mentioned in the text.",* Which policies does the OAREHRS handle regarding human rights discrimination and harassment?
3,68305eaa-dc0d-4971-b7c6-59739b36eb9d," The George Brown College acknowledges systemic racism and promotes fairness, equity, accountability, and transparency through the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS). The OAREHRS manages human rights complaints, advises on diversity and inclusion, and is responsible for matters under the following policies and legislations:

1. Human Rights Discrimination and Harassment Policy
2. Sexual Assault and Sexual Violence Policy and Protocol
3. AODA Accessibility Policy
4. Freedom of Information and Protection of Privacy Act

The OAREHRS can be contacted at diversity@georgebrown.ca or 416-415-5000 Ext. 3668 for further inquiries. All services are confidential. The Diversity Calendar is available online and in print for cultural observances. TTY: 1-877-515-5559.

The OAREHRS condemns incidents of gender-based and transphobic violence, including the stabbing incident at the University of Waterloo on June 28, 2023. The Accessibility for Ontarians with Disabilities Act (AODA) became law in 2005. The college has campaigns, resources, and Human Rights Advisors to help individuals. Information about disclosing and reporting sexual violence, policies, emergency contacts, and support can be found online. The college also supports the 2SLGBTQIA+ community.

Collecting race-based data is not mentioned in the text.",* What services are confidential under the OAREHRS?
4,68305eaa-dc0d-4971-b7c6-59739b36eb9d," The George Brown College acknowledges systemic racism and promotes fairness, equity, accountability, and transparency through the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS). The OAREHRS manages human rights complaints, advises on diversity and inclusion, and is responsible for matters under the following policies and legislations:

1. Human Rights Discrimination and Harassment Policy
2. Sexual Assault and Sexual Violence Policy and Protocol
3. AODA Accessibility Policy
4. Freedom of Information and Protection of Privacy Act

The OAREHRS can be contacted at diversity@georgebrown.ca or 416-415-5000 Ext. 3668 for further inquiries. All services are confidential. The Diversity Calendar is available online and in print for cultural observances. TTY: 1-877-515-5559.

The OAREHRS condemns incidents of gender-based and transphobic violence, including the stabbing incident at the University of Waterloo on June 28, 2023. The Accessibility for Ontarians with Disabilities Act (AODA) became law in 2005. The college has campaigns, resources, and Human Rights Advisors to help individuals. Information about disclosing and reporting sexual violence, policies, emergency contacts, and support can be found online. The college also supports the 2SLGBTQIA+ community.

Collecting race-based data is not mentioned in the text.",* When is the Diversity Calendar available online and in print?
5,68305eaa-dc0d-4971-b7c6-59739b36eb9d," The George Brown College acknowledges systemic racism and promotes fairness, equity, accountability, and transparency through the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS). The OAREHRS manages human rights complaints, advises on diversity and inclusion, and is responsible for matters under the following policies and legislations:

1. Human Rights Discrimination and Harassment Policy
2. Sexual Assault and Sexual Violence Policy and Protocol
3. AODA Accessibility Policy
4. Freedom of Information and Protection of Privacy Act

The OAREHRS can be contacted at diversity@georgebrown.ca or 416-415-5000 Ext. 3668 for further inquiries. All services are confidential. The Diversity Calendar is available online and in print for cultural observances. TTY: 1-877-515-5559.

The OAREHRS condemns incidents of gender-based and transphobic violence, including the stabbing incident at the University of Waterloo on June 28, 2023. The Accessibility for Ontarians with Disabilities Act (AODA) became law in 2005. The college has campaigns, resources, and Human Rights Advisors to help individuals. Information about disclosing and reporting sexual violence, policies, emergency contacts, and support can be found online. The college also supports the 2SLGBTQIA+ community.

Collecting race-based data is not mentioned in the text.",* Which legislation did the Accessibility for Ontarians with Disabilities Act (AODA) become law?
6,68305eaa-dc0d-4971-b7c6-59739b36eb9d," The George Brown College acknowledges systemic racism and promotes fairness, equity, accountability, and transparency through the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS). The OAREHRS manages human rights complaints, advises on diversity and inclusion, and is responsible for matters under the following policies and legislations:

1. Human Rights Discrimination and Harassment Policy
2. Sexual Assault and Sexual Violence Policy and Protocol
3. AODA Accessibility Policy
4. Freedom of Information and Protection of Privacy Act

The OAREHRS can be contacted at diversity@georgebrown.ca or 416-415-5000 Ext. 3668 for further inquiries. All services are confidential. The Diversity Calendar is available online and in print for cultural observances. TTY: 1-877-515-5559.

The OAREHRS condemns incidents of gender-based and transphobic violence, including the stabbing incident at the University of Waterloo on June 28, 2023. The Accessibility for Ontarians with Disabilities Act (AODA) became law in 2005. The college has campaigns, resources, and Human Rights Advisors to help individuals. Information about disclosing and reporting sexual violence, policies, emergency contacts, and support can be found online. The college also supports the 2SLGBTQIA+ community.

Collecting race-based data is not mentioned in the text.","* What campaigns, resources, and Human Rights Advisors does George Brown College offer to help individuals?"
7,68305eaa-dc0d-4971-b7c6-59739b36eb9d," The George Brown College acknowledges systemic racism and promotes fairness, equity, accountability, and transparency through the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS). The OAREHRS manages human rights complaints, advises on diversity and inclusion, and is responsible for matters under the following policies and legislations:

1. Human Rights Discrimination and Harassment Policy
2. Sexual Assault and Sexual Violence Policy and Protocol
3. AODA Accessibility Policy
4. Freedom of Information and Protection of Privacy Act

The OAREHRS can be contacted at diversity@georgebrown.ca or 416-415-5000 Ext. 3668 for further inquiries. All services are confidential. The Diversity Calendar is available online and in print for cultural observances. TTY: 1-877-515-5559.

The OAREHRS condemns incidents of gender-based and transphobic violence, including the stabbing incident at the University of Waterloo on June 28, 2023. The Accessibility for Ontarians with Disabilities Act (AODA) became law in 2005. The college has campaigns, resources, and Human Rights Advisors to help individuals. Information about disclosing and reporting sexual violence, policies, emergency contacts, and support can be found online. The college also supports the 2SLGBTQIA+ community.

Collecting race-based data is not mentioned in the text.",* Where can information about disclosing and reporting sexual violence be found at the college?
8,68305eaa-dc0d-4971-b7c6-59739b36eb9d," The George Brown College acknowledges systemic racism and promotes fairness, equity, accountability, and transparency through the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS). The OAREHRS manages human rights complaints, advises on diversity and inclusion, and is responsible for matters under the following policies and legislations:

1. Human Rights Discrimination and Harassment Policy
2. Sexual Assault and Sexual Violence Policy and Protocol
3. AODA Accessibility Policy
4. Freedom of Information and Protection of Privacy Act

The OAREHRS can be contacted at diversity@georgebrown.ca or 416-415-5000 Ext. 3668 for further inquiries. All services are confidential. The Diversity Calendar is available online and in print for cultural observances. TTY: 1-877-515-5559.

The OAREHRS condemns incidents of gender-based and transphobic violence, including the stabbing incident at the University of Waterloo on June 28, 2023. The Accessibility for Ontarians with Disabilities Act (AODA) became law in 2005. The college has campaigns, resources, and Human Rights Advisors to help individuals. Information about disclosing and reporting sexual violence, policies, emergency contacts, and support can be found online. The college also supports the 2SLGBTQIA+ community.

Collecting race-based data is not mentioned in the text.",* Which community does George Brown College support regarding 2SLGBTQIA+?
9,68305eaa-dc0d-4971-b7c6-59739b36eb9d," The George Brown College acknowledges systemic racism and promotes fairness, equity, accountability, and transparency through the Office of Anti-Racism, Equity and Human Rights Services (OAREHRS). The OAREHRS manages human rights complaints, advises on diversity and inclusion, and is responsible for matters under the following policies and legislations:

1. Human Rights Discrimination and Harassment Policy
2. Sexual Assault and Sexual Violence Policy and Protocol
3. AODA Accessibility Policy
4. Freedom of Information and Protection of Privacy Act

The OAREHRS can be contacted at diversity@georgebrown.ca or 416-415-5000 Ext. 3668 for further inquiries. All services are confidential. The Diversity Calendar is available online and in print for cultural observances. TTY: 1-877-515-5559.

The OAREHRS condemns incidents of gender-based and transphobic violence, including the stabbing incident at the University of Waterloo on June 28, 2023. The Accessibility for Ontarians with Disabilities Act (AODA) became law in 2005. The college has campaigns, resources, and Human Rights Advisors to help individuals. Information about disclosing and reporting sexual violence, policies, emergency contacts, and support can be found online. The college also supports the 2SLGBTQIA+ community.

Collecting race-based data is not mentioned in the text.",?
