,contextId,context,question
0,2c7fe007-ae76-42d2-860e-f2b1093c955e," The George Brown College offers fully online programs in the academic areas of Business, Computer Technology, and Media & Performing Arts. Students can join live, synchronous classes led by experienced faculty and benefit from the stability and flexibility of an entirely online option. For more information, students can sign up to receive application deadlines, college news, upcoming events, tours, and more. The contact information for the college is 416-415-2000 (voice) and 1-877-515-5559 (TTY), or they can email ask.george@georgebrown.ca. The college's social media hub can also be visited for further information. It is important to note that the information on this website may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",What academic areas does George Brown College offer fully online programs in?
1,2c7fe007-ae76-42d2-860e-f2b1093c955e," The George Brown College offers fully online programs in the academic areas of Business, Computer Technology, and Media & Performing Arts. Students can join live, synchronous classes led by experienced faculty and benefit from the stability and flexibility of an entirely online option. For more information, students can sign up to receive application deadlines, college news, upcoming events, tours, and more. The contact information for the college is 416-415-2000 (voice) and 1-877-515-5559 (TTY), or they can email ask.george@georgebrown.ca. The college's social media hub can also be visited for further information. It is important to note that the information on this website may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", How can students join live, synchronous classes online?"
2,2c7fe007-ae76-42d2-860e-f2b1093c955e," The George Brown College offers fully online programs in the academic areas of Business, Computer Technology, and Media & Performing Arts. Students can join live, synchronous classes led by experienced faculty and benefit from the stability and flexibility of an entirely online option. For more information, students can sign up to receive application deadlines, college news, upcoming events, tours, and more. The contact information for the college is 416-415-2000 (voice) and 1-877-515-5559 (TTY), or they can email ask.george@georgebrown.ca. The college's social media hub can also be visited for further information. It is important to note that the information on this website may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", What benefits come with an entirely online option at George Brown College?"
3,2c7fe007-ae76-42d2-860e-f2b1093c955e," The George Brown College offers fully online programs in the academic areas of Business, Computer Technology, and Media & Performing Arts. Students can join live, synchronous classes led by experienced faculty and benefit from the stability and flexibility of an entirely online option. For more information, students can sign up to receive application deadlines, college news, upcoming events, tours, and more. The contact information for the college is 416-415-2000 (voice) and 1-877-515-5559 (TTY), or they can email ask.george@georgebrown.ca. The college's social media hub can also be visited for further information. It is important to note that the information on this website may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", How do students sign up to receive application deadlines and college news?"
4,2c7fe007-ae76-42d2-860e-f2b1093c955e," The George Brown College offers fully online programs in the academic areas of Business, Computer Technology, and Media & Performing Arts. Students can join live, synchronous classes led by experienced faculty and benefit from the stability and flexibility of an entirely online option. For more information, students can sign up to receive application deadlines, college news, upcoming events, tours, and more. The contact information for the college is 416-415-2000 (voice) and 1-877-515-5559 (TTY), or they can email ask.george@georgebrown.ca. The college's social media hub can also be visited for further information. It is important to note that the information on this website may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", What is the voice contact number for George Brown College?"
5,2c7fe007-ae76-42d2-860e-f2b1093c955e," The George Brown College offers fully online programs in the academic areas of Business, Computer Technology, and Media & Performing Arts. Students can join live, synchronous classes led by experienced faculty and benefit from the stability and flexibility of an entirely online option. For more information, students can sign up to receive application deadlines, college news, upcoming events, tours, and more. The contact information for the college is 416-415-2000 (voice) and 1-877-515-5559 (TTY), or they can email ask.george@georgebrown.ca. The college's social media hub can also be visited for further information. It is important to note that the information on this website may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", What is the TTY contact number for George Brown College?"
6,2c7fe007-ae76-42d2-860e-f2b1093c955e," The George Brown College offers fully online programs in the academic areas of Business, Computer Technology, and Media & Performing Arts. Students can join live, synchronous classes led by experienced faculty and benefit from the stability and flexibility of an entirely online option. For more information, students can sign up to receive application deadlines, college news, upcoming events, tours, and more. The contact information for the college is 416-415-2000 (voice) and 1-877-515-5559 (TTY), or they can email ask.george@georgebrown.ca. The college's social media hub can also be visited for further information. It is important to note that the information on this website may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", How can students reach out to George Brown College via email?"
7,2c7fe007-ae76-42d2-860e-f2b1093c955e," The George Brown College offers fully online programs in the academic areas of Business, Computer Technology, and Media & Performing Arts. Students can join live, synchronous classes led by experienced faculty and benefit from the stability and flexibility of an entirely online option. For more information, students can sign up to receive application deadlines, college news, upcoming events, tours, and more. The contact information for the college is 416-415-2000 (voice) and 1-877-515-5559 (TTY), or they can email ask.george@georgebrown.ca. The college's social media hub can also be visited for further information. It is important to note that the information on this website may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", Where can students find George Brown College's social media hub?"
8,2c7fe007-ae76-42d2-860e-f2b1093c955e," The George Brown College offers fully online programs in the academic areas of Business, Computer Technology, and Media & Performing Arts. Students can join live, synchronous classes led by experienced faculty and benefit from the stability and flexibility of an entirely online option. For more information, students can sign up to receive application deadlines, college news, upcoming events, tours, and more. The contact information for the college is 416-415-2000 (voice) and 1-877-515-5559 (TTY), or they can email ask.george@georgebrown.ca. The college's social media hub can also be visited for further information. It is important to note that the information on this website may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", Is the information on this website subject to change without notice?"
9,2c7fe007-ae76-42d2-860e-f2b1093c955e," The George Brown College offers fully online programs in the academic areas of Business, Computer Technology, and Media & Performing Arts. Students can join live, synchronous classes led by experienced faculty and benefit from the stability and flexibility of an entirely online option. For more information, students can sign up to receive application deadlines, college news, upcoming events, tours, and more. The contact information for the college is 416-415-2000 (voice) and 1-877-515-5559 (TTY), or they can email ask.george@georgebrown.ca. The college's social media hub can also be visited for further information. It is important to note that the information on this website may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", Who are students responsible for verifying George Brown College fee requirements?"
