,contextId,context,question
0,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",* Who is Pauline Shirt and what is her background?
1,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",",
* Where is Pauline Shirt from originally?"
2,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",",
* What is the significance of Pauline Shirt being from the Red-tail Hawk Clan?"
3,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",",
* How long has Pauline Shirt been working at George Brown College?"
4,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",",
* How many Indigenous students has Elder Shirt helped at George Brown College?"
5,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",",
* What honor did Elder Shirt receive in 2022?"
6,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",",
* Which societies is Elder Shirt a member of?"
7,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",",
* What is the role of Elder Shirt at George Brown College for Indigenous students?"
8,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",",
* When was Kâpapâmahchakwêw - Wandering Spirit School co-founded by Elder Shirt and her husband Vern Harper?"
9,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",",
* Where is Kâpapâmahchakwêw - Wandering Spirit School located?"
10,f3c6f4a2-d663-401a-bc3f-be821c17387a," Pauline Shirt is a Cree Plains Elder from the Saddle Lake Reserve in Alberta, Red-tail Hawk Clan. She has been working at George Brown College for over a decade and has taken hundreds of Indigenous students ""under her wing"" to foster a sense of belonging. Shirt received the Order of Ontario in 2022, which is the highest civilian honor in Ontario, for her work in Indigenous education and community activism. She is a member of the Buffalo Dance Society and Three Fires Society. Elder Shirt's impact on Indigenous students at George Brown College is immense and she provides spiritual guidance, cultural teachings, and kindness to directly affect their success. Kâpapâmahchakwêw - Wandering Spirit School was co-founded by Elder Shirt and her husband Vern Harper in 1976 in Toronto to provide a culturally safe learning environment.",?
11,770e7459-6bef-4acd-af8e-9146c33a98b7," * Elder Shirt's name is Pauline Shirt (Nimikiiquay)
* She organized the Ontario leg of the Native People’s Caravan to Ottawa in 1974.
* She founded the first independent Indigenous holistic practitioner’s clinic, Red Willow, in 1984.
* She holds a degree in sacred Indigenous Knowledge, equivalent to a PhD in western-based education systems.
* Kâpapâmahchakwêw / Wandering Spirit School was founded by Elder Shirt.
* The school operated as an elementary school until 2017 and added grades 9 to 12 in the following years.
* Elder Shirt is currently a member of the Elders Council at the Urban Indigenous Education Centre.
* She has been advocating for Indigenous education for more than 50 years and has had a profound impact on individuals and families across Ontario.
* Kent Monkman painted a portrait of Elder Shirt for his exhibit Being Legendary, which ran at the Royal Ontario Museum from October 2022 to April 2023.",* What is Elder Shirt's full name?
12,770e7459-6bef-4acd-af8e-9146c33a98b7," * Elder Shirt's name is Pauline Shirt (Nimikiiquay)
* She organized the Ontario leg of the Native People’s Caravan to Ottawa in 1974.
* She founded the first independent Indigenous holistic practitioner’s clinic, Red Willow, in 1984.
* She holds a degree in sacred Indigenous Knowledge, equivalent to a PhD in western-based education systems.
* Kâpapâmahchakwêw / Wandering Spirit School was founded by Elder Shirt.
* The school operated as an elementary school until 2017 and added grades 9 to 12 in the following years.
* Elder Shirt is currently a member of the Elders Council at the Urban Indigenous Education Centre.
* She has been advocating for Indigenous education for more than 50 years and has had a profound impact on individuals and families across Ontario.
* Kent Monkman painted a portrait of Elder Shirt for his exhibit Being Legendary, which ran at the Royal Ontario Museum from October 2022 to April 2023.",", * In what year did Elder Shirt organize the Ontario leg of the Native People’s Caravan to Ottawa?"
13,770e7459-6bef-4acd-af8e-9146c33a98b7," * Elder Shirt's name is Pauline Shirt (Nimikiiquay)
* She organized the Ontario leg of the Native People’s Caravan to Ottawa in 1974.
* She founded the first independent Indigenous holistic practitioner’s clinic, Red Willow, in 1984.
* She holds a degree in sacred Indigenous Knowledge, equivalent to a PhD in western-based education systems.
* Kâpapâmahchakwêw / Wandering Spirit School was founded by Elder Shirt.
* The school operated as an elementary school until 2017 and added grades 9 to 12 in the following years.
* Elder Shirt is currently a member of the Elders Council at the Urban Indigenous Education Centre.
* She has been advocating for Indigenous education for more than 50 years and has had a profound impact on individuals and families across Ontario.
* Kent Monkman painted a portrait of Elder Shirt for his exhibit Being Legendary, which ran at the Royal Ontario Museum from October 2022 to April 2023.",", * Where was Red Willow, the first independent Indigenous holistic practitioner’s clinic, founded?"
14,770e7459-6bef-4acd-af8e-9146c33a98b7," * Elder Shirt's name is Pauline Shirt (Nimikiiquay)
* She organized the Ontario leg of the Native People’s Caravan to Ottawa in 1974.
* She founded the first independent Indigenous holistic practitioner’s clinic, Red Willow, in 1984.
* She holds a degree in sacred Indigenous Knowledge, equivalent to a PhD in western-based education systems.
* Kâpapâmahchakwêw / Wandering Spirit School was founded by Elder Shirt.
* The school operated as an elementary school until 2017 and added grades 9 to 12 in the following years.
* Elder Shirt is currently a member of the Elders Council at the Urban Indigenous Education Centre.
* She has been advocating for Indigenous education for more than 50 years and has had a profound impact on individuals and families across Ontario.
* Kent Monkman painted a portrait of Elder Shirt for his exhibit Being Legendary, which ran at the Royal Ontario Museum from October 2022 to April 2023.",", * What degree does Elder Shirt hold in sacred Indigenous Knowledge?"
15,770e7459-6bef-4acd-af8e-9146c33a98b7," * Elder Shirt's name is Pauline Shirt (Nimikiiquay)
* She organized the Ontario leg of the Native People’s Caravan to Ottawa in 1974.
* She founded the first independent Indigenous holistic practitioner’s clinic, Red Willow, in 1984.
* She holds a degree in sacred Indigenous Knowledge, equivalent to a PhD in western-based education systems.
* Kâpapâmahchakwêw / Wandering Spirit School was founded by Elder Shirt.
* The school operated as an elementary school until 2017 and added grades 9 to 12 in the following years.
* Elder Shirt is currently a member of the Elders Council at the Urban Indigenous Education Centre.
* She has been advocating for Indigenous education for more than 50 years and has had a profound impact on individuals and families across Ontario.
* Kent Monkman painted a portrait of Elder Shirt for his exhibit Being Legendary, which ran at the Royal Ontario Museum from October 2022 to April 2023.",", * When was Kâpapâmahchakwêw / Wandering Spirit School founded?"
