,contextId,context,question
0,bfc752d4-3cb9-4749-bf46-659185ec8d61," Peer Mentor+ offers on-campus and off-campus supports to serve students better, with goals of increasing student mental health, resiliency, and inclusion. Urgent resources can be found on their Urgent Resources page, and one-on-one student peer support is available at https://14908.waitwell.ca/. They offer inclusion programs where students can learn ASL basics and Deaf culture, as well as wellness programs for one-on-one support, life skill development, and meeting other GBC students. Interested individuals can sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more by signing up now. Their contact information is 416-415-2000 for regular calls and 1-877-515-5559 for TTY, with emails at ask.george@georgebrown.ca. Their social media hub can be visited for more information. The website's contents are subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

Entities: Peer Mentor+, Urgent Resources page, https://14908.waitwell.ca/, inclusion programs, wellness programs, sign up now, George Brown College, regular calls, TTY, 1-877-515-5559, ask.george@georgebrown.ca, social media hub.

Numbers: 416-415-2000, 1-877-515-5559

Emails: ask.george@georgebrown.ca",What is the function of Peer Mentor+ on-campus and off-campus supports?
1,bfc752d4-3cb9-4749-bf46-659185ec8d61," Peer Mentor+ offers on-campus and off-campus supports to serve students better, with goals of increasing student mental health, resiliency, and inclusion. Urgent resources can be found on their Urgent Resources page, and one-on-one student peer support is available at https://14908.waitwell.ca/. They offer inclusion programs where students can learn ASL basics and Deaf culture, as well as wellness programs for one-on-one support, life skill development, and meeting other GBC students. Interested individuals can sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more by signing up now. Their contact information is 416-415-2000 for regular calls and 1-877-515-5559 for TTY, with emails at ask.george@georgebrown.ca. Their social media hub can be visited for more information. The website's contents are subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

Entities: Peer Mentor+, Urgent Resources page, https://14908.waitwell.ca/, inclusion programs, wellness programs, sign up now, George Brown College, regular calls, TTY, 1-877-515-5559, ask.george@georgebrown.ca, social media hub.

Numbers: 416-415-2000, 1-877-515-5559

Emails: ask.george@georgebrown.ca",", Where can students find urgent resources online?"
2,bfc752d4-3cb9-4749-bf46-659185ec8d61," Peer Mentor+ offers on-campus and off-campus supports to serve students better, with goals of increasing student mental health, resiliency, and inclusion. Urgent resources can be found on their Urgent Resources page, and one-on-one student peer support is available at https://14908.waitwell.ca/. They offer inclusion programs where students can learn ASL basics and Deaf culture, as well as wellness programs for one-on-one support, life skill development, and meeting other GBC students. Interested individuals can sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more by signing up now. Their contact information is 416-415-2000 for regular calls and 1-877-515-5559 for TTY, with emails at ask.george@georgebrown.ca. Their social media hub can be visited for more information. The website's contents are subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

Entities: Peer Mentor+, Urgent Resources page, https://14908.waitwell.ca/, inclusion programs, wellness programs, sign up now, George Brown College, regular calls, TTY, 1-877-515-5559, ask.george@georgebrown.ca, social media hub.

Numbers: 416-415-2000, 1-877-515-5559

Emails: ask.george@georgebrown.ca",", what services does one-on-one student peer support offer at this link https://14908.waitwell.ca/, Which programs does Peer Mentor+ offer for inclusion and learning ASL basics and Deaf culture?"
3,bfc752d4-3cb9-4749-bf46-659185ec8d61," Peer Mentor+ offers on-campus and off-campus supports to serve students better, with goals of increasing student mental health, resiliency, and inclusion. Urgent resources can be found on their Urgent Resources page, and one-on-one student peer support is available at https://14908.waitwell.ca/. They offer inclusion programs where students can learn ASL basics and Deaf culture, as well as wellness programs for one-on-one support, life skill development, and meeting other GBC students. Interested individuals can sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more by signing up now. Their contact information is 416-415-2000 for regular calls and 1-877-515-5559 for TTY, with emails at ask.george@georgebrown.ca. Their social media hub can be visited for more information. The website's contents are subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

Entities: Peer Mentor+, Urgent Resources page, https://14908.waitwell.ca/, inclusion programs, wellness programs, sign up now, George Brown College, regular calls, TTY, 1-877-515-5559, ask.george@georgebrown.ca, social media hub.

Numbers: 416-415-2000, 1-877-515-5559

Emails: ask.george@georgebrown.ca",", What types of wellness programs are available through Peer Mentor+?"
4,bfc752d4-3cb9-4749-bf46-659185ec8d61," Peer Mentor+ offers on-campus and off-campus supports to serve students better, with goals of increasing student mental health, resiliency, and inclusion. Urgent resources can be found on their Urgent Resources page, and one-on-one student peer support is available at https://14908.waitwell.ca/. They offer inclusion programs where students can learn ASL basics and Deaf culture, as well as wellness programs for one-on-one support, life skill development, and meeting other GBC students. Interested individuals can sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more by signing up now. Their contact information is 416-415-2000 for regular calls and 1-877-515-5559 for TTY, with emails at ask.george@georgebrown.ca. Their social media hub can be visited for more information. The website's contents are subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

Entities: Peer Mentor+, Urgent Resources page, https://14908.waitwell.ca/, inclusion programs, wellness programs, sign up now, George Brown College, regular calls, TTY, 1-877-515-5559, ask.george@georgebrown.ca, social media hub.

Numbers: 416-415-2000, 1-877-515-5559

Emails: ask.george@georgebrown.ca",", How can individuals sign up to receive college news and updates?"
5,bfc752d4-3cb9-4749-bf46-659185ec8d61," Peer Mentor+ offers on-campus and off-campus supports to serve students better, with goals of increasing student mental health, resiliency, and inclusion. Urgent resources can be found on their Urgent Resources page, and one-on-one student peer support is available at https://14908.waitwell.ca/. They offer inclusion programs where students can learn ASL basics and Deaf culture, as well as wellness programs for one-on-one support, life skill development, and meeting other GBC students. Interested individuals can sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more by signing up now. Their contact information is 416-415-2000 for regular calls and 1-877-515-5559 for TTY, with emails at ask.george@georgebrown.ca. Their social media hub can be visited for more information. The website's contents are subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

Entities: Peer Mentor+, Urgent Resources page, https://14908.waitwell.ca/, inclusion programs, wellness programs, sign up now, George Brown College, regular calls, TTY, 1-877-515-5559, ask.george@georgebrown.ca, social media hub.

Numbers: 416-415-2000, 1-877-515-5559

Emails: ask.george@georgebrown.ca",", What is the contact number for regular calls to George Brown College?"
6,bfc752d4-3cb9-4749-bf46-659185ec8d61," Peer Mentor+ offers on-campus and off-campus supports to serve students better, with goals of increasing student mental health, resiliency, and inclusion. Urgent resources can be found on their Urgent Resources page, and one-on-one student peer support is available at https://14908.waitwell.ca/. They offer inclusion programs where students can learn ASL basics and Deaf culture, as well as wellness programs for one-on-one support, life skill development, and meeting other GBC students. Interested individuals can sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more by signing up now. Their contact information is 416-415-2000 for regular calls and 1-877-515-5559 for TTY, with emails at ask.george@georgebrown.ca. Their social media hub can be visited for more information. The website's contents are subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

Entities: Peer Mentor+, Urgent Resources page, https://14908.waitwell.ca/, inclusion programs, wellness programs, sign up now, George Brown College, regular calls, TTY, 1-877-515-5559, ask.george@georgebrown.ca, social media hub.

Numbers: 416-415-2000, 1-877-515-5559

Emails: ask.george@georgebrown.ca",", What is the TTY contact number for George Brown College?"
7,bfc752d4-3cb9-4749-bf46-659185ec8d61," Peer Mentor+ offers on-campus and off-campus supports to serve students better, with goals of increasing student mental health, resiliency, and inclusion. Urgent resources can be found on their Urgent Resources page, and one-on-one student peer support is available at https://14908.waitwell.ca/. They offer inclusion programs where students can learn ASL basics and Deaf culture, as well as wellness programs for one-on-one support, life skill development, and meeting other GBC students. Interested individuals can sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more by signing up now. Their contact information is 416-415-2000 for regular calls and 1-877-515-5559 for TTY, with emails at ask.george@georgebrown.ca. Their social media hub can be visited for more information. The website's contents are subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

Entities: Peer Mentor+, Urgent Resources page, https://14908.waitwell.ca/, inclusion programs, wellness programs, sign up now, George Brown College, regular calls, TTY, 1-877-515-5559, ask.george@georgebrown.ca, social media hub.

Numbers: 416-415-2000, 1-877-515-5559

Emails: ask.george@georgebrown.ca",", Where can students email their queries related to George Brown College?"
8,bfc752d4-3cb9-4749-bf46-659185ec8d61," Peer Mentor+ offers on-campus and off-campus supports to serve students better, with goals of increasing student mental health, resiliency, and inclusion. Urgent resources can be found on their Urgent Resources page, and one-on-one student peer support is available at https://14908.waitwell.ca/. They offer inclusion programs where students can learn ASL basics and Deaf culture, as well as wellness programs for one-on-one support, life skill development, and meeting other GBC students. Interested individuals can sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more by signing up now. Their contact information is 416-415-2000 for regular calls and 1-877-515-5559 for TTY, with emails at ask.george@georgebrown.ca. Their social media hub can be visited for more information. The website's contents are subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

Entities: Peer Mentor+, Urgent Resources page, https://14908.waitwell.ca/, inclusion programs, wellness programs, sign up now, George Brown College, regular calls, TTY, 1-877-515-5559, ask.george@georgebrown.ca, social media hub.

Numbers: 416-415-2000, 1-877-515-5559

Emails: ask.george@georgebrown.ca",Which social media platforms does Peer Mentor+ have a presence on?
9,bfc752d4-3cb9-4749-bf46-659185ec8d61," Peer Mentor+ offers on-campus and off-campus supports to serve students better, with goals of increasing student mental health, resiliency, and inclusion. Urgent resources can be found on their Urgent Resources page, and one-on-one student peer support is available at https://14908.waitwell.ca/. They offer inclusion programs where students can learn ASL basics and Deaf culture, as well as wellness programs for one-on-one support, life skill development, and meeting other GBC students. Interested individuals can sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more by signing up now. Their contact information is 416-415-2000 for regular calls and 1-877-515-5559 for TTY, with emails at ask.george@georgebrown.ca. Their social media hub can be visited for more information. The website's contents are subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

Entities: Peer Mentor+, Urgent Resources page, https://14908.waitwell.ca/, inclusion programs, wellness programs, sign up now, George Brown College, regular calls, TTY, 1-877-515-5559, ask.george@georgebrown.ca, social media hub.

Numbers: 416-415-2000, 1-877-515-5559

Emails: ask.george@georgebrown.ca",Is there any fee requirement for students at George Brown College and where should they verify it?
