,contextId,context,question
0,fdeebdfe-5436-4d4b-aa3b-e49bdf54c890," Program Name: Recreation Management in Gerontology (C152)
Contact Person: Cathy Longo
Contact Email: clongo@georgebrown.ca
Registration for Information Session: Sign Up Now
Location: Online
Application Deadlines, College News, Upcoming Events, Tours: Keep in the loop by signing up
Additional Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit Our Social Media Hub (Twice)
Note: The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.","What is the name of the program ""Recreation Management in Gerontology"" (C152), what does it entail?"
1,fdeebdfe-5436-4d4b-aa3b-e49bdf54c890," Program Name: Recreation Management in Gerontology (C152)
Contact Person: Cathy Longo
Contact Email: clongo@georgebrown.ca
Registration for Information Session: Sign Up Now
Location: Online
Application Deadlines, College News, Upcoming Events, Tours: Keep in the loop by signing up
Additional Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit Our Social Media Hub (Twice)
Note: The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Who can I contact for more information about this program (C152) - Cathy Longo's email address is?"
2,fdeebdfe-5436-4d4b-aa3b-e49bdf54c890," Program Name: Recreation Management in Gerontology (C152)
Contact Person: Cathy Longo
Contact Email: clongo@georgebrown.ca
Registration for Information Session: Sign Up Now
Location: Online
Application Deadlines, College News, Upcoming Events, Tours: Keep in the loop by signing up
Additional Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit Our Social Media Hub (Twice)
Note: The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where can I sign up for an information session for this program (C152)?"
3,fdeebdfe-5436-4d4b-aa3b-e49bdf54c890," Program Name: Recreation Management in Gerontology (C152)
Contact Person: Cathy Longo
Contact Email: clongo@georgebrown.ca
Registration for Information Session: Sign Up Now
Location: Online
Application Deadlines, College News, Upcoming Events, Tours: Keep in the loop by signing up
Additional Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit Our Social Media Hub (Twice)
Note: The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is the information session for this program (C152) held online?"
4,fdeebdfe-5436-4d4b-aa3b-e49bdf54c890," Program Name: Recreation Management in Gerontology (C152)
Contact Person: Cathy Longo
Contact Email: clongo@georgebrown.ca
Registration for Information Session: Sign Up Now
Location: Online
Application Deadlines, College News, Upcoming Events, Tours: Keep in the loop by signing up
Additional Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit Our Social Media Hub (Twice)
Note: The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What are the application deadlines for this program (C152)?"
5,fdeebdfe-5436-4d4b-aa3b-e49bdf54c890," Program Name: Recreation Management in Gerontology (C152)
Contact Person: Cathy Longo
Contact Email: clongo@georgebrown.ca
Registration for Information Session: Sign Up Now
Location: Online
Application Deadlines, College News, Upcoming Events, Tours: Keep in the loop by signing up
Additional Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit Our Social Media Hub (Twice)
Note: The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where can I find college news related to this program (C152)?"
6,fdeebdfe-5436-4d4b-aa3b-e49bdf54c890," Program Name: Recreation Management in Gerontology (C152)
Contact Person: Cathy Longo
Contact Email: clongo@georgebrown.ca
Registration for Information Session: Sign Up Now
Location: Online
Application Deadlines, College News, Upcoming Events, Tours: Keep in the loop by signing up
Additional Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit Our Social Media Hub (Twice)
Note: The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What are the upcoming events for this program (C152)?"
7,fdeebdfe-5436-4d4b-aa3b-e49bdf54c890," Program Name: Recreation Management in Gerontology (C152)
Contact Person: Cathy Longo
Contact Email: clongo@georgebrown.ca
Registration for Information Session: Sign Up Now
Location: Online
Application Deadlines, College News, Upcoming Events, Tours: Keep in the loop by signing up
Additional Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit Our Social Media Hub (Twice)
Note: The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Can I schedule a tour for this program (C152)?"
8,fdeebdfe-5436-4d4b-aa3b-e49bdf54c890," Program Name: Recreation Management in Gerontology (C152)
Contact Person: Cathy Longo
Contact Email: clongo@georgebrown.ca
Registration for Information Session: Sign Up Now
Location: Online
Application Deadlines, College News, Upcoming Events, Tours: Keep in the loop by signing up
Additional Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit Our Social Media Hub (Twice)
Note: The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What are the additional contact details provided - phone number and TTY number?"
9,fdeebdfe-5436-4d4b-aa3b-e49bdf54c890," Program Name: Recreation Management in Gerontology (C152)
Contact Person: Cathy Longo
Contact Email: clongo@georgebrown.ca
Registration for Information Session: Sign Up Now
Location: Online
Application Deadlines, College News, Upcoming Events, Tours: Keep in the loop by signing up
Additional Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit Our Social Media Hub (Twice)
Note: The information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where can I visit George Brown College's social media hub?"
