,contextId,context,question
0,131aa640-1810-4f72-ab28-65909dcc46cb," Richmond Adelaide Centre:
- Opened in new location in January 2009
- Located on mezzanine level of a building within the Richmond Adelaide Complex
- Manager: Laura Alexopoulos, Email: lmaddale@georgebrown.ca
- Centre Phone number: 416-415-2453
- Address: 130 Adelaide Street West, Mezzanine Level, Toronto ON, M5H 3P5
- Accommodates age groups from 6 weeks to 5 years
- Hours of operation: 8 a.m. - 5:30 p.m.
- Catered by ""Yummy Catering""
- Collaboration with Oxford Properties (second workplace centre)
- Model lab school for the School of Early Childhood
- Provides training ground for college students
- Follows guidelines from Toronto Children’s Services in CWELCC program implementation
- No additional fees for extracurricular activities or transportation
- Children under 6 years old eligible for fee reduction
- Waitlist sign up available
- Contact George Brown College for fee information and verification (416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca)
- Social Media Hub available

The text does not contain any factual information related to the specific programs offered by the college.",What is the new location of the Richmond Adelaide Centre opening date?
1,131aa640-1810-4f72-ab28-65909dcc46cb," Richmond Adelaide Centre:
- Opened in new location in January 2009
- Located on mezzanine level of a building within the Richmond Adelaide Complex
- Manager: Laura Alexopoulos, Email: lmaddale@georgebrown.ca
- Centre Phone number: 416-415-2453
- Address: 130 Adelaide Street West, Mezzanine Level, Toronto ON, M5H 3P5
- Accommodates age groups from 6 weeks to 5 years
- Hours of operation: 8 a.m. - 5:30 p.m.
- Catered by ""Yummy Catering""
- Collaboration with Oxford Properties (second workplace centre)
- Model lab school for the School of Early Childhood
- Provides training ground for college students
- Follows guidelines from Toronto Children’s Services in CWELCC program implementation
- No additional fees for extracurricular activities or transportation
- Children under 6 years old eligible for fee reduction
- Waitlist sign up available
- Contact George Brown College for fee information and verification (416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca)
- Social Media Hub available

The text does not contain any factual information related to the specific programs offered by the college.",", Who is the manager of Richmond Adelaide Centre and what's her email address?"
2,131aa640-1810-4f72-ab28-65909dcc46cb," Richmond Adelaide Centre:
- Opened in new location in January 2009
- Located on mezzanine level of a building within the Richmond Adelaide Complex
- Manager: Laura Alexopoulos, Email: lmaddale@georgebrown.ca
- Centre Phone number: 416-415-2453
- Address: 130 Adelaide Street West, Mezzanine Level, Toronto ON, M5H 3P5
- Accommodates age groups from 6 weeks to 5 years
- Hours of operation: 8 a.m. - 5:30 p.m.
- Catered by ""Yummy Catering""
- Collaboration with Oxford Properties (second workplace centre)
- Model lab school for the School of Early Childhood
- Provides training ground for college students
- Follows guidelines from Toronto Children’s Services in CWELCC program implementation
- No additional fees for extracurricular activities or transportation
- Children under 6 years old eligible for fee reduction
- Waitlist sign up available
- Contact George Brown College for fee information and verification (416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca)
- Social Media Hub available

The text does not contain any factual information related to the specific programs offered by the college.",", Where is the centre located within the Richmond Adelaide Complex?"
3,131aa640-1810-4f72-ab28-65909dcc46cb," Richmond Adelaide Centre:
- Opened in new location in January 2009
- Located on mezzanine level of a building within the Richmond Adelaide Complex
- Manager: Laura Alexopoulos, Email: lmaddale@georgebrown.ca
- Centre Phone number: 416-415-2453
- Address: 130 Adelaide Street West, Mezzanine Level, Toronto ON, M5H 3P5
- Accommodates age groups from 6 weeks to 5 years
- Hours of operation: 8 a.m. - 5:30 p.m.
- Catered by ""Yummy Catering""
- Collaboration with Oxford Properties (second workplace centre)
- Model lab school for the School of Early Childhood
- Provides training ground for college students
- Follows guidelines from Toronto Children’s Services in CWELCC program implementation
- No additional fees for extracurricular activities or transportation
- Children under 6 years old eligible for fee reduction
- Waitlist sign up available
- Contact George Brown College for fee information and verification (416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca)
- Social Media Hub available

The text does not contain any factual information related to the specific programs offered by the college.",", Who collaborates with the centre for the second workplace centre?"
4,131aa640-1810-4f72-ab28-65909dcc46cb," Richmond Adelaide Centre:
- Opened in new location in January 2009
- Located on mezzanine level of a building within the Richmond Adelaide Complex
- Manager: Laura Alexopoulos, Email: lmaddale@georgebrown.ca
- Centre Phone number: 416-415-2453
- Address: 130 Adelaide Street West, Mezzanine Level, Toronto ON, M5H 3P5
- Accommodates age groups from 6 weeks to 5 years
- Hours of operation: 8 a.m. - 5:30 p.m.
- Catered by ""Yummy Catering""
- Collaboration with Oxford Properties (second workplace centre)
- Model lab school for the School of Early Childhood
- Provides training ground for college students
- Follows guidelines from Toronto Children’s Services in CWELCC program implementation
- No additional fees for extracurricular activities or transportation
- Children under 6 years old eligible for fee reduction
- Waitlist sign up available
- Contact George Brown College for fee information and verification (416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca)
- Social Media Hub available

The text does not contain any factual information related to the specific programs offered by the college.",", What hours does the centre operate?"
5,131aa640-1810-4f72-ab28-65909dcc46cb," Richmond Adelaide Centre:
- Opened in new location in January 2009
- Located on mezzanine level of a building within the Richmond Adelaide Complex
- Manager: Laura Alexopoulos, Email: lmaddale@georgebrown.ca
- Centre Phone number: 416-415-2453
- Address: 130 Adelaide Street West, Mezzanine Level, Toronto ON, M5H 3P5
- Accommodates age groups from 6 weeks to 5 years
- Hours of operation: 8 a.m. - 5:30 p.m.
- Catered by ""Yummy Catering""
- Collaboration with Oxford Properties (second workplace centre)
- Model lab school for the School of Early Childhood
- Provides training ground for college students
- Follows guidelines from Toronto Children’s Services in CWELCC program implementation
- No additional fees for extracurricular activities or transportation
- Children under 6 years old eligible for fee reduction
- Waitlist sign up available
- Contact George Brown College for fee information and verification (416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca)
- Social Media Hub available

The text does not contain any factual information related to the specific programs offered by the college.",", Who caters the meals at the centre?"
6,131aa640-1810-4f72-ab28-65909dcc46cb," Richmond Adelaide Centre:
- Opened in new location in January 2009
- Located on mezzanine level of a building within the Richmond Adelaide Complex
- Manager: Laura Alexopoulos, Email: lmaddale@georgebrown.ca
- Centre Phone number: 416-415-2453
- Address: 130 Adelaide Street West, Mezzanine Level, Toronto ON, M5H 3P5
- Accommodates age groups from 6 weeks to 5 years
- Hours of operation: 8 a.m. - 5:30 p.m.
- Catered by ""Yummy Catering""
- Collaboration with Oxford Properties (second workplace centre)
- Model lab school for the School of Early Childhood
- Provides training ground for college students
- Follows guidelines from Toronto Children’s Services in CWELCC program implementation
- No additional fees for extracurricular activities or transportation
- Children under 6 years old eligible for fee reduction
- Waitlist sign up available
- Contact George Brown College for fee information and verification (416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca)
- Social Media Hub available

The text does not contain any factual information related to the specific programs offered by the college.",", What makes this centre a model lab school for the School of Early Childhood?"
7,131aa640-1810-4f72-ab28-65909dcc46cb," Richmond Adelaide Centre:
- Opened in new location in January 2009
- Located on mezzanine level of a building within the Richmond Adelaide Complex
- Manager: Laura Alexopoulos, Email: lmaddale@georgebrown.ca
- Centre Phone number: 416-415-2453
- Address: 130 Adelaide Street West, Mezzanine Level, Toronto ON, M5H 3P5
- Accommodates age groups from 6 weeks to 5 years
- Hours of operation: 8 a.m. - 5:30 p.m.
- Catered by ""Yummy Catering""
- Collaboration with Oxford Properties (second workplace centre)
- Model lab school for the School of Early Childhood
- Provides training ground for college students
- Follows guidelines from Toronto Children’s Services in CWELCC program implementation
- No additional fees for extracurricular activities or transportation
- Children under 6 years old eligible for fee reduction
- Waitlist sign up available
- Contact George Brown College for fee information and verification (416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca)
- Social Media Hub available

The text does not contain any factual information related to the specific programs offered by the college.",", How does the centre provide training ground for college students?"
8,131aa640-1810-4f72-ab28-65909dcc46cb," Richmond Adelaide Centre:
- Opened in new location in January 2009
- Located on mezzanine level of a building within the Richmond Adelaide Complex
- Manager: Laura Alexopoulos, Email: lmaddale@georgebrown.ca
- Centre Phone number: 416-415-2453
- Address: 130 Adelaide Street West, Mezzanine Level, Toronto ON, M5H 3P5
- Accommodates age groups from 6 weeks to 5 years
- Hours of operation: 8 a.m. - 5:30 p.m.
- Catered by ""Yummy Catering""
- Collaboration with Oxford Properties (second workplace centre)
- Model lab school for the School of Early Childhood
- Provides training ground for college students
- Follows guidelines from Toronto Children’s Services in CWELCC program implementation
- No additional fees for extracurricular activities or transportation
- Children under 6 years old eligible for fee reduction
- Waitlist sign up available
- Contact George Brown College for fee information and verification (416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca)
- Social Media Hub available

The text does not contain any factual information related to the specific programs offered by the college.",", Which guidelines from Toronto Children’s Services is the centre following in CWELCC program implementation?"
9,131aa640-1810-4f72-ab28-65909dcc46cb," Richmond Adelaide Centre:
- Opened in new location in January 2009
- Located on mezzanine level of a building within the Richmond Adelaide Complex
- Manager: Laura Alexopoulos, Email: lmaddale@georgebrown.ca
- Centre Phone number: 416-415-2453
- Address: 130 Adelaide Street West, Mezzanine Level, Toronto ON, M5H 3P5
- Accommodates age groups from 6 weeks to 5 years
- Hours of operation: 8 a.m. - 5:30 p.m.
- Catered by ""Yummy Catering""
- Collaboration with Oxford Properties (second workplace centre)
- Model lab school for the School of Early Childhood
- Provides training ground for college students
- Follows guidelines from Toronto Children’s Services in CWELCC program implementation
- No additional fees for extracurricular activities or transportation
- Children under 6 years old eligible for fee reduction
- Waitlist sign up available
- Contact George Brown College for fee information and verification (416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca)
- Social Media Hub available

The text does not contain any factual information related to the specific programs offered by the college.",", Are there any additional fees for extracurricular activities or transportation?"
