,contextId,context,question
0,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",What is the name of the centre's operator?
1,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", When was the centre opened?"
2,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", Where is the centre located?"
3,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", Who is the manager of the centre?"
4,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", What is the manager's email address?"
5,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", What is the centre's phone number?"
6,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", What ages are accommodated at the centre?"
7,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", What are the hours of operation?"
8,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", Who provides food catering for the centre?"
9,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", Is the centre approved for CWELCC program?"
10,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", Do all fees include all services or are there additional charges for extracurricular activities or transportation?"
11,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", Are children under 6 years old eligible for a fee reduction?"
12,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", How can one register for the waitlist?"
13,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", What is the contact email address for George Brown College?"
14,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",", Is there a social media hub available at the centre?"
15,846f4c37-ff4f-4edc-8a49-986c261b45da," Operator of the centre: George Brown College
Year opened: 2008
Location: 675 Ontario Street, Toronto ON, M4X 1N4
Manager's name: Andrea Prifti
Manager's email: aprifti@georgebrown.ca
Centre phone number: 416-922-8827
Ages accommodated: 6 weeks to 10 years
Hours of operation: 8 a.m. - 5:30 p.m.
Food catering: Yummy Catering
Approved for CWELCC program
Fees include all services, no additional charges for extracurricula or transportation
Children under 6 years eligible for fee reduction
Waitlist registration form available
Contact George Brown College ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)
Social Media Hub available.",?
