,contextId,context,question
0,654840bb-4fed-4011-b3fc-13a0b9a7d2e0," The ""Say My Name"" campaign is an awareness campaign launched by the Office of Anti-Racism, Equity and Human Rights at George Brown College. It was initiated by Raymund Hip Loy Lee, a student in George Brown’s Honours Bachelor of Early Childhood Education program, to create a safe platform for individuals within the college community to express their preferred name and be represented correctly within the GBC community. The campaign aims to represent, learn, and celebrate the names of members of the college, particularly those with shortened or changed names or names that are often pronounced incorrectly. Raymund shared in an interview that his own experience sparked the idea for this campaign, as his name is often mispronounced due to a typo on his birth certificate and his mother's thick accent. The campaign provides resources for learning how to pronounce names correctly, or for those who may be unsure or afraid to get it wrong. There is also a focus on Indigenous Traditional Teachings related to names, and resources are available for checking the pronunciation of names through various sources. No specific program offering was mentioned in the text.","1. Who launched the ""Say My Name"" campaign at George Brown College?"
1,654840bb-4fed-4011-b3fc-13a0b9a7d2e0," The ""Say My Name"" campaign is an awareness campaign launched by the Office of Anti-Racism, Equity and Human Rights at George Brown College. It was initiated by Raymund Hip Loy Lee, a student in George Brown’s Honours Bachelor of Early Childhood Education program, to create a safe platform for individuals within the college community to express their preferred name and be represented correctly within the GBC community. The campaign aims to represent, learn, and celebrate the names of members of the college, particularly those with shortened or changed names or names that are often pronounced incorrectly. Raymund shared in an interview that his own experience sparked the idea for this campaign, as his name is often mispronounced due to a typo on his birth certificate and his mother's thick accent. The campaign provides resources for learning how to pronounce names correctly, or for those who may be unsure or afraid to get it wrong. There is also a focus on Indigenous Traditional Teachings related to names, and resources are available for checking the pronunciation of names through various sources. No specific program offering was mentioned in the text.",", 2. What is the objective of the ""Say My Name"" campaign at George Brown College?"
2,654840bb-4fed-4011-b3fc-13a0b9a7d2e0," The ""Say My Name"" campaign is an awareness campaign launched by the Office of Anti-Racism, Equity and Human Rights at George Brown College. It was initiated by Raymund Hip Loy Lee, a student in George Brown’s Honours Bachelor of Early Childhood Education program, to create a safe platform for individuals within the college community to express their preferred name and be represented correctly within the GBC community. The campaign aims to represent, learn, and celebrate the names of members of the college, particularly those with shortened or changed names or names that are often pronounced incorrectly. Raymund shared in an interview that his own experience sparked the idea for this campaign, as his name is often mispronounced due to a typo on his birth certificate and his mother's thick accent. The campaign provides resources for learning how to pronounce names correctly, or for those who may be unsure or afraid to get it wrong. There is also a focus on Indigenous Traditional Teachings related to names, and resources are available for checking the pronunciation of names through various sources. No specific program offering was mentioned in the text.",", 3. Which program at George Brown College does Raymund Hip Loy Lee belong to?"
3,654840bb-4fed-4011-b3fc-13a0b9a7d2e0," The ""Say My Name"" campaign is an awareness campaign launched by the Office of Anti-Racism, Equity and Human Rights at George Brown College. It was initiated by Raymund Hip Loy Lee, a student in George Brown’s Honours Bachelor of Early Childhood Education program, to create a safe platform for individuals within the college community to express their preferred name and be represented correctly within the GBC community. The campaign aims to represent, learn, and celebrate the names of members of the college, particularly those with shortened or changed names or names that are often pronounced incorrectly. Raymund shared in an interview that his own experience sparked the idea for this campaign, as his name is often mispronounced due to a typo on his birth certificate and his mother's thick accent. The campaign provides resources for learning how to pronounce names correctly, or for those who may be unsure or afraid to get it wrong. There is also a focus on Indigenous Traditional Teachings related to names, and resources are available for checking the pronunciation of names through various sources. No specific program offering was mentioned in the text.",", 4. Why did Raymund Hip Loy Lee start the ""Say My Name"" campaign?"
4,654840bb-4fed-4011-b3fc-13a0b9a7d2e0," The ""Say My Name"" campaign is an awareness campaign launched by the Office of Anti-Racism, Equity and Human Rights at George Brown College. It was initiated by Raymund Hip Loy Lee, a student in George Brown’s Honours Bachelor of Early Childhood Education program, to create a safe platform for individuals within the college community to express their preferred name and be represented correctly within the GBC community. The campaign aims to represent, learn, and celebrate the names of members of the college, particularly those with shortened or changed names or names that are often pronounced incorrectly. Raymund shared in an interview that his own experience sparked the idea for this campaign, as his name is often mispronounced due to a typo on his birth certificate and his mother's thick accent. The campaign provides resources for learning how to pronounce names correctly, or for those who may be unsure or afraid to get it wrong. There is also a focus on Indigenous Traditional Teachings related to names, and resources are available for checking the pronunciation of names through various sources. No specific program offering was mentioned in the text.",", 5. How does the campaign aim to help individuals within the college community?"
5,654840bb-4fed-4011-b3fc-13a0b9a7d2e0," The ""Say My Name"" campaign is an awareness campaign launched by the Office of Anti-Racism, Equity and Human Rights at George Brown College. It was initiated by Raymund Hip Loy Lee, a student in George Brown’s Honours Bachelor of Early Childhood Education program, to create a safe platform for individuals within the college community to express their preferred name and be represented correctly within the GBC community. The campaign aims to represent, learn, and celebrate the names of members of the college, particularly those with shortened or changed names or names that are often pronounced incorrectly. Raymund shared in an interview that his own experience sparked the idea for this campaign, as his name is often mispronounced due to a typo on his birth certificate and his mother's thick accent. The campaign provides resources for learning how to pronounce names correctly, or for those who may be unsure or afraid to get it wrong. There is also a focus on Indigenous Traditional Teachings related to names, and resources are available for checking the pronunciation of names through various sources. No specific program offering was mentioned in the text.",", 6. What resources are provided by the campaign for learning how to pronounce names correctly?"
6,654840bb-4fed-4011-b3fc-13a0b9a7d2e0," The ""Say My Name"" campaign is an awareness campaign launched by the Office of Anti-Racism, Equity and Human Rights at George Brown College. It was initiated by Raymund Hip Loy Lee, a student in George Brown’s Honours Bachelor of Early Childhood Education program, to create a safe platform for individuals within the college community to express their preferred name and be represented correctly within the GBC community. The campaign aims to represent, learn, and celebrate the names of members of the college, particularly those with shortened or changed names or names that are often pronounced incorrectly. Raymund shared in an interview that his own experience sparked the idea for this campaign, as his name is often mispronounced due to a typo on his birth certificate and his mother's thick accent. The campaign provides resources for learning how to pronounce names correctly, or for those who may be unsure or afraid to get it wrong. There is also a focus on Indigenous Traditional Teachings related to names, and resources are available for checking the pronunciation of names through various sources. No specific program offering was mentioned in the text.",", 7. What focus is there in the campaign regarding Indigenous Traditional Teachings related to names?"
7,654840bb-4fed-4011-b3fc-13a0b9a7d2e0," The ""Say My Name"" campaign is an awareness campaign launched by the Office of Anti-Racism, Equity and Human Rights at George Brown College. It was initiated by Raymund Hip Loy Lee, a student in George Brown’s Honours Bachelor of Early Childhood Education program, to create a safe platform for individuals within the college community to express their preferred name and be represented correctly within the GBC community. The campaign aims to represent, learn, and celebrate the names of members of the college, particularly those with shortened or changed names or names that are often pronounced incorrectly. Raymund shared in an interview that his own experience sparked the idea for this campaign, as his name is often mispronounced due to a typo on his birth certificate and his mother's thick accent. The campaign provides resources for learning how to pronounce names correctly, or for those who may be unsure or afraid to get it wrong. There is also a focus on Indigenous Traditional Teachings related to names, and resources are available for checking the pronunciation of names through various sources. No specific program offering was mentioned in the text.",", 8. Are there any specific program offerings mentioned in relation to the campaign?"
8,654840bb-4fed-4011-b3fc-13a0b9a7d2e0," The ""Say My Name"" campaign is an awareness campaign launched by the Office of Anti-Racism, Equity and Human Rights at George Brown College. It was initiated by Raymund Hip Loy Lee, a student in George Brown’s Honours Bachelor of Early Childhood Education program, to create a safe platform for individuals within the college community to express their preferred name and be represented correctly within the GBC community. The campaign aims to represent, learn, and celebrate the names of members of the college, particularly those with shortened or changed names or names that are often pronounced incorrectly. Raymund shared in an interview that his own experience sparked the idea for this campaign, as his name is often mispronounced due to a typo on his birth certificate and his mother's thick accent. The campaign provides resources for learning how to pronounce names correctly, or for those who may be unsure or afraid to get it wrong. There is also a focus on Indigenous Traditional Teachings related to names, and resources are available for checking the pronunciation of names through various sources. No specific program offering was mentioned in the text.",?
9,92dc81ff-b548-4340-b7ec-9a5776cb59b8," The text does not provide any specific information about the programs offered by George Brown College. Here's some factual information that can be extracted from the text:

- There is a self-serve process on Stu-View for students and employees to ensure their correct name is displayed.
- The college has a ""Say My Name Contest"" with rules and regulations.
- The college acknowledges Indigenous lands.
- George Brown College can be contacted via phone at 416-415-2000 or TTY: 1-877-515-5559, or by email at ask.george@georgebrown.ca.
- The college has a social media hub.
- The website contains information that is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",What is the process for students and employees to ensure correct name display on Stu-View?
