,contextId,context,question
0,ecddd1c7-8387-4486-97d1-da4c7131bb64," The information session is held at George Brown College (Casa Loma Campus) at 160 Kendal Avenue Building C - 4th Floor, Toronto, ON M5R 3S8, and can also be attended online. For program-specific questions, contact Nada Hammady, Manager, Academic Operations, at 416-415-5000 ext. 6055 or nhammady@georgebrown.ca. Application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up. The contact numbers for general inquiries are 416-415-2000 and TTY: 1-877-515-5559. The email address is ask.george@georgebrown.ca. The college's social media hub can be visited. The information on the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",What is the location of the information session at George Brown College?
1,ecddd1c7-8387-4486-97d1-da4c7131bb64," The information session is held at George Brown College (Casa Loma Campus) at 160 Kendal Avenue Building C - 4th Floor, Toronto, ON M5R 3S8, and can also be attended online. For program-specific questions, contact Nada Hammady, Manager, Academic Operations, at 416-415-5000 ext. 6055 or nhammady@georgebrown.ca. Application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up. The contact numbers for general inquiries are 416-415-2000 and TTY: 1-877-515-5559. The email address is ask.george@georgebrown.ca. The college's social media hub can be visited. The information on the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Can I contact Nada Hammady for program-specific questions using what phone number?"
2,ecddd1c7-8387-4486-97d1-da4c7131bb64," The information session is held at George Brown College (Casa Loma Campus) at 160 Kendal Avenue Building C - 4th Floor, Toronto, ON M5R 3S8, and can also be attended online. For program-specific questions, contact Nada Hammady, Manager, Academic Operations, at 416-415-5000 ext. 6055 or nhammady@georgebrown.ca. Application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up. The contact numbers for general inquiries are 416-415-2000 and TTY: 1-877-515-5559. The email address is ask.george@georgebrown.ca. The college's social media hub can be visited. The information on the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Where can I find application deadlines and college news?"
3,ecddd1c7-8387-4486-97d1-da4c7131bb64," The information session is held at George Brown College (Casa Loma Campus) at 160 Kendal Avenue Building C - 4th Floor, Toronto, ON M5R 3S8, and can also be attended online. For program-specific questions, contact Nada Hammady, Manager, Academic Operations, at 416-415-5000 ext. 6055 or nhammady@georgebrown.ca. Application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up. The contact numbers for general inquiries are 416-415-2000 and TTY: 1-877-515-5559. The email address is ask.george@georgebrown.ca. The college's social media hub can be visited. The information on the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", How can I sign up for tours and updates?"
4,ecddd1c7-8387-4486-97d1-da4c7131bb64," The information session is held at George Brown College (Casa Loma Campus) at 160 Kendal Avenue Building C - 4th Floor, Toronto, ON M5R 3S8, and can also be attended online. For program-specific questions, contact Nada Hammady, Manager, Academic Operations, at 416-415-5000 ext. 6055 or nhammady@georgebrown.ca. Application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up. The contact numbers for general inquiries are 416-415-2000 and TTY: 1-877-515-5559. The email address is ask.george@georgebrown.ca. The college's social media hub can be visited. The information on the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What are the contact numbers for general inquiries?"
5,ecddd1c7-8387-4486-97d1-da4c7131bb64," The information session is held at George Brown College (Casa Loma Campus) at 160 Kendal Avenue Building C - 4th Floor, Toronto, ON M5R 3S8, and can also be attended online. For program-specific questions, contact Nada Hammady, Manager, Academic Operations, at 416-415-5000 ext. 6055 or nhammady@georgebrown.ca. Application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up. The contact numbers for general inquiries are 416-415-2000 and TTY: 1-877-515-5559. The email address is ask.george@georgebrown.ca. The college's social media hub can be visited. The information on the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number for making inquiries?"
6,ecddd1c7-8387-4486-97d1-da4c7131bb64," The information session is held at George Brown College (Casa Loma Campus) at 160 Kendal Avenue Building C - 4th Floor, Toronto, ON M5R 3S8, and can also be attended online. For program-specific questions, contact Nada Hammady, Manager, Academic Operations, at 416-415-5000 ext. 6055 or nhammady@georgebrown.ca. Application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up. The contact numbers for general inquiries are 416-415-2000 and TTY: 1-877-515-5559. The email address is ask.george@georgebrown.ca. The college's social media hub can be visited. The information on the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the email address for making inquiries to George Brown College?"
7,ecddd1c7-8387-4486-97d1-da4c7131bb64," The information session is held at George Brown College (Casa Loma Campus) at 160 Kendal Avenue Building C - 4th Floor, Toronto, ON M5R 3S8, and can also be attended online. For program-specific questions, contact Nada Hammady, Manager, Academic Operations, at 416-415-5000 ext. 6055 or nhammady@georgebrown.ca. Application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up. The contact numbers for general inquiries are 416-415-2000 and TTY: 1-877-515-5559. The email address is ask.george@georgebrown.ca. The college's social media hub can be visited. The information on the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Where can I visit the social media hub of George Brown College?"
8,ecddd1c7-8387-4486-97d1-da4c7131bb64," The information session is held at George Brown College (Casa Loma Campus) at 160 Kendal Avenue Building C - 4th Floor, Toronto, ON M5R 3S8, and can also be attended online. For program-specific questions, contact Nada Hammady, Manager, Academic Operations, at 416-415-5000 ext. 6055 or nhammady@georgebrown.ca. Application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up. The contact numbers for general inquiries are 416-415-2000 and TTY: 1-877-515-5559. The email address is ask.george@georgebrown.ca. The college's social media hub can be visited. The information on the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", Is the information on the website a representation, offer or warranty?"
9,ecddd1c7-8387-4486-97d1-da4c7131bb64," The information session is held at George Brown College (Casa Loma Campus) at 160 Kendal Avenue Building C - 4th Floor, Toronto, ON M5R 3S8, and can also be attended online. For program-specific questions, contact Nada Hammady, Manager, Academic Operations, at 416-415-5000 ext. 6055 or nhammady@georgebrown.ca. Application deadlines, college news, upcoming events, tours, and more can be kept up-to-date by signing up. The contact numbers for general inquiries are 416-415-2000 and TTY: 1-877-515-5559. The email address is ask.george@georgebrown.ca. The college's social media hub can be visited. The information on the website is subject to change without notice and should not be considered a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements.",", How can students verify George Brown College fee requirements?"
