,contextId,context,question
0,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",What programs does the School of Media & Performing Arts at George Brown College offer?
1,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",", Can partnerships in the Theatre Arts program be found with industry professionals and companies?"
2,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",", How can students showcase their work and talent?"
3,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",", What is the contact information for George Brown College?"
4,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",", Which dance company does the Dance program have a direct partnership with?"
5,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",", What type of learning experience is provided at the college?"
6,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",", How does the college prepare students for industries?"
7,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",", What variety of Media programs are offered at George Brown College?"
8,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",", Where can students verify George Brown College fee requirements?"
9,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",", What information regarding application deadlines, college news, upcoming events, tours, and other details can be obtained through the website or social media hub sign up?"
10,6d4e9c4d-5c20-4a9b-9bd8-d36ff5d30033," The School of Media & Performing Arts at George Brown College is located in downtown Toronto and offers programs in Theatre Arts, Dance, and Media. Students have opportunities to showcase their work and talent through performances and exhibitions. The Theatre Arts program has partnerships with industry professionals and companies, allowing students to learn and work alongside them. The Dance program has a direct partnership with Ballet Jörgen. The college provides a mix of theory and experiential learning, with a focus on industry-ready training and small class sizes. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca. The college has partnerships with hundreds of production, theatre, and dance companies in Toronto. The website contains information subject to change without notice. For more information on application deadlines, college news, upcoming events, tours, and other details, sign up for updates on the George Brown College website or social media hub. The college recognizes that storytellers come in many forms and offers a variety of Media programs. Students must verify George Brown College fee requirements themselves. Land acknowledgment information is also available on the website.

FACTUAL INFORMATION:
- The School of Media & Performing Arts at George Brown College
- Programs offered: Theatre Arts, Dance, Media
- Partnerships with industry professionals and companies
- Opportunities to showcase work and talent
- Location: downtown Toronto
- Contact information: 416-415-2000, TTY: 1-878-515-5559, ask.george@georgebrown.ca
- Partnerships with hundreds of production, theatre, and dance companies in Toronto
- Direct partnership with Ballet Jörgen for Dance program
- Mix of theory and experiential learning
- Industry-ready training and small class sizes
- Variety of Media programs offered
- Verification of George Brown College fee requirements required
- Application deadlines, college news, upcoming events, tours, and other details available through website or social media hub sign up.
- Land acknowledgment information available on the website.

No empty text to return.",", Is land acknowledgment information available on the college website?"
