,contextId,context,question
0,b386970d-f238-40f6-b7e3-e541274c8d72," The Social Service Worker (Accelerated) (C135) program is offered online. Interested individuals can attend online information sessions to learn about the program content and career options upon graduation. The sessions are conducted by the Social Service Worker Program Co-ordinators, who can be contacted at sswcoordinators@georgebrown.ca or 416-415-2000, ext. 2185 or communityservices@georgebrown.ca. A previously recorded session is also available for viewing. Prospective students can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more by clicking ""Sign Up Now."" The contact number for general inquiries is 415-415-2000, and TTY is 1-877-515-5559. For further assistance, students can email ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice. Prospective students are responsible for verifying the college fees. The program coordinators' emails and contact number are: sswcoordinators@georgebrown.ca, 416-415-2000, ext. 2185, or communityservices@georgebrown.ca.",What is the email address for attending online information sessions about the Social Service Worker (Accelerated) (C135) program?
1,b386970d-f238-40f6-b7e3-e541274c8d72," The Social Service Worker (Accelerated) (C135) program is offered online. Interested individuals can attend online information sessions to learn about the program content and career options upon graduation. The sessions are conducted by the Social Service Worker Program Co-ordinators, who can be contacted at sswcoordinators@georgebrown.ca or 416-415-2000, ext. 2185 or communityservices@georgebrown.ca. A previously recorded session is also available for viewing. Prospective students can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more by clicking ""Sign Up Now."" The contact number for general inquiries is 415-415-2000, and TTY is 1-877-515-5559. For further assistance, students can email ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice. Prospective students are responsible for verifying the college fees. The program coordinators' emails and contact number are: sswcoordinators@georgebrown.ca, 416-415-2000, ext. 2185, or communityservices@georgebrown.ca.",", Can the Social Service Worker Program Co-ordinators be reached via phone for session inquiries?"
2,b386970d-f238-40f6-b7e3-e541274c8d72," The Social Service Worker (Accelerated) (C135) program is offered online. Interested individuals can attend online information sessions to learn about the program content and career options upon graduation. The sessions are conducted by the Social Service Worker Program Co-ordinators, who can be contacted at sswcoordinators@georgebrown.ca or 416-415-2000, ext. 2185 or communityservices@georgebrown.ca. A previously recorded session is also available for viewing. Prospective students can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more by clicking ""Sign Up Now."" The contact number for general inquiries is 415-415-2000, and TTY is 1-877-515-5559. For further assistance, students can email ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice. Prospective students are responsible for verifying the college fees. The program coordinators' emails and contact number are: sswcoordinators@georgebrown.ca, 416-415-2000, ext. 2185, or communityservices@georgebrown.ca.",", Where can a previously recorded session be found?"
3,b386970d-f238-40f6-b7e3-e541274c8d72," The Social Service Worker (Accelerated) (C135) program is offered online. Interested individuals can attend online information sessions to learn about the program content and career options upon graduation. The sessions are conducted by the Social Service Worker Program Co-ordinators, who can be contacted at sswcoordinators@georgebrown.ca or 416-415-2000, ext. 2185 or communityservices@georgebrown.ca. A previously recorded session is also available for viewing. Prospective students can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more by clicking ""Sign Up Now."" The contact number for general inquiries is 415-415-2000, and TTY is 1-877-515-5559. For further assistance, students can email ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice. Prospective students are responsible for verifying the college fees. The program coordinators' emails and contact number are: sswcoordinators@georgebrown.ca, 416-415-2000, ext. 2185, or communityservices@georgebrown.ca.",", How can prospective students sign up to receive college updates?"
4,b386970d-f238-40f6-b7e3-e541274c8d72," The Social Service Worker (Accelerated) (C135) program is offered online. Interested individuals can attend online information sessions to learn about the program content and career options upon graduation. The sessions are conducted by the Social Service Worker Program Co-ordinators, who can be contacted at sswcoordinators@georgebrown.ca or 416-415-2000, ext. 2185 or communityservices@georgebrown.ca. A previously recorded session is also available for viewing. Prospective students can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more by clicking ""Sign Up Now."" The contact number for general inquiries is 415-415-2000, and TTY is 1-877-515-5559. For further assistance, students can email ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice. Prospective students are responsible for verifying the college fees. The program coordinators' emails and contact number are: sswcoordinators@georgebrown.ca, 416-415-2000, ext. 2185, or communityservices@georgebrown.ca.",", What is the contact number for general inquiries at George Brown College?"
5,b386970d-f238-40f6-b7e3-e541274c8d72," The Social Service Worker (Accelerated) (C135) program is offered online. Interested individuals can attend online information sessions to learn about the program content and career options upon graduation. The sessions are conducted by the Social Service Worker Program Co-ordinators, who can be contacted at sswcoordinators@georgebrown.ca or 416-415-2000, ext. 2185 or communityservices@georgebrown.ca. A previously recorded session is also available for viewing. Prospective students can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more by clicking ""Sign Up Now."" The contact number for general inquiries is 415-415-2000, and TTY is 1-877-515-5559. For further assistance, students can email ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice. Prospective students are responsible for verifying the college fees. The program coordinators' emails and contact number are: sswcoordinators@georgebrown.ca, 416-415-2000, ext. 2185, or communityservices@georgebrown.ca.",", What is the TTY number for George Brown College?"
6,b386970d-f238-40f6-b7e3-e541274c8d72," The Social Service Worker (Accelerated) (C135) program is offered online. Interested individuals can attend online information sessions to learn about the program content and career options upon graduation. The sessions are conducted by the Social Service Worker Program Co-ordinators, who can be contacted at sswcoordinators@georgebrown.ca or 416-415-2000, ext. 2185 or communityservices@georgebrown.ca. A previously recorded session is also available for viewing. Prospective students can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more by clicking ""Sign Up Now."" The contact number for general inquiries is 415-415-2000, and TTY is 1-877-515-5559. For further assistance, students can email ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice. Prospective students are responsible for verifying the college fees. The program coordinators' emails and contact number are: sswcoordinators@georgebrown.ca, 416-415-2000, ext. 2185, or communityservices@georgebrown.ca.",Who should students contact for further assistance regarding the program?
7,b386970d-f238-40f6-b7e3-e541274c8d72," The Social Service Worker (Accelerated) (C135) program is offered online. Interested individuals can attend online information sessions to learn about the program content and career options upon graduation. The sessions are conducted by the Social Service Worker Program Co-ordinators, who can be contacted at sswcoordinators@georgebrown.ca or 416-415-2000, ext. 2185 or communityservices@georgebrown.ca. A previously recorded session is also available for viewing. Prospective students can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more by clicking ""Sign Up Now."" The contact number for general inquiries is 415-415-2000, and TTY is 1-877-515-5559. For further assistance, students can email ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice. Prospective students are responsible for verifying the college fees. The program coordinators' emails and contact number are: sswcoordinators@georgebrown.ca, 416-415-2000, ext. 2185, or communityservices@georgebrown.ca.",Is it necessary for students to verify the college fees on the website?
8,b386970d-f238-40f6-b7e3-e541274c8d72," The Social Service Worker (Accelerated) (C135) program is offered online. Interested individuals can attend online information sessions to learn about the program content and career options upon graduation. The sessions are conducted by the Social Service Worker Program Co-ordinators, who can be contacted at sswcoordinators@georgebrown.ca or 416-415-2000, ext. 2185 or communityservices@georgebrown.ca. A previously recorded session is also available for viewing. Prospective students can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more by clicking ""Sign Up Now."" The contact number for general inquiries is 415-415-2000, and TTY is 1-877-515-5559. For further assistance, students can email ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice. Prospective students are responsible for verifying the college fees. The program coordinators' emails and contact number are: sswcoordinators@georgebrown.ca, 416-415-2000, ext. 2185, or communityservices@georgebrown.ca.",What are the emails and contact numbers for the Social Service Worker Program Co-ordinators?
9,b386970d-f238-40f6-b7e3-e541274c8d72," The Social Service Worker (Accelerated) (C135) program is offered online. Interested individuals can attend online information sessions to learn about the program content and career options upon graduation. The sessions are conducted by the Social Service Worker Program Co-ordinators, who can be contacted at sswcoordinators@georgebrown.ca or 416-415-2000, ext. 2185 or communityservices@georgebrown.ca. A previously recorded session is also available for viewing. Prospective students can sign up to receive updates about application deadlines, college news, upcoming events, tours, and more by clicking ""Sign Up Now."" The contact number for general inquiries is 415-415-2000, and TTY is 1-877-515-5559. For further assistance, students can email ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice. Prospective students are responsible for verifying the college fees. The program coordinators' emails and contact number are: sswcoordinators@georgebrown.ca, 416-415-2000, ext. 2185, or communityservices@georgebrown.ca.",?
