,contextId,context,question
0,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",1. What email address can be used to switch between different GBC Zoom accounts?
1,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
2. Where should users sign in to activate a GBC Zoom account using Single Sign On (SSO) option?"
2,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
3. what is the process for users who have used their GBC email to register a Zoom account before?"
3,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
4. Can meeting controls vary depending on whether users access the lecture through a computer or mobile device?"
4,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
5. Where can users find support topics for using Zoom with George Brown College?"
5,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
6. Who should users contact if they encounter issues with their GBC Zoom account?"
6,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
7. What are the phone numbers for support at George Brown College?"
7,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
8. Where can users sign up to receive college news, upcoming events, tours, and application deadlines?"
8,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
9. What is the email address for general inquiries at George Brown College?"
9,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
10. Where can users find George Brown College on social media?"
10,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
11. Is the information on the website subject to change without notice?"
11,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",",
12. Who are users responsible for verifying GBC fee requirements?"
12,6227fdc1-4837-4d7d-a70e-fb057ce58d59," The text provides instructions for using Zoom with a George Brown College (GBC) account. Here are the factual information and entities extracted from the text:

* GBC email address can be used to switch between different Zoom accounts.
* To activate a GBC Zoom account, users need to sign in on the portal <https://georgebrown-ca.zoom.us/> using Single Sign On (SSO) option.
* Users may need to follow an account reclaim process if they have used their GBC email to register a Zoom account before.
* Meeting controls may differ depending on whether users access the lecture through a computer or mobile device.
* Support topics for using Zoom with George Brown College are available on this page.
* Contact helpdesk@georgebrown.ca if users encounter issues.
* Phone numbers for support: 416-415-2000 and TTY: 1-877-515-5559.
* Users can sign up to receive college news, upcoming events, tours, and application deadlines by visiting the ""Sign Up Now"" link.
* Additional contact information for George Brown College: ask.george@georgebrown.ca and social media hub.
* Information on the website is subject to change without notice.
* Users are responsible for verifying GBC fee requirements.",?
