,contextId,context,question
0,b912f5f0-5b94-4948-b9d4-36c55a424d2c," * Lori Cranson is the Associate Dean of the Centre for Community Services and Early Childhood and the Centre for Health Sciences at George Brown College.
* The Student Success team supports roughly 2,800 students.
* They offer three main approaches to serving the students: peer led learning groups, ongoing orientation, and an Early Alert System.
* In peer led learning groups, second-year students coach first-year students through weekly review sessions, both in person and online.
* Ongoing orientation offers continuous support throughout the term via email, video vignettes, signage, in-class visits, and a new Student Success newsletter.
* The Early Alert System helps faculty identify students who are struggling by tracking warning signs like missed tests and low attendance, and then directs those students towards support services like financial aid, accessibility services, or counselling.
* The team meets with faculty, conducts surveys and focus groups with students, and works with department chairs to determine the next strategy and adapt to changing student populations.
* Lori Cranson has been in her role for 12 years, having come from a background as a high school teacher and then vice-president of programs at The Learning Partnership.
* Her motivation is to help students achieve their goals and realize their dreams while at college.",* Who is the Associate Dean of Centre for Community Services and Early Childhood and Centre for Health Sciences at George Brown College?
1,b912f5f0-5b94-4948-b9d4-36c55a424d2c," * Lori Cranson is the Associate Dean of the Centre for Community Services and Early Childhood and the Centre for Health Sciences at George Brown College.
* The Student Success team supports roughly 2,800 students.
* They offer three main approaches to serving the students: peer led learning groups, ongoing orientation, and an Early Alert System.
* In peer led learning groups, second-year students coach first-year students through weekly review sessions, both in person and online.
* Ongoing orientation offers continuous support throughout the term via email, video vignettes, signage, in-class visits, and a new Student Success newsletter.
* The Early Alert System helps faculty identify students who are struggling by tracking warning signs like missed tests and low attendance, and then directs those students towards support services like financial aid, accessibility services, or counselling.
* The team meets with faculty, conducts surveys and focus groups with students, and works with department chairs to determine the next strategy and adapt to changing student populations.
* Lori Cranson has been in her role for 12 years, having come from a background as a high school teacher and then vice-president of programs at The Learning Partnership.
* Her motivation is to help students achieve their goals and realize their dreams while at college.",", what is her role?"
2,b912f5f0-5b94-4948-b9d4-36c55a424d2c," * Lori Cranson is the Associate Dean of the Centre for Community Services and Early Childhood and the Centre for Health Sciences at George Brown College.
* The Student Success team supports roughly 2,800 students.
* They offer three main approaches to serving the students: peer led learning groups, ongoing orientation, and an Early Alert System.
* In peer led learning groups, second-year students coach first-year students through weekly review sessions, both in person and online.
* Ongoing orientation offers continuous support throughout the term via email, video vignettes, signage, in-class visits, and a new Student Success newsletter.
* The Early Alert System helps faculty identify students who are struggling by tracking warning signs like missed tests and low attendance, and then directs those students towards support services like financial aid, accessibility services, or counselling.
* The team meets with faculty, conducts surveys and focus groups with students, and works with department chairs to determine the next strategy and adapt to changing student populations.
* Lori Cranson has been in her role for 12 years, having come from a background as a high school teacher and then vice-president of programs at The Learning Partnership.
* Her motivation is to help students achieve their goals and realize their dreams while at college.",* How many students does the Student Success team support approximately?
3,b912f5f0-5b94-4948-b9d4-36c55a424d2c," * Lori Cranson is the Associate Dean of the Centre for Community Services and Early Childhood and the Centre for Health Sciences at George Brown College.
* The Student Success team supports roughly 2,800 students.
* They offer three main approaches to serving the students: peer led learning groups, ongoing orientation, and an Early Alert System.
* In peer led learning groups, second-year students coach first-year students through weekly review sessions, both in person and online.
* Ongoing orientation offers continuous support throughout the term via email, video vignettes, signage, in-class visits, and a new Student Success newsletter.
* The Early Alert System helps faculty identify students who are struggling by tracking warning signs like missed tests and low attendance, and then directs those students towards support services like financial aid, accessibility services, or counselling.
* The team meets with faculty, conducts surveys and focus groups with students, and works with department chairs to determine the next strategy and adapt to changing student populations.
* Lori Cranson has been in her role for 12 years, having come from a background as a high school teacher and then vice-president of programs at The Learning Partnership.
* Her motivation is to help students achieve their goals and realize their dreams while at college.",* What are the three main approaches the Student Success team takes to serving students?
4,b912f5f0-5b94-4948-b9d4-36c55a424d2c," * Lori Cranson is the Associate Dean of the Centre for Community Services and Early Childhood and the Centre for Health Sciences at George Brown College.
* The Student Success team supports roughly 2,800 students.
* They offer three main approaches to serving the students: peer led learning groups, ongoing orientation, and an Early Alert System.
* In peer led learning groups, second-year students coach first-year students through weekly review sessions, both in person and online.
* Ongoing orientation offers continuous support throughout the term via email, video vignettes, signage, in-class visits, and a new Student Success newsletter.
* The Early Alert System helps faculty identify students who are struggling by tracking warning signs like missed tests and low attendance, and then directs those students towards support services like financial aid, accessibility services, or counselling.
* The team meets with faculty, conducts surveys and focus groups with students, and works with department chairs to determine the next strategy and adapt to changing student populations.
* Lori Cranson has been in her role for 12 years, having come from a background as a high school teacher and then vice-president of programs at The Learning Partnership.
* Her motivation is to help students achieve their goals and realize their dreams while at college.","* In peer led learning groups, who coaches first-year students?"
5,b912f5f0-5b94-4948-b9d4-36c55a424d2c," * Lori Cranson is the Associate Dean of the Centre for Community Services and Early Childhood and the Centre for Health Sciences at George Brown College.
* The Student Success team supports roughly 2,800 students.
* They offer three main approaches to serving the students: peer led learning groups, ongoing orientation, and an Early Alert System.
* In peer led learning groups, second-year students coach first-year students through weekly review sessions, both in person and online.
* Ongoing orientation offers continuous support throughout the term via email, video vignettes, signage, in-class visits, and a new Student Success newsletter.
* The Early Alert System helps faculty identify students who are struggling by tracking warning signs like missed tests and low attendance, and then directs those students towards support services like financial aid, accessibility services, or counselling.
* The team meets with faculty, conducts surveys and focus groups with students, and works with department chairs to determine the next strategy and adapt to changing student populations.
* Lori Cranson has been in her role for 12 years, having come from a background as a high school teacher and then vice-president of programs at The Learning Partnership.
* Her motivation is to help students achieve their goals and realize their dreams while at college.","* Where do peer led learning groups take place, both in person and online?"
6,b912f5f0-5b94-4948-b9d4-36c55a424d2c," * Lori Cranson is the Associate Dean of the Centre for Community Services and Early Childhood and the Centre for Health Sciences at George Brown College.
* The Student Success team supports roughly 2,800 students.
* They offer three main approaches to serving the students: peer led learning groups, ongoing orientation, and an Early Alert System.
* In peer led learning groups, second-year students coach first-year students through weekly review sessions, both in person and online.
* Ongoing orientation offers continuous support throughout the term via email, video vignettes, signage, in-class visits, and a new Student Success newsletter.
* The Early Alert System helps faculty identify students who are struggling by tracking warning signs like missed tests and low attendance, and then directs those students towards support services like financial aid, accessibility services, or counselling.
* The team meets with faculty, conducts surveys and focus groups with students, and works with department chairs to determine the next strategy and adapt to changing student populations.
* Lori Cranson has been in her role for 12 years, having come from a background as a high school teacher and then vice-president of programs at The Learning Partnership.
* Her motivation is to help students achieve their goals and realize their dreams while at college.",* What continuous support does ongoing orientation offer throughout the term?
7,b912f5f0-5b94-4948-b9d4-36c55a424d2c," * Lori Cranson is the Associate Dean of the Centre for Community Services and Early Childhood and the Centre for Health Sciences at George Brown College.
* The Student Success team supports roughly 2,800 students.
* They offer three main approaches to serving the students: peer led learning groups, ongoing orientation, and an Early Alert System.
* In peer led learning groups, second-year students coach first-year students through weekly review sessions, both in person and online.
* Ongoing orientation offers continuous support throughout the term via email, video vignettes, signage, in-class visits, and a new Student Success newsletter.
* The Early Alert System helps faculty identify students who are struggling by tracking warning signs like missed tests and low attendance, and then directs those students towards support services like financial aid, accessibility services, or counselling.
* The team meets with faculty, conducts surveys and focus groups with students, and works with department chairs to determine the next strategy and adapt to changing student populations.
* Lori Cranson has been in her role for 12 years, having come from a background as a high school teacher and then vice-president of programs at The Learning Partnership.
* Her motivation is to help students achieve their goals and realize their dreams while at college.",* How does the Early Alert System help faculty identify struggling students?
8,b912f5f0-5b94-4948-b9d4-36c55a424d2c," * Lori Cranson is the Associate Dean of the Centre for Community Services and Early Childhood and the Centre for Health Sciences at George Brown College.
* The Student Success team supports roughly 2,800 students.
* They offer three main approaches to serving the students: peer led learning groups, ongoing orientation, and an Early Alert System.
* In peer led learning groups, second-year students coach first-year students through weekly review sessions, both in person and online.
* Ongoing orientation offers continuous support throughout the term via email, video vignettes, signage, in-class visits, and a new Student Success newsletter.
* The Early Alert System helps faculty identify students who are struggling by tracking warning signs like missed tests and low attendance, and then directs those students towards support services like financial aid, accessibility services, or counselling.
* The team meets with faculty, conducts surveys and focus groups with students, and works with department chairs to determine the next strategy and adapt to changing student populations.
* Lori Cranson has been in her role for 12 years, having come from a background as a high school teacher and then vice-president of programs at The Learning Partnership.
* Her motivation is to help students achieve their goals and realize their dreams while at college.",* What services are directed to students identified through the Early Alert System?
9,b912f5f0-5b94-4948-b9d4-36c55a424d2c," * Lori Cranson is the Associate Dean of the Centre for Community Services and Early Childhood and the Centre for Health Sciences at George Brown College.
* The Student Success team supports roughly 2,800 students.
* They offer three main approaches to serving the students: peer led learning groups, ongoing orientation, and an Early Alert System.
* In peer led learning groups, second-year students coach first-year students through weekly review sessions, both in person and online.
* Ongoing orientation offers continuous support throughout the term via email, video vignettes, signage, in-class visits, and a new Student Success newsletter.
* The Early Alert System helps faculty identify students who are struggling by tracking warning signs like missed tests and low attendance, and then directs those students towards support services like financial aid, accessibility services, or counselling.
* The team meets with faculty, conducts surveys and focus groups with students, and works with department chairs to determine the next strategy and adapt to changing student populations.
* Lori Cranson has been in her role for 12 years, having come from a background as a high school teacher and then vice-president of programs at The Learning Partnership.
* Her motivation is to help students achieve their goals and realize their dreams while at college.",* How often does the Student Success team meet with faculty?
