,contextId,context,question
0,b4ed5d67-35aa-4fe1-8133-5d9b29ea57b1," * An unofficial transcript is available through STU-View account at stuview.georgebrown.ca.
* Official transcripts can be requested through the Academic Records Request Form or by contacting the Academic Records department directly.
* Official transcripts must be addressed to the intended institution and presented in a sealed envelope with the official college stamp.
* A fee of $85.00 is required for requesting an official transcript and Nursing License forms and program information.
* Processing time for official transcript requests is 4-6 weeks.
* For Ontario post-secondary institutions, online transcript requests can be made on their websites if an application has already been submitted.
* Official transcripts for graduates of the collaborative Nursing degree program are only available through Toronto Metropolitan University (TMU).
* TMU's transcript request form can be obtained online via their transcript request portal or by contacting their Records department at 416-979-5136.
* George Brown College has adopted the MyCreds™ platform for issuing official transcripts and digitized credentials.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, social media hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.
* Important notice: Information contained in this website is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",* What is the process for requesting an unofficial transcript through STU-View account?
1,b4ed5d67-35aa-4fe1-8133-5d9b29ea57b1," * An unofficial transcript is available through STU-View account at stuview.georgebrown.ca.
* Official transcripts can be requested through the Academic Records Request Form or by contacting the Academic Records department directly.
* Official transcripts must be addressed to the intended institution and presented in a sealed envelope with the official college stamp.
* A fee of $85.00 is required for requesting an official transcript and Nursing License forms and program information.
* Processing time for official transcript requests is 4-6 weeks.
* For Ontario post-secondary institutions, online transcript requests can be made on their websites if an application has already been submitted.
* Official transcripts for graduates of the collaborative Nursing degree program are only available through Toronto Metropolitan University (TMU).
* TMU's transcript request form can be obtained online via their transcript request portal or by contacting their Records department at 416-979-5136.
* George Brown College has adopted the MyCreds™ platform for issuing official transcripts and digitized credentials.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, social media hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.
* Important notice: Information contained in this website is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", How can I obtain an official transcript through the Academic Records Request Form?"
2,b4ed5d67-35aa-4fe1-8133-5d9b29ea57b1," * An unofficial transcript is available through STU-View account at stuview.georgebrown.ca.
* Official transcripts can be requested through the Academic Records Request Form or by contacting the Academic Records department directly.
* Official transcripts must be addressed to the intended institution and presented in a sealed envelope with the official college stamp.
* A fee of $85.00 is required for requesting an official transcript and Nursing License forms and program information.
* Processing time for official transcript requests is 4-6 weeks.
* For Ontario post-secondary institutions, online transcript requests can be made on their websites if an application has already been submitted.
* Official transcripts for graduates of the collaborative Nursing degree program are only available through Toronto Metropolitan University (TMU).
* TMU's transcript request form can be obtained online via their transcript request portal or by contacting their Records department at 416-979-5136.
* George Brown College has adopted the MyCreds™ platform for issuing official transcripts and digitized credentials.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, social media hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.
* Important notice: Information contained in this website is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", what is the fee for requesting an official transcript and Nursing License forms in George Brown College?"
3,b4ed5d67-35aa-4fe1-8133-5d9b29ea57b1," * An unofficial transcript is available through STU-View account at stuview.georgebrown.ca.
* Official transcripts can be requested through the Academic Records Request Form or by contacting the Academic Records department directly.
* Official transcripts must be addressed to the intended institution and presented in a sealed envelope with the official college stamp.
* A fee of $85.00 is required for requesting an official transcript and Nursing License forms and program information.
* Processing time for official transcript requests is 4-6 weeks.
* For Ontario post-secondary institutions, online transcript requests can be made on their websites if an application has already been submitted.
* Official transcripts for graduates of the collaborative Nursing degree program are only available through Toronto Metropolitan University (TMU).
* TMU's transcript request form can be obtained online via their transcript request portal or by contacting their Records department at 416-979-5136.
* George Brown College has adopted the MyCreds™ platform for issuing official transcripts and digitized credentials.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, social media hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.
* Important notice: Information contained in this website is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", How long does it take to process official transcript requests?"
4,b4ed5d67-35aa-4fe1-8133-5d9b29ea57b1," * An unofficial transcript is available through STU-View account at stuview.georgebrown.ca.
* Official transcripts can be requested through the Academic Records Request Form or by contacting the Academic Records department directly.
* Official transcripts must be addressed to the intended institution and presented in a sealed envelope with the official college stamp.
* A fee of $85.00 is required for requesting an official transcript and Nursing License forms and program information.
* Processing time for official transcript requests is 4-6 weeks.
* For Ontario post-secondary institutions, online transcript requests can be made on their websites if an application has already been submitted.
* Official transcripts for graduates of the collaborative Nursing degree program are only available through Toronto Metropolitan University (TMU).
* TMU's transcript request form can be obtained online via their transcript request portal or by contacting their Records department at 416-979-5136.
* George Brown College has adopted the MyCreds™ platform for issuing official transcripts and digitized credentials.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, social media hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.
* Important notice: Information contained in this website is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", Can Ontario post-secondary institutions be contacted directly for online transcript requests?"
5,b4ed5d67-35aa-4fe1-8133-5d9b29ea57b1," * An unofficial transcript is available through STU-View account at stuview.georgebrown.ca.
* Official transcripts can be requested through the Academic Records Request Form or by contacting the Academic Records department directly.
* Official transcripts must be addressed to the intended institution and presented in a sealed envelope with the official college stamp.
* A fee of $85.00 is required for requesting an official transcript and Nursing License forms and program information.
* Processing time for official transcript requests is 4-6 weeks.
* For Ontario post-secondary institutions, online transcript requests can be made on their websites if an application has already been submitted.
* Official transcripts for graduates of the collaborative Nursing degree program are only available through Toronto Metropolitan University (TMU).
* TMU's transcript request form can be obtained online via their transcript request portal or by contacting their Records department at 416-979-5136.
* George Brown College has adopted the MyCreds™ platform for issuing official transcripts and digitized credentials.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, social media hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.
* Important notice: Information contained in this website is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", Where can graduates of the collaborative Nursing degree program obtain their official transcripts?"
6,b4ed5d67-35aa-4fe1-8133-5d9b29ea57b1," * An unofficial transcript is available through STU-View account at stuview.georgebrown.ca.
* Official transcripts can be requested through the Academic Records Request Form or by contacting the Academic Records department directly.
* Official transcripts must be addressed to the intended institution and presented in a sealed envelope with the official college stamp.
* A fee of $85.00 is required for requesting an official transcript and Nursing License forms and program information.
* Processing time for official transcript requests is 4-6 weeks.
* For Ontario post-secondary institutions, online transcript requests can be made on their websites if an application has already been submitted.
* Official transcripts for graduates of the collaborative Nursing degree program are only available through Toronto Metropolitan University (TMU).
* TMU's transcript request form can be obtained online via their transcript request portal or by contacting their Records department at 416-979-5136.
* George Brown College has adopted the MyCreds™ platform for issuing official transcripts and digitized credentials.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, social media hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.
* Important notice: Information contained in this website is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", How do I contact Toronto Metropolitan University's Records department for a transcript request?"
7,b4ed5d67-35aa-4fe1-8133-5d9b29ea57b1," * An unofficial transcript is available through STU-View account at stuview.georgebrown.ca.
* Official transcripts can be requested through the Academic Records Request Form or by contacting the Academic Records department directly.
* Official transcripts must be addressed to the intended institution and presented in a sealed envelope with the official college stamp.
* A fee of $85.00 is required for requesting an official transcript and Nursing License forms and program information.
* Processing time for official transcript requests is 4-6 weeks.
* For Ontario post-secondary institutions, online transcript requests can be made on their websites if an application has already been submitted.
* Official transcripts for graduates of the collaborative Nursing degree program are only available through Toronto Metropolitan University (TMU).
* TMU's transcript request form can be obtained online via their transcript request portal or by contacting their Records department at 416-979-5136.
* George Brown College has adopted the MyCreds™ platform for issuing official transcripts and digitized credentials.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, social media hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.
* Important notice: Information contained in this website is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What platform does George Brown College use for issuing official transcripts and digitized credentials?"
8,b4ed5d67-35aa-4fe1-8133-5d9b29ea57b1," * An unofficial transcript is available through STU-View account at stuview.georgebrown.ca.
* Official transcripts can be requested through the Academic Records Request Form or by contacting the Academic Records department directly.
* Official transcripts must be addressed to the intended institution and presented in a sealed envelope with the official college stamp.
* A fee of $85.00 is required for requesting an official transcript and Nursing License forms and program information.
* Processing time for official transcript requests is 4-6 weeks.
* For Ontario post-secondary institutions, online transcript requests can be made on their websites if an application has already been submitted.
* Official transcripts for graduates of the collaborative Nursing degree program are only available through Toronto Metropolitan University (TMU).
* TMU's transcript request form can be obtained online via their transcript request portal or by contacting their Records department at 416-979-5136.
* George Brown College has adopted the MyCreds™ platform for issuing official transcripts and digitized credentials.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, social media hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.
* Important notice: Information contained in this website is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the contact information for George Brown College's customer service and social media hub?"
9,b4ed5d67-35aa-4fe1-8133-5d9b29ea57b1," * An unofficial transcript is available through STU-View account at stuview.georgebrown.ca.
* Official transcripts can be requested through the Academic Records Request Form or by contacting the Academic Records department directly.
* Official transcripts must be addressed to the intended institution and presented in a sealed envelope with the official college stamp.
* A fee of $85.00 is required for requesting an official transcript and Nursing License forms and program information.
* Processing time for official transcript requests is 4-6 weeks.
* For Ontario post-secondary institutions, online transcript requests can be made on their websites if an application has already been submitted.
* Official transcripts for graduates of the collaborative Nursing degree program are only available through Toronto Metropolitan University (TMU).
* TMU's transcript request form can be obtained online via their transcript request portal or by contacting their Records department at 416-979-5136.
* George Brown College has adopted the MyCreds™ platform for issuing official transcripts and digitized credentials.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, social media hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.
* Important notice: Information contained in this website is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What can be signed up for on the George Brown College website besides application deadlines and college news?"
