,contextId,context,question
0,526a4b25-5f10-495d-a0da-6d608b4bd26e," * A memorial gift or tribute donation is a way to remember a special person while supporting student access to education at George Brown College.
* An acknowledgement letter or email will be sent to the designated person, and a tax receipt will be sent to the donor.
* Donations can be made in memory or in honour of someone, and the donor can customize their message to the recipient.
* Memorial and tribute donations to George Brown College Foundation are fully tax-deductible.
* To make a gift in memory or in honour, indicate the person on the donation form.
* For more information, contact Gabriella Goutam, Development Officer, Annual Giving, at 416-415-5000 x3289, 416-415-5011 (fax), or gabriella.goutam@georgebrown.ca.
* The website information is subject to change without notice and should not be viewed as a representation, offer or warranty.
* Students are responsible for verifying George Brown College fee requirements.
* Contact ask.george@georgebrown.ca or visit the Social Media Hub for more information.
* Phone number: 416-415-2000, TTY: 1-877-515-5559.",* What is a memorial gift or tribute donation at George Brown College?
1,526a4b25-5f10-495d-a0da-6d608b4bd26e," * A memorial gift or tribute donation is a way to remember a special person while supporting student access to education at George Brown College.
* An acknowledgement letter or email will be sent to the designated person, and a tax receipt will be sent to the donor.
* Donations can be made in memory or in honour of someone, and the donor can customize their message to the recipient.
* Memorial and tribute donations to George Brown College Foundation are fully tax-deductible.
* To make a gift in memory or in honour, indicate the person on the donation form.
* For more information, contact Gabriella Goutam, Development Officer, Annual Giving, at 416-415-5000 x3289, 416-415-5011 (fax), or gabriella.goutam@georgebrown.ca.
* The website information is subject to change without notice and should not be viewed as a representation, offer or warranty.
* Students are responsible for verifying George Brown College fee requirements.
* Contact ask.george@georgebrown.ca or visit the Social Media Hub for more information.
* Phone number: 416-415-2000, TTY: 1-877-515-5559.",", How can I remember a special person while supporting student education at George Brown College?"
2,526a4b25-5f10-495d-a0da-6d608b4bd26e," * A memorial gift or tribute donation is a way to remember a special person while supporting student access to education at George Brown College.
* An acknowledgement letter or email will be sent to the designated person, and a tax receipt will be sent to the donor.
* Donations can be made in memory or in honour of someone, and the donor can customize their message to the recipient.
* Memorial and tribute donations to George Brown College Foundation are fully tax-deductible.
* To make a gift in memory or in honour, indicate the person on the donation form.
* For more information, contact Gabriella Goutam, Development Officer, Annual Giving, at 416-415-5000 x3289, 416-415-5011 (fax), or gabriella.goutam@georgebrown.ca.
* The website information is subject to change without notice and should not be viewed as a representation, offer or warranty.
* Students are responsible for verifying George Brown College fee requirements.
* Contact ask.george@georgebrown.ca or visit the Social Media Hub for more information.
* Phone number: 416-415-2000, TTY: 1-877-515-5559.",", What acknowledgement will the designated person receive?"
3,526a4b25-5f10-495d-a0da-6d608b4bd26e," * A memorial gift or tribute donation is a way to remember a special person while supporting student access to education at George Brown College.
* An acknowledgement letter or email will be sent to the designated person, and a tax receipt will be sent to the donor.
* Donations can be made in memory or in honour of someone, and the donor can customize their message to the recipient.
* Memorial and tribute donations to George Brown College Foundation are fully tax-deductible.
* To make a gift in memory or in honour, indicate the person on the donation form.
* For more information, contact Gabriella Goutam, Development Officer, Annual Giving, at 416-415-5000 x3289, 416-415-5011 (fax), or gabriella.goutam@georgebrown.ca.
* The website information is subject to change without notice and should not be viewed as a representation, offer or warranty.
* Students are responsible for verifying George Brown College fee requirements.
* Contact ask.george@georgebrown.ca or visit the Social Media Hub for more information.
* Phone number: 416-415-2000, TTY: 1-877-515-5559.",", Is making a memorial or tribute donation tax-deductible?"
4,526a4b25-5f10-495d-a0da-6d608b4bd26e," * A memorial gift or tribute donation is a way to remember a special person while supporting student access to education at George Brown College.
* An acknowledgement letter or email will be sent to the designated person, and a tax receipt will be sent to the donor.
* Donations can be made in memory or in honour of someone, and the donor can customize their message to the recipient.
* Memorial and tribute donations to George Brown College Foundation are fully tax-deductible.
* To make a gift in memory or in honour, indicate the person on the donation form.
* For more information, contact Gabriella Goutam, Development Officer, Annual Giving, at 416-415-5000 x3289, 416-415-5011 (fax), or gabriella.goutam@georgebrown.ca.
* The website information is subject to change without notice and should not be viewed as a representation, offer or warranty.
* Students are responsible for verifying George Brown College fee requirements.
* Contact ask.george@georgebrown.ca or visit the Social Media Hub for more information.
* Phone number: 416-415-2000, TTY: 1-877-515-5559.",", How do I indicate someone on the donation form for a memorial or tribute donation?"
5,526a4b25-5f10-495d-a0da-6d608b4bd26e," * A memorial gift or tribute donation is a way to remember a special person while supporting student access to education at George Brown College.
* An acknowledgement letter or email will be sent to the designated person, and a tax receipt will be sent to the donor.
* Donations can be made in memory or in honour of someone, and the donor can customize their message to the recipient.
* Memorial and tribute donations to George Brown College Foundation are fully tax-deductible.
* To make a gift in memory or in honour, indicate the person on the donation form.
* For more information, contact Gabriella Goutam, Development Officer, Annual Giving, at 416-415-5000 x3289, 416-415-5011 (fax), or gabriella.goutam@georgebrown.ca.
* The website information is subject to change without notice and should not be viewed as a representation, offer or warranty.
* Students are responsible for verifying George Brown College fee requirements.
* Contact ask.george@georgebrown.ca or visit the Social Media Hub for more information.
* Phone number: 416-415-2000, TTY: 1-877-515-5559.",", Who should I contact for more information about memorial and tribute donations?"
6,526a4b25-5f10-495d-a0da-6d608b4bd26e," * A memorial gift or tribute donation is a way to remember a special person while supporting student access to education at George Brown College.
* An acknowledgement letter or email will be sent to the designated person, and a tax receipt will be sent to the donor.
* Donations can be made in memory or in honour of someone, and the donor can customize their message to the recipient.
* Memorial and tribute donations to George Brown College Foundation are fully tax-deductible.
* To make a gift in memory or in honour, indicate the person on the donation form.
* For more information, contact Gabriella Goutam, Development Officer, Annual Giving, at 416-415-5000 x3289, 416-415-5011 (fax), or gabriella.goutam@georgebrown.ca.
* The website information is subject to change without notice and should not be viewed as a representation, offer or warranty.
* Students are responsible for verifying George Brown College fee requirements.
* Contact ask.george@georgebrown.ca or visit the Social Media Hub for more information.
* Phone number: 416-415-2000, TTY: 1-877-515-5559.",", What is the phone number to contact George Brown College for more information on donations?"
7,526a4b25-5f10-495d-a0da-6d608b4bd26e," * A memorial gift or tribute donation is a way to remember a special person while supporting student access to education at George Brown College.
* An acknowledgement letter or email will be sent to the designated person, and a tax receipt will be sent to the donor.
* Donations can be made in memory or in honour of someone, and the donor can customize their message to the recipient.
* Memorial and tribute donations to George Brown College Foundation are fully tax-deductible.
* To make a gift in memory or in honour, indicate the person on the donation form.
* For more information, contact Gabriella Goutam, Development Officer, Annual Giving, at 416-415-5000 x3289, 416-415-5011 (fax), or gabriella.goutam@georgebrown.ca.
* The website information is subject to change without notice and should not be viewed as a representation, offer or warranty.
* Students are responsible for verifying George Brown College fee requirements.
* Contact ask.george@georgebrown.ca or visit the Social Media Hub for more information.
* Phone number: 416-415-2000, TTY: 1-877-515-5559.","*, Is there a fax number to contact George Brown College regarding donations?"
8,526a4b25-5f10-495d-a0da-6d608b4bd26e," * A memorial gift or tribute donation is a way to remember a special person while supporting student access to education at George Brown College.
* An acknowledgement letter or email will be sent to the designated person, and a tax receipt will be sent to the donor.
* Donations can be made in memory or in honour of someone, and the donor can customize their message to the recipient.
* Memorial and tribute donations to George Brown College Foundation are fully tax-deductible.
* To make a gift in memory or in honour, indicate the person on the donation form.
* For more information, contact Gabriella Goutam, Development Officer, Annual Giving, at 416-415-5000 x3289, 416-415-5011 (fax), or gabriella.goutam@georgebrown.ca.
* The website information is subject to change without notice and should not be viewed as a representation, offer or warranty.
* Students are responsible for verifying George Brown College fee requirements.
* Contact ask.george@georgebrown.ca or visit the Social Media Hub for more information.
* Phone number: 416-415-2000, TTY: 1-877-515-5559.",", How can students verify their fee requirements at George Brown College?"
9,526a4b25-5f10-495d-a0da-6d608b4bd26e," * A memorial gift or tribute donation is a way to remember a special person while supporting student access to education at George Brown College.
* An acknowledgement letter or email will be sent to the designated person, and a tax receipt will be sent to the donor.
* Donations can be made in memory or in honour of someone, and the donor can customize their message to the recipient.
* Memorial and tribute donations to George Brown College Foundation are fully tax-deductible.
* To make a gift in memory or in honour, indicate the person on the donation form.
* For more information, contact Gabriella Goutam, Development Officer, Annual Giving, at 416-415-5000 x3289, 416-415-5011 (fax), or gabriella.goutam@georgebrown.ca.
* The website information is subject to change without notice and should not be viewed as a representation, offer or warranty.
* Students are responsible for verifying George Brown College fee requirements.
* Contact ask.george@georgebrown.ca or visit the Social Media Hub for more information.
* Phone number: 416-415-2000, TTY: 1-877-515-5559.",", Where can I find additional information about George Brown College besides the website?"
