,contextId,context,question
0,c57779b6-f29d-4408-8b12-216edd04e86d," The Tutoring and Learning Centre (TLC) is an academic service at George Brown College, offering tutoring, workshops, and resources for English, math, accounting, and other learning support. The TLC provides various academic learning supports and has locations at each of their campuses. Students can log in with their GBC credentials to book sessions. The TLC helps students develop core academic skills and offers the opportunity for students with strong academic skills to become Peer Tutors. The contact information for the TLC is 416-415-2000, TTY: 1-877-515-5559, and ask.george@georgebrown.ca. The website content may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",What is the role of The Tutoring and Learning Centre (TLC) at George Brown College?
1,c57779b6-f29d-4408-8b12-216edd04e86d," The Tutoring and Learning Centre (TLC) is an academic service at George Brown College, offering tutoring, workshops, and resources for English, math, accounting, and other learning support. The TLC provides various academic learning supports and has locations at each of their campuses. Students can log in with their GBC credentials to book sessions. The TLC helps students develop core academic skills and offers the opportunity for students with strong academic skills to become Peer Tutors. The contact information for the TLC is 416-415-2000, TTY: 1-877-515-5559, and ask.george@georgebrown.ca. The website content may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", Which subjects does the TLC offer tutoring for?"
2,c57779b6-f29d-4408-8b12-216edd04e86d," The Tutoring and Learning Centre (TLC) is an academic service at George Brown College, offering tutoring, workshops, and resources for English, math, accounting, and other learning support. The TLC provides various academic learning supports and has locations at each of their campuses. Students can log in with their GBC credentials to book sessions. The TLC helps students develop core academic skills and offers the opportunity for students with strong academic skills to become Peer Tutors. The contact information for the TLC is 416-415-2000, TTY: 1-877-515-5559, and ask.george@georgebrown.ca. The website content may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", Where can students find the TLC locations?"
3,c57779b6-f29d-4408-8b12-216edd04e86d," The Tutoring and Learning Centre (TLC) is an academic service at George Brown College, offering tutoring, workshops, and resources for English, math, accounting, and other learning support. The TLC provides various academic learning supports and has locations at each of their campuses. Students can log in with their GBC credentials to book sessions. The TLC helps students develop core academic skills and offers the opportunity for students with strong academic skills to become Peer Tutors. The contact information for the TLC is 416-415-2000, TTY: 1-877-515-5559, and ask.george@georgebrown.ca. The website content may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", How do students book sessions with the TLC?"
4,c57779b6-f29d-4408-8b12-216edd04e86d," The Tutoring and Learning Centre (TLC) is an academic service at George Brown College, offering tutoring, workshops, and resources for English, math, accounting, and other learning support. The TLC provides various academic learning supports and has locations at each of their campuses. Students can log in with their GBC credentials to book sessions. The TLC helps students develop core academic skills and offers the opportunity for students with strong academic skills to become Peer Tutors. The contact information for the TLC is 416-415-2000, TTY: 1-877-515-5559, and ask.george@georgebrown.ca. The website content may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", What skills does the TLC help students develop?"
5,c57779b6-f29d-4408-8b12-216edd04e86d," The Tutoring and Learning Centre (TLC) is an academic service at George Brown College, offering tutoring, workshops, and resources for English, math, accounting, and other learning support. The TLC provides various academic learning supports and has locations at each of their campuses. Students can log in with their GBC credentials to book sessions. The TLC helps students develop core academic skills and offers the opportunity for students with strong academic skills to become Peer Tutors. The contact information for the TLC is 416-415-2000, TTY: 1-877-515-5559, and ask.george@georgebrown.ca. The website content may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", How can students become Peer Tutors in the TLC?"
6,c57779b6-f29d-4408-8b12-216edd04e86d," The Tutoring and Learning Centre (TLC) is an academic service at George Brown College, offering tutoring, workshops, and resources for English, math, accounting, and other learning support. The TLC provides various academic learning supports and has locations at each of their campuses. Students can log in with their GBC credentials to book sessions. The TLC helps students develop core academic skills and offers the opportunity for students with strong academic skills to become Peer Tutors. The contact information for the TLC is 416-415-2000, TTY: 1-877-515-5559, and ask.george@georgebrown.ca. The website content may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", What is the contact information for the TLC (phone and email)?"
7,c57779b6-f29d-4408-8b12-216edd04e86d," The Tutoring and Learning Centre (TLC) is an academic service at George Brown College, offering tutoring, workshops, and resources for English, math, accounting, and other learning support. The TLC provides various academic learning supports and has locations at each of their campuses. Students can log in with their GBC credentials to book sessions. The TLC helps students develop core academic skills and offers the opportunity for students with strong academic skills to become Peer Tutors. The contact information for the TLC is 416-415-2000, TTY: 1-877-515-5559, and ask.george@georgebrown.ca. The website content may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", Is the website content of George Brown College subject to change without notice?"
8,c57779b6-f29d-4408-8b12-216edd04e86d," The Tutoring and Learning Centre (TLC) is an academic service at George Brown College, offering tutoring, workshops, and resources for English, math, accounting, and other learning support. The TLC provides various academic learning supports and has locations at each of their campuses. Students can log in with their GBC credentials to book sessions. The TLC helps students develop core academic skills and offers the opportunity for students with strong academic skills to become Peer Tutors. The contact information for the TLC is 416-415-2000, TTY: 1-877-515-5559, and ask.george@georgebrown.ca. The website content may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", What are the fee requirements at George Brown College that students need to verify?"
9,c57779b6-f29d-4408-8b12-216edd04e86d," The Tutoring and Learning Centre (TLC) is an academic service at George Brown College, offering tutoring, workshops, and resources for English, math, accounting, and other learning support. The TLC provides various academic learning supports and has locations at each of their campuses. Students can log in with their GBC credentials to book sessions. The TLC helps students develop core academic skills and offers the opportunity for students with strong academic skills to become Peer Tutors. The contact information for the TLC is 416-415-2000, TTY: 1-877-515-5559, and ask.george@georgebrown.ca. The website content may be subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",?
