,contextId,context,question
0,f8a84601-248c-419b-985f-3c5861c5704e," The WAVE Dental Clinic is accepting registrations for dental clients. New patients need to register for an appointment and can do so online, by email, or phone. Online registration is recommended due to a high volume of calls. The email address for registration is chsclientservices@georgebrown.ca, and the phone number is (416) 415-4547. Due to the COVID-19 pandemic, all attendees must have a confirmed appointment and pass a COVID-19 screening process prior to each appointment. The WAVE Dental Clinic offers dental services such as cleanings, restorations, dentures, and teeth whitening. Students from the School of Dental Health provide these services while being supervised by faculty. The WAVE Hearing Clinic's services are currently not available due to Public Health requirements. For more information, visit the college's land acknowledgment and sign up for updates on application deadlines, college news, upcoming events, tours, and more at ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559). The information on the website is subject to change without notice.",What is the email address for registering an appointment at WAVE Dental Clinic?
1,f8a84601-248c-419b-985f-3c5861c5704e," The WAVE Dental Clinic is accepting registrations for dental clients. New patients need to register for an appointment and can do so online, by email, or phone. Online registration is recommended due to a high volume of calls. The email address for registration is chsclientservices@georgebrown.ca, and the phone number is (416) 415-4547. Due to the COVID-19 pandemic, all attendees must have a confirmed appointment and pass a COVID-19 screening process prior to each appointment. The WAVE Dental Clinic offers dental services such as cleanings, restorations, dentures, and teeth whitening. Students from the School of Dental Health provide these services while being supervised by faculty. The WAVE Hearing Clinic's services are currently not available due to Public Health requirements. For more information, visit the college's land acknowledgment and sign up for updates on application deadlines, college news, upcoming events, tours, and more at ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559). The information on the website is subject to change without notice.",", Can new patients register online for an appointment at WAWA Dental Clinic?"
2,f8a84601-248c-419b-985f-3c5861c5704e," The WAVE Dental Clinic is accepting registrations for dental clients. New patients need to register for an appointment and can do so online, by email, or phone. Online registration is recommended due to a high volume of calls. The email address for registration is chsclientservices@georgebrown.ca, and the phone number is (416) 415-4547. Due to the COVID-19 pandemic, all attendees must have a confirmed appointment and pass a COVID-19 screening process prior to each appointment. The WAVE Dental Clinic offers dental services such as cleanings, restorations, dentures, and teeth whitening. Students from the School of Dental Health provide these services while being supervised by faculty. The WAVE Hearing Clinic's services are currently not available due to Public Health requirements. For more information, visit the college's land acknowledgment and sign up for updates on application deadlines, college news, upcoming events, tours, and more at ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559). The information on the website is subject to change without notice.",", What number should be used for phone registrations at WAVE Dental Clinic?"
3,f8a84601-248c-419b-985f-3c5861c5704e," The WAVE Dental Clinic is accepting registrations for dental clients. New patients need to register for an appointment and can do so online, by email, or phone. Online registration is recommended due to a high volume of calls. The email address for registration is chsclientservices@georgebrown.ca, and the phone number is (416) 415-4547. Due to the COVID-19 pandemic, all attendees must have a confirmed appointment and pass a COVID-19 screening process prior to each appointment. The WAVE Dental Clinic offers dental services such as cleanings, restorations, dentures, and teeth whitening. Students from the School of Dental Health provide these services while being supervised by faculty. The WAVE Hearing Clinic's services are currently not available due to Public Health requirements. For more information, visit the college's land acknowledgment and sign up for updates on application deadlines, college news, upcoming events, tours, and more at ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559). The information on the website is subject to change without notice.",", Is COVID-19 screening mandatory for all attendees at WAVE Dental Clinic?"
4,f8a84601-248c-419b-985f-3c5861c5704e," The WAVE Dental Clinic is accepting registrations for dental clients. New patients need to register for an appointment and can do so online, by email, or phone. Online registration is recommended due to a high volume of calls. The email address for registration is chsclientservices@georgebrown.ca, and the phone number is (416) 415-4547. Due to the COVID-19 pandemic, all attendees must have a confirmed appointment and pass a COVID-19 screening process prior to each appointment. The WAVE Dental Clinic offers dental services such as cleanings, restorations, dentures, and teeth whitening. Students from the School of Dental Health provide these services while being supervised by faculty. The WAVE Hearing Clinic's services are currently not available due to Public Health requirements. For more information, visit the college's land acknowledgment and sign up for updates on application deadlines, college news, upcoming events, tours, and more at ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559). The information on the website is subject to change without notice.",", Which dental services are provided at the WAVE Dental Clinic?"
5,f8a84601-248c-419b-985f-3c5861c5704e," The WAVE Dental Clinic is accepting registrations for dental clients. New patients need to register for an appointment and can do so online, by email, or phone. Online registration is recommended due to a high volume of calls. The email address for registration is chsclientservices@georgebrown.ca, and the phone number is (416) 415-4547. Due to the COVID-19 pandemic, all attendees must have a confirmed appointment and pass a COVID-19 screening process prior to each appointment. The WAVE Dental Clinic offers dental services such as cleanings, restorations, dentures, and teeth whitening. Students from the School of Dental Health provide these services while being supervised by faculty. The WAVE Hearing Clinic's services are currently not available due to Public Health requirements. For more information, visit the college's land acknowledgment and sign up for updates on application deadlines, college news, upcoming events, tours, and more at ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559). The information on the website is subject to change without notice.",", Who supervise the dental services at the WAVE Dental Clinic?"
6,f8a84601-248c-419b-985f-3c5861c5704e," The WAVE Dental Clinic is accepting registrations for dental clients. New patients need to register for an appointment and can do so online, by email, or phone. Online registration is recommended due to a high volume of calls. The email address for registration is chsclientservices@georgebrown.ca, and the phone number is (416) 415-4547. Due to the COVID-19 pandemic, all attendees must have a confirmed appointment and pass a COVID-19 screening process prior to each appointment. The WAVE Dental Clinic offers dental services such as cleanings, restorations, dentures, and teeth whitening. Students from the School of Dental Health provide these services while being supervised by faculty. The WAVE Hearing Clinic's services are currently not available due to Public Health requirements. For more information, visit the college's land acknowledgment and sign up for updates on application deadlines, college news, upcoming events, tours, and more at ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559). The information on the website is subject to change without notice.",", When can one find application deadlines, college news, upcoming events, tours and more at ask.georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559)?"
7,f8a84601-248c-419b-985f-3c5861c5704e," The WAVE Dental Clinic is accepting registrations for dental clients. New patients need to register for an appointment and can do so online, by email, or phone. Online registration is recommended due to a high volume of calls. The email address for registration is chsclientservices@georgebrown.ca, and the phone number is (416) 415-4547. Due to the COVID-19 pandemic, all attendees must have a confirmed appointment and pass a COVID-19 screening process prior to each appointment. The WAVE Dental Clinic offers dental services such as cleanings, restorations, dentures, and teeth whitening. Students from the School of Dental Health provide these services while being supervised by faculty. The WAVE Hearing Clinic's services are currently not available due to Public Health requirements. For more information, visit the college's land acknowledgment and sign up for updates on application deadlines, college news, upcoming events, tours, and more at ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559). The information on the website is subject to change without notice.",Is the WAVE Hearing Clinic's services currently available?
8,f8a84601-248c-419b-985f-3c5861c5704e," The WAVE Dental Clinic is accepting registrations for dental clients. New patients need to register for an appointment and can do so online, by email, or phone. Online registration is recommended due to a high volume of calls. The email address for registration is chsclientservices@georgebrown.ca, and the phone number is (416) 415-4547. Due to the COVID-19 pandemic, all attendees must have a confirmed appointment and pass a COVID-19 screening process prior to each appointment. The WAVE Dental Clinic offers dental services such as cleanings, restorations, dentures, and teeth whitening. Students from the School of Dental Health provide these services while being supervised by faculty. The WAVE Hearing Clinic's services are currently not available due to Public Health requirements. For more information, visit the college's land acknowledgment and sign up for updates on application deadlines, college news, upcoming events, tours, and more at ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559). The information on the website is subject to change without notice.",", What Public Health requirements cause the WAVE Hearing Clinic's services to be unavailable?"
9,f8a84601-248c-419b-985f-3c5861c5704e," The WAVE Dental Clinic is accepting registrations for dental clients. New patients need to register for an appointment and can do so online, by email, or phone. Online registration is recommended due to a high volume of calls. The email address for registration is chsclientservices@georgebrown.ca, and the phone number is (416) 415-4547. Due to the COVID-19 pandemic, all attendees must have a confirmed appointment and pass a COVID-19 screening process prior to each appointment. The WAVE Dental Clinic offers dental services such as cleanings, restorations, dentures, and teeth whitening. Students from the School of Dental Health provide these services while being supervised by faculty. The WAVE Hearing Clinic's services are currently not available due to Public Health requirements. For more information, visit the college's land acknowledgment and sign up for updates on application deadlines, college news, upcoming events, tours, and more at ask.george@georgebrown.ca or 416-415-2000 (TTY: 1-877-515-5559). The information on the website is subject to change without notice.",?
