,contextId,context,question
0,8552e67e-c292-4d52-9aa6-923cadf9535b," Program Name: Apparel Fit Technician
Code: F116
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Fall 2023 - On Campus, Winter 2024 - On Campus
Required Courses (Not mentioned in the text)
Domestic Tuition: Not specified in the text
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Career & Postgraduate Study Opportunities: Not mentioned in the text.",What is the name of this program at George Brown College?
1,8552e67e-c292-4d52-9aa6-923cadf9535b," Program Name: Apparel Fit Technician
Code: F116
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Fall 2023 - On Campus, Winter 2024 - On Campus
Required Courses (Not mentioned in the text)
Domestic Tuition: Not specified in the text
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Career & Postgraduate Study Opportunities: Not mentioned in the text.",", What code is associated with the Apparel Fit Technician program?"
2,8552e67e-c292-4d52-9aa6-923cadf9535b," Program Name: Apparel Fit Technician
Code: F116
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Fall 2023 - On Campus, Winter 2024 - On Campus
Required Courses (Not mentioned in the text)
Domestic Tuition: Not specified in the text
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Career & Postgraduate Study Opportunities: Not mentioned in the text.",", What type of credential will I receive upon completion of this program?"
3,8552e67e-c292-4d52-9aa6-923cadf9535b," Program Name: Apparel Fit Technician
Code: F116
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Fall 2023 - On Campus, Winter 2024 - On Campus
Required Courses (Not mentioned in the text)
Domestic Tuition: Not specified in the text
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Career & Postgraduate Study Opportunities: Not mentioned in the text.",", In what method of study can I enroll in the Apparel Fit Technician program?"
4,8552e67e-c292-4d52-9aa6-923cadf9535b," Program Name: Apparel Fit Technician
Code: F116
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Fall 2023 - On Campus, Winter 2024 - On Campus
Required Courses (Not mentioned in the text)
Domestic Tuition: Not specified in the text
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Career & Postgraduate Study Opportunities: Not mentioned in the text.",", How long does the Apparel Fit Technician program last?"
5,8552e67e-c292-4d52-9aa6-923cadf9535b," Program Name: Apparel Fit Technician
Code: F116
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Fall 2023 - On Campus, Winter 2024 - On Campus
Required Courses (Not mentioned in the text)
Domestic Tuition: Not specified in the text
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Career & Postgraduate Study Opportunities: Not mentioned in the text.",", In which months can I start this program?"
6,8552e67e-c292-4d52-9aa6-923cadf9535b," Program Name: Apparel Fit Technician
Code: F116
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Fall 2023 - On Campus, Winter 2024 - On Campus
Required Courses (Not mentioned in the text)
Domestic Tuition: Not specified in the text
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Career & Postgraduate Study Opportunities: Not mentioned in the text.",", Where is the Fashion Exchange location for this program?"
7,8552e67e-c292-4d52-9aa6-923cadf9535b," Program Name: Apparel Fit Technician
Code: F116
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Fall 2023 - On Campus, Winter 2024 - On Campus
Required Courses (Not mentioned in the text)
Domestic Tuition: Not specified in the text
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Career & Postgraduate Study Opportunities: Not mentioned in the text.",", How many hours of experiential learning are required for this program?"
8,8552e67e-c292-4d52-9aa6-923cadf9535b," Program Name: Apparel Fit Technician
Code: F116
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Fall 2023 - On Campus, Winter 2024 - On Campus
Required Courses (Not mentioned in the text)
Domestic Tuition: Not specified in the text
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Career & Postgraduate Study Opportunities: Not mentioned in the text.",", When will this program be delivered on campus in the fall and winter?"
9,8552e67e-c292-4d52-9aa6-923cadf9535b," Program Name: Apparel Fit Technician
Code: F116
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 1 semester (16 weeks)
Starting Months: January, May, July, September
Location: Fashion Exchange, 63 Regent Park Blvd.
Experiential Learning: 100 Hours Work-Integrated Field Placement
Program Delivery: Fall 2023 - On Campus, Winter 2024 - On Campus
Required Courses (Not mentioned in the text)
Domestic Tuition: Not specified in the text
Centre: Arts, Design & Information Technology
School: Fashion & Jewellery
Career & Postgraduate Study Opportunities: Not mentioned in the text.",", Which center offers the Apparel Fit Technician program at George Brown College?"
