,contextId,context,question
0,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",What is the name of the program to become an Electric Vehicle Technician?
1,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",", What code should I use for enrollment in this program?"
2,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",", What type of credential will I receive upon completion of this program?"
3,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",", How long does it take to complete the Electric Vehicle Technician program?"
4,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",", In what method of study is the Electric Vehicle Technician program offered?"
5,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",", When can I start enrolling in the Electric Vehicle Technician program?"
6,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",", How much does it cost for domestic students to attend this program?"
7,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",", Where will I be studying for the Electric Vehicle Technician certification?"
8,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",", Which field is this program a part of in George Brown College?"
9,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",", What does the Electric Vehicle Technician training cover?"
10,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",", Are international students allowed in this online distance program?"
11,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",How many modules are there in the Electric Vehicle Technician program?
12,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",How are these modules delivered?
13,e3ee4dfc-bf48-4a76-8451-131c3900a3b0," Program Name: Electric Vehicle (EV) Technician
Code: T951
Credential: George Brown College Certificate
Duration: 32 weeks
Method of Study: Online
Starting Months: Open enrolment (Continuous)
Domestic Tuition: $1,750.00*
Location: Online
School: Mechanical Engineering Technologies
Program Description: The Electric Vehicle (EV) Technician training program provides students with a comprehensive understanding of diagnosing, servicing, and repairing high voltage EVs and commercial charging stations through theoretical and hands-on instruction. It benefits Automotive Service Technicians lacking skills in power electronics and data communication systems for EVs and Hydrid Electric Vehicles (HEVs), as well as electricians installing, servicing, and maintaining residential and commercial EV charging stations.
International Students: Cannot study in Canada and are not eligible for study/work permits with this online distance program.
Modules: Structured into 14 modules, each containing approximately 10 major topics. Delivered asynchronously in an ""on demand"" format.",?
14,cd45dff4-4794-4f4b-a956-d3dd37a1f18b," The program is a self-paced online course offering for individuals interested in EV technology. The curriculum consists of 14 modules with state-of-the-art simulation software and real-world practical examples. Key features include the integration of theory and hands-on learning, flexibility in completion schedule, and online final exams.

Minimum computer requirements:
- Intel Pentium-based processor
- 2 GB RAM
- 500 MB available disk space
- Windows 7, Windows 8, Windows 8.1, Windows 10, or Windows 11 operating system
- Email account and internet access

Career opportunities for students in the program:
- Automotive Service Technician with a background in internal combustion engine vehicles looking to expand their skills in power electronics and data communication systems for EVs and HEVs.
- Electricians installing, servicing, or maintaining residential and commercial EV charging stations.
- Individuals interested in careers servicing, repairing, designing, or selling EVs.

Required courses:
1. EVTC9000 - Introduction to EVs
2. EVTC9001 - Basic Electricity
3. EVTC9002 - Direct Current Circuits
4. EVTC9003 - Alternating Current Circuit
5. EVTC9004 - Power Electronics
6. EVTC9005 - Batteries and Fuel Cells
7. EVTC9006 - Battery Charging Systems
8. EVTC9007 - DC Motors and Controls
9. EVTC9008 - AC Motors and Controls
10. EVTC9009 - Powertrains
11. EVTC9010 - Sensors and Actuators

The program software is Windows-based only and will not run on Mac, Chromebook, or Linux operating systems.",What are the minimum computer requirements for the online EV technology course?
15,cd45dff4-4794-4f4b-a956-d3dd37a1f18b," The program is a self-paced online course offering for individuals interested in EV technology. The curriculum consists of 14 modules with state-of-the-art simulation software and real-world practical examples. Key features include the integration of theory and hands-on learning, flexibility in completion schedule, and online final exams.

Minimum computer requirements:
- Intel Pentium-based processor
- 2 GB RAM
- 500 MB available disk space
- Windows 7, Windows 8, Windows 8.1, Windows 10, or Windows 11 operating system
- Email account and internet access

Career opportunities for students in the program:
- Automotive Service Technician with a background in internal combustion engine vehicles looking to expand their skills in power electronics and data communication systems for EVs and HEVs.
- Electricians installing, servicing, or maintaining residential and commercial EV charging stations.
- Individuals interested in careers servicing, repairing, designing, or selling EVs.

Required courses:
1. EVTC9000 - Introduction to EVs
2. EVTC9001 - Basic Electricity
3. EVTC9002 - Direct Current Circuits
4. EVTC9003 - Alternating Current Circuit
5. EVTC9004 - Power Electronics
6. EVTC9005 - Batteries and Fuel Cells
7. EVTC9006 - Battery Charging Systems
8. EVTC9007 - DC Motors and Controls
9. EVTC9008 - AC Motors and Controls
10. EVTC9009 - Powertrains
11. EVTC9010 - Sensors and Actuators

The program software is Windows-based only and will not run on Mac, Chromebook, or Linux operating systems.",", Which career opportunities are available for students completing the program?"
