,contextId,context,question
0,cd920a45-67f7-4461-a3fb-ecddd29b971e," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T317
Credential: Honours Bachelor's Degree
Duration: 5 semesters (plus 1 Field Experience semester)
Starting Months: May
Domestic Tuition: $9,418.00 *
International Tuition: $20,925.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Method of Study: Full-time
Experiential Learning: Mandatory Field Experience
Program Description: Ontario's first internationally accredited four-year degree program specializing in construction management.
Availability: Open for international students for Spring 2025 intake, opens Aug 6, 2024. Not available for domestic students in Fall 2024 and Winter 2025.
Related Programs: Honours Bachelor of Technology (Construction Management) (T312), Civil Engineering Technology (T164), Construction Engineering Technology (T105)",What is the name of this honors bachelor's degree program?
1,cd920a45-67f7-4461-a3fb-ecddd29b971e," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T317
Credential: Honours Bachelor's Degree
Duration: 5 semesters (plus 1 Field Experience semester)
Starting Months: May
Domestic Tuition: $9,418.00 *
International Tuition: $20,925.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Method of Study: Full-time
Experiential Learning: Mandatory Field Experience
Program Description: Ontario's first internationally accredited four-year degree program specializing in construction management.
Availability: Open for international students for Spring 2025 intake, opens Aug 6, 2024. Not available for domestic students in Fall 2024 and Winter 2025.
Related Programs: Honours Bachelor of Technology (Construction Management) (T312), Civil Engineering Technology (T164), Construction Engineering Technology (T105)",", What is the code for the Construction Management program?"
2,cd920a45-67f7-4461-a3fb-ecddd29b971e," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T317
Credential: Honours Bachelor's Degree
Duration: 5 semesters (plus 1 Field Experience semester)
Starting Months: May
Domestic Tuition: $9,418.00 *
International Tuition: $20,925.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Method of Study: Full-time
Experiential Learning: Mandatory Field Experience
Program Description: Ontario's first internationally accredited four-year degree program specializing in construction management.
Availability: Open for international students for Spring 2025 intake, opens Aug 6, 2024. Not available for domestic students in Fall 2024 and Winter 2025.
Related Programs: Honours Bachelor of Technology (Construction Management) (T312), Civil Engineering Technology (T164), Construction Engineering Technology (T105)",", What type of credential will I receive after completing this program?"
3,cd920a45-67f7-4461-a3fb-ecddd29b971e," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T317
Credential: Honours Bachelor's Degree
Duration: 5 semesters (plus 1 Field Experience semester)
Starting Months: May
Domestic Tuition: $9,418.00 *
International Tuition: $20,925.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Method of Study: Full-time
Experiential Learning: Mandatory Field Experience
Program Description: Ontario's first internationally accredited four-year degree program specializing in construction management.
Availability: Open for international students for Spring 2025 intake, opens Aug 6, 2024. Not available for domestic students in Fall 2024 and Winter 2025.
Related Programs: Honours Bachelor of Technology (Construction Management) (T312), Civil Engineering Technology (T164), Construction Engineering Technology (T105)",", How long does it take to finish this program?"
4,cd920a45-67f7-4461-a3fb-ecddd29b971e," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T317
Credential: Honours Bachelor's Degree
Duration: 5 semesters (plus 1 Field Experience semester)
Starting Months: May
Domestic Tuition: $9,418.00 *
International Tuition: $20,925.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Method of Study: Full-time
Experiential Learning: Mandatory Field Experience
Program Description: Ontario's first internationally accredited four-year degree program specializing in construction management.
Availability: Open for international students for Spring 2025 intake, opens Aug 6, 2024. Not available for domestic students in Fall 2024 and Winter 2025.
Related Programs: Honours Bachelor of Technology (Construction Management) (T312), Civil Engineering Technology (T164), Construction Engineering Technology (T105)",", When can international students start this program?"
5,cd920a45-67f7-4461-a3fb-ecddd29b971e," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T317
Credential: Honours Bachelor's Degree
Duration: 5 semesters (plus 1 Field Experience semester)
Starting Months: May
Domestic Tuition: $9,418.00 *
International Tuition: $20,925.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Method of Study: Full-time
Experiential Learning: Mandatory Field Experience
Program Description: Ontario's first internationally accredited four-year degree program specializing in construction management.
Availability: Open for international students for Spring 2025 intake, opens Aug 6, 2024. Not available for domestic students in Fall 2024 and Winter 2025.
Related Programs: Honours Bachelor of Technology (Construction Management) (T312), Civil Engineering Technology (T164), Construction Engineering Technology (T105)",", What is the domestic tuition fee for this program?"
6,cd920a45-67f7-4461-a3fb-ecddd29b971e," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T317
Credential: Honours Bachelor's Degree
Duration: 5 semesters (plus 1 Field Experience semester)
Starting Months: May
Domestic Tuition: $9,418.00 *
International Tuition: $20,925.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Method of Study: Full-time
Experiential Learning: Mandatory Field Experience
Program Description: Ontario's first internationally accredited four-year degree program specializing in construction management.
Availability: Open for international students for Spring 2025 intake, opens Aug 6, 2024. Not available for domestic students in Fall 2024 and Winter 2025.
Related Programs: Honours Bachelor of Technology (Construction Management) (T312), Civil Engineering Technology (T164), Construction Engineering Technology (T105)",", What is the international tuition fee for this program?"
7,cd920a45-67f7-4461-a3fb-ecddd29b971e," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T317
Credential: Honours Bachelor's Degree
Duration: 5 semesters (plus 1 Field Experience semester)
Starting Months: May
Domestic Tuition: $9,418.00 *
International Tuition: $20,925.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Method of Study: Full-time
Experiential Learning: Mandatory Field Experience
Program Description: Ontario's first internationally accredited four-year degree program specializing in construction management.
Availability: Open for international students for Spring 2025 intake, opens Aug 6, 2024. Not available for domestic students in Fall 2024 and Winter 2025.
Related Programs: Honours Bachelor of Technology (Construction Management) (T312), Civil Engineering Technology (T164), Construction Engineering Technology (T105)",", In which centre does this program belong?"
8,cd920a45-67f7-4461-a3fb-ecddd29b971e," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T317
Credential: Honours Bachelor's Degree
Duration: 5 semesters (plus 1 Field Experience semester)
Starting Months: May
Domestic Tuition: $9,418.00 *
International Tuition: $20,925.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Method of Study: Full-time
Experiential Learning: Mandatory Field Experience
Program Description: Ontario's first internationally accredited four-year degree program specializing in construction management.
Availability: Open for international students for Spring 2025 intake, opens Aug 6, 2024. Not available for domestic students in Fall 2024 and Winter 2025.
Related Programs: Honours Bachelor of Technology (Construction Management) (T312), Civil Engineering Technology (T164), Construction Engineering Technology (T105)",", Which school offers this Construction Management program?"
9,cd920a45-67f7-4461-a3fb-ecddd29b971e," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T317
Credential: Honours Bachelor's Degree
Duration: 5 semesters (plus 1 Field Experience semester)
Starting Months: May
Domestic Tuition: $9,418.00 *
International Tuition: $20,925.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Method of Study: Full-time
Experiential Learning: Mandatory Field Experience
Program Description: Ontario's first internationally accredited four-year degree program specializing in construction management.
Availability: Open for international students for Spring 2025 intake, opens Aug 6, 2024. Not available for domestic students in Fall 2024 and Winter 2025.
Related Programs: Honours Bachelor of Technology (Construction Management) (T312), Civil Engineering Technology (T164), Construction Engineering Technology (T105)",", Where is the Casa Loma Campus located?"
