,contextId,context,question
0,08a030da-15fc-4623-b58b-e9f7bd539864," Program Name: Media Acting - Graduate Intensive
Code: P707
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 7 weeks
Starting Months: July
Domestic Tuition: $2,300.00*
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Required Courses:
- ACTS 7002: Creating Your Own Work
- ACTS 7006: Audition Techniques
- ACTS 7008: New Technology Acting
- ACTS 7009: Voice-over Characterization",What is the name of this graduate program?
1,08a030da-15fc-4623-b58b-e9f7bd539864," Program Name: Media Acting - Graduate Intensive
Code: P707
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 7 weeks
Starting Months: July
Domestic Tuition: $2,300.00*
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Required Courses:
- ACTS 7002: Creating Your Own Work
- ACTS 7006: Audition Techniques
- ACTS 7008: New Technology Acting
- ACTS 7009: Voice-over Characterization",", What code is associated with Media Acting - Graduate Intensive?"
2,08a030da-15fc-4623-b58b-e9f7bd539864," Program Name: Media Acting - Graduate Intensive
Code: P707
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 7 weeks
Starting Months: July
Domestic Tuition: $2,300.00*
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Required Courses:
- ACTS 7002: Creating Your Own Work
- ACTS 7006: Audition Techniques
- ACTS 7008: New Technology Acting
- ACTS 7009: Voice-over Characterization",", What type of credential will I receive upon completion?"
3,08a030da-15fc-4623-b58b-e9f7bd539864," Program Name: Media Acting - Graduate Intensive
Code: P707
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 7 weeks
Starting Months: July
Domestic Tuition: $2,300.00*
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Required Courses:
- ACTS 7002: Creating Your Own Work
- ACTS 7006: Audition Techniques
- ACTS 7008: New Technology Acting
- ACTS 7009: Voice-over Characterization",", How long does this full-time program last?"
4,08a030da-15fc-4623-b58b-e9f7bd539864," Program Name: Media Acting - Graduate Intensive
Code: P707
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 7 weeks
Starting Months: July
Domestic Tuition: $2,300.00*
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Required Courses:
- ACTS 7002: Creating Your Own Work
- ACTS 7006: Audition Techniques
- ACTS 7008: New Technology Acting
- ACTS 7009: Voice-over Characterization",", In which starting months can I begin this program?"
5,08a030da-15fc-4623-b58b-e9f7bd539864," Program Name: Media Acting - Graduate Intensive
Code: P707
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 7 weeks
Starting Months: July
Domestic Tuition: $2,300.00*
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Required Courses:
- ACTS 7002: Creating Your Own Work
- ACTS 7006: Audition Techniques
- ACTS 7008: New Technology Acting
- ACTS 7009: Voice-over Characterization",", What is the domestic tuition fee for this Certificate program at George Brown College?"
6,08a030da-15fc-4623-b58b-e9f7bd539864," Program Name: Media Acting - Graduate Intensive
Code: P707
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 7 weeks
Starting Months: July
Domestic Tuition: $2,300.00*
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Required Courses:
- ACTS 7002: Creating Your Own Work
- ACTS 7006: Audition Techniques
- ACTS 7008: New Technology Acting
- ACTS 7009: Voice-over Characterization",", Which centre offers this Media & Performing Arts program?"
7,08a030da-15fc-4623-b58b-e9f7bd539864," Program Name: Media Acting - Graduate Intensive
Code: P707
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 7 weeks
Starting Months: July
Domestic Tuition: $2,300.00*
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Required Courses:
- ACTS 7002: Creating Your Own Work
- ACTS 7006: Audition Techniques
- ACTS 7008: New Technology Acting
- ACTS 7009: Voice-over Characterization",", Where is the St. James Campus located?"
8,08a030da-15fc-4623-b58b-e9f7bd539864," Program Name: Media Acting - Graduate Intensive
Code: P707
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 7 weeks
Starting Months: July
Domestic Tuition: $2,300.00*
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Required Courses:
- ACTS 7002: Creating Your Own Work
- ACTS 7006: Audition Techniques
- ACTS 7008: New Technology Acting
- ACTS 7009: Voice-over Characterization",", Which required courses must be taken in ACTS 700x series?"
9,08a030da-15fc-4623-b58b-e9f7bd539864," Program Name: Media Acting - Graduate Intensive
Code: P707
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 7 weeks
Starting Months: July
Domestic Tuition: $2,300.00*
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Location: St. James Campus
Required Courses:
- ACTS 7002: Creating Your Own Work
- ACTS 7006: Audition Techniques
- ACTS 7008: New Technology Acting
- ACTS 7009: Voice-over Characterization",?
